Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,wholesale,LinkedIn,2279243242,Parttime Verkoper winkel | 12 tot 32 uur,gDMxhgcOQeGrVcIgwWr5jQ==,Nederland Vacature Groep,"Nieuwegein, Utrecht, Netherlands",['Human Resources'],"Euro Shoe Group, een klinkende naam in de dynamische wereld van fashion Met onze bekende keten Bristol zijn we een belangrijke speler op de retailmarkt in de BeneluxAl meer dan 50 jaar verrast Euro Shoe Group jong en oud en klein en groot met budgetvriendelijke modeOnze winkels staan garant voor onvervalste winkelfun voor de hele familie mt een knipoog je wandelt gegarandeerd naar buiten met een big smile n een zak vol betaalbare schoenen, toffe kleding, knappe lederwaren en leuke accessoires Als het op klantvriendelijke service aankomt, houden we ons muiltje niet Je bent een klantgerichte, enthousiaste collega met gevoel voor commercie en vooral passie voor de detailhandel Je zoekt een leuke parttime baan voor minimaal 12 en maximaal 32 uur per week De klant staat centraal en als geen ander weet jij het ultieme Customer Delight gevoel perfect te realiseren Als parttime verkoopmedewerker heb je geen bezwaar tegen het werken op koopavonden, zaterdagen enof zondagen Je bent resultaatgericht en weet van aanpakkenBristol is een platte organisatie met een nononsense cultuur en een uniek marketingconcept Een innovatief familiebedrijf welke zich kenmerkt door haar klantgericht handelen, veranderbereidheid, open communicatie n een sterke teamgeest Kortom een perfecte werksfeerWij zien jouw schriftelijke sollicitatie, voorzien van curriculum vitae, met belangstelling tegemoet Je kan solliciteren via onderstaand formulierEen integriteitscontrole via het waarschuwingsregister van de stichting Fraude Aanpak Detailhandel is onderdeel van de Nederlandse sollicitatieprocedure",Part-time,https://www.linkedin.com/jobs/view/externalApply/2279243242?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fparttime-verkoper-winkel-12-tot-32-uur-in-nieuwegein%2F250115%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D41508&urlHash=RP4A&refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/parttime-verkoper-winkel-12-tot-32-uur-at-nederland-vacature-groep-2279243242?refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,21/10/2020,24/11/2020
2,wholesale,LinkedIn,2285815282,MBO Meewerkstage Algemeen Winkelmedewerker,LBlmPwTaT9OcSSQstqg06Q==,Baxshop,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Bax Music heeft een team van ervaren en gemotiveerde professionals die in een informele werkomgeving samenwerken Door uitbreidingen en groei van het bedrijf zijn wij per direct op zoek naar een Meewerkstage Algemeen WinkelmedewerkerVoor deze stage hebben wij nog plek voor stagiaires opMaandagJe bentOver Bax Music Bax Music is de grootste online muziekwinkel van de Benelux, en de toekomstig grootste muziekwinkel van Europa Momenteel zijn we actief in Nederland, Belgi, Frankrijk, Engeland, Duitsland, Itali, Spanje en Zweden Met honderdduizenden pakketten die jaarlijks verstuurd worden en miljoenen unieke bezoekers per jaar is Bax Music marktleider in de Benelux op het gebied van licht, geluid, muziekinstrumenten, producer en DJgear Onze hoofdkantoor is gevestigd in Goes en wij hebben een kantoor in Amsterdam Onze megastores staan in Goes, Amsterdam, Rotterdam en Antwerpen Wil je meer weten over Bax Music Lees dan ons bedrijfsprofiel op onze website en bekijk onze bedrijfsvideo Herken jij jezelf in bovenstaande vacature en wil je solliciteren naar de functie Meewerkstage Algemeen Winkelmedewerker Vul dan snel onderstaand sollicitatieformulier in Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2285815282?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fmbo-meewerkstage-algemeen-winkelmedewerker%3A43829996%2F&urlHash=bn0j&refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/mbo-meewerkstage-algemeen-winkelmedewerker-at-bax-shop-2285815282?refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,21/10/2020,24/11/2020
3,wholesale,LinkedIn,2269357161,Rituals Fietskoerier - Gorinchem,99vchoH3R4OGlxjY8m7qAg==,Rituals,"Gorinchem, South Holland, Netherlands","['Internet', 'Retail', 'Financial Services']","DOEL VAN DE FUNCTIEJij maakt mensen blij En zorgt ervoor dat de klant een rode loper ervaring krijgt en ons merk ten volle ervaart Deze unieke service creer jij door online bestellingen, vaak al binnen een dag, bij de klant thuis te bezorgenVoor jou als Rituals Koerier voor onze shop in Gorinchem is er een belangrijke  unieke rol weggelegd Een functie waar jij ervoor zorgt dat Rituals experience mindblowing wordt Jij zorgt voor een same day delivery Deze aflevering doe jij met aandacht en een glimlach Je vindt het heerlijk om te fietsen en deinst niet terug voor het Nederlandse weer Ook als het regent, sneeuwt of waait fietsen wij gewoon door Soms staat de klant al te wachten maar over het algemeen is de klant blij verrast dat jij met zijnhaar bestelling voor de deur staatOok ben jij degene die ervoor zorgt dat de orders, die binnenkomen via ons systeem, netjes verpakt worden in de shop en klaarstaan voor bezorging Door onze navigatie tool is het duidelijk wat de beste route is die jij moet fietsen om de pakketten van die dag te bezorgenEerlijkheid tegenover jezelf en anderen Dat betekent ook dat je de integriteitscontrole doorstaat via het waarschuwingsregister van de stichting Fraude Aanpak Detailhandel Dit is onderdeel van de procedureRituals biedt jou een sportieve  flexibele bijbaan met veel vrijheid en klantcontact Het salaris is marktconform en voor de bezorging bieden wij jou een ebike elektrische bakfiets, tas  regenjas aan Onze organisatie heeft veel groeipotentie en biedt een ambitieuze en prettige werksfeerWere not here to sell you beauty we are here to make you feel good Raymond Cloosterman, CEO RitualsWij zijn een sinds het jaar 2000, opgericht in Amsterdam Het is onze ambitie om op duurzame wijze door te groeien tot de nummer n wereldwijd in luxe cosmetica en deze positie te behouden Vandaag de dag zijn er meer dan 730 winkels gevestigd in 29 landen in Europa, Azi, het MiddenOosten en Noord en ZuidAmerika Ons doel is om 1000 winkels te hebben in 2020Door onderdeel te worden van Rituals, zal je een sterke bedrijfscultuur en een ondernemersgeest gaan ervaren, wat jou in staat stelt om een waardevolle carrire op te bouwen Wij geven net zoveel om het welzijn van onze werknemers als die van onze aarde Door hier gepassioneerd naar om te kijken geloven wij oprecht dat we kunnen bijdragen aan een duurzame wereld en zetten wij stappen om onze footprint te beperken Het is onze missie om mensen zich goed te laten voelen en een unieke ervaring te geven Ongeacht welke rol je bij Rituals vervult, lever je een positieve bijdrage aan onze dagelijkse bedrijfsvoeringAls jij degene bent die wij zoeken, twijfel dan niet en verstuur jouw sollicitatie Wij zullen spoedig contact met je opnemen",Part-time,https://www.linkedin.com/jobs/view/externalApply/2269357161?url=https%3A%2F%2Fcareers%2Erituals%2Ecom%2Fen-nl%2Fjobs%2Frituals-fietskoerier-gorinchem%2F&urlHash=emGp&refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/rituals-fietskoerier-gorinchem-at-rituals-2269357161?refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,21/10/2020,24/11/2020
4,wholesale,LinkedIn,2311518086,2e Assistent Filiaalmanager,0zNqGAPPRGq5VwmCN3Y0QQ==,Gemeente Nuenen,"Nuenen, North Brabant, Netherlands",['Government Administration'],"Bristol  Nuenen zoekt een 2e Assistent Filiaalmanager te Nuenen MBO geplaatst op 161120202e Assistent FiliaalmanagerEuro Shoe Group, een klinkende naam in de dynamische wereld van fashion Met onze bekende keten Bristol zijn we een belangrijke speler op de retailmarkt in de BeneluxAl meer dan 50 jaar verrast Euro Shoe Group jong en oud en klein en groot met budgetvriendelijke modeOnze winkels staan garant voor onvervalste winkelfun voor de hele familie mt een knipoog je wandelt gegarandeerd naar buiten met een big smile n een zak vol betaalbare schoenen, toffe kleding, knappe lederwaren en leuke accessoires Als het op klantvriendelijke service aankomt, houden we ons muiltje niet Heb je hem Lees maar verderJe bent een klantgerichte, enthousiaste collega met gevoel voor commercie en vooral passie voor de detailhandel Je hebt een relevante mboopleiding, enige jaren ervaring en je wilt een volgende stap zetten in je carrire De klant staat centraal en als geen ander weet jij het ultieme Customer Delight gevoel perfect te realiseren Als 2e Assistent filiaalmanager ben je op de vloer en heb je elke dag te maken met alle commercile n financile uitdagingen van jouw filiaal waarvoor jij medeverantwoordelijkheid draagt Je bent resultaatgericht, initiatiefrijk en in staat om de filiaalleiding gedurende dagdelen waar te nemenBristol is een platte organisatie met een nononsense cultuur en een uniek marketingconcept Een innovatief familiebedrijf welke zich kenmerkt door haar klantgericht handelen, veranderbereidheid, open communicatie n een sterke teamgeest Kortom een perfecte werksfeerEen integriteitscontrole via het waarschuwingsregister van de stichting Fraude Aanpak Detailhandel is onderdeel van de Nederlandse sollicitatieprocedureInteresse in de functie van 2e Assistent Filiaalmanager bij Bristol  Nuenen regio NuenenReageer nu met je CV en motivatie via de solliciteer buttonAcquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2311518086?url=https%3A%2F%2Fwww%2Edebanensite%2Enl%2Fvacature%2F2e-assistent-filiaalmanager-nuenen%2F238803%2F&urlHash=_7w_&refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/2e-assistent-filiaalmanager-at-gemeente-nuenen-c-a-2311518086?refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,21/10/2020,24/11/2020
5,wholesale,LinkedIn,2277790105,Parttime Verkoper (m/v),63fz0M1iThebuSLWuBvT8Q==,Bristol,"Nieuwegein, Utrecht, Netherlands",['Apparel & Fashion'],"Euro Shoe Group, een klinkende naam in de dynamische wereld van fashion Met onze bekende keten Bristol zijn we een belangrijke speler op de retailmarkt in de BeneluxAl meer dan 50 jaar verrast Euro Shoe Group jong en oud en klein en groot met budgetvriendelijke modeOnze winkels staan garant voor onvervalste winkelfun voor de hele familie mt een knipoog je wandelt gegarandeerd naar buiten met een big smile n een zak vol betaalbare schoenen, toffe kleding, knappe lederwaren en leuke accessoires Als het op klantvriendelijke service aankomt, houden we ons muiltje niet Heb je hem Lees maar verderWat wij van jou verwachtenJe bent een klantgerichte, enthousiaste collega met gevoel voor commercie en vooral passie voor de detailhandel Je zoekt een leuke parttime baan voor minimaal 12 en maximaal 32 uur per week De klant staat centraal en als geen ander weet jij het ultieme Customer Delight gevoel perfect te realiseren Als parttime verkoopmedewerker heb je geen bezwaar tegen het werken op koopavonden, zaterdagen enof zondagen Je bent resultaatgericht en weet van aanpakkenWat heb jij ons te biedenWat hebben wij jou te biedenBristol is een platte organisatie met een nononsense cultuur en een uniek marketingconcept Een innovatief familiebedrijf welke zich kenmerkt door haar klantgericht handelen, veranderbereidheid, open communicatie n een sterke teamgeest Kortom een perfecte werksfeerJouw reactieWij zien jouw schriftelijke sollicitatie, voorzien van curriculum vitae, met belangstelling tegemoet Je kan solliciteren via onderstaand formulierEen integriteitscontrole via het waarschuwingsregister van de stichting Fraude Aanpak Detailhandel is onderdeel van de Nederlandse sollicitatieprocedureAcquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Part-time,https://www.linkedin.com/jobs/view/externalApply/2277790105?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F45fe6478-f5d9-41c0-b88f-1a4eb878efb1%3Fjid%3Dc0b04df9cd4364270c26f02a4af9af765a1dab2e3d3838c5f561f421a3b19493%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=UCN4&refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/parttime-verkoper-m-v-at-bristol-2277790105?refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,21/10/2020,24/11/2020
6,wholesale,LinkedIn,2277772086,MBO Meewerkstage Algemeen Winkelmedewerker,9uCDykZOQA+Pq0QJ5X4ZzA==,Bax Music,"Goes, Zeeland, Netherlands",['Marketing and Advertising'],"Bax Music Goes zoekt een MBO Meewerkstage Algemeen Winkelmedewerker te MBO geplaatst opMBO MEEWERKSTAGE ALGEMEEN WINKELMEDEWERKERBax Music heeft een team van ervaren en gemotiveerde professionals die in een informele werkomgeving samenwerken Door uitbreidingen en groei van het bedrijf zijn wij per direct op zoek naar een Meewerkstage Algemeen Winkelmedewerker Voor deze stage is 1 plek beschikbaarWat ga je doenDe winkel in Amsterdam is de grootste muziekwinkel in de omgeving en bied een groot assortiment aan muziekinstrumenten maar ook aan professionele licht, geluid en recording apparatuurJe werkzaamheden bestaan uitJe hebtDaarnaast herken je je in onze kernwaardenWij biedenInteresse in de functie van MBO Meewerkstage Algemeen Winkelmedewerker bij Bax Music Goes regio Reageer nu met je CV en motivatie via de solliciteer buttonAcquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2277772086?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fea18cf0f-5393-4dd2-9b16-68f6fff8a542%3Fjid%3D41a449df85c7233e0078b0c7e91da524c8b7370a7f351ffd4b02678e069ce973%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D404&urlHash=1Ckx&refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/mbo-meewerkstage-algemeen-winkelmedewerker-at-bax-shop-2277772086?refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,21/10/2020,24/11/2020
7,wholesale,LinkedIn,2274939990,Parttime Verkoper winkel,NxoFSiIeSiSuTju82vQUyg==,Nederland Vacature Groep,"Den Helder, North Holland, Netherlands",['Human Resources'],"Euro Shoe Group, een klinkende naam in de dynamische wereld van fashion Met onze bekende keten Bristol zijn we een belangrijke speler op de retailmarkt in de BeneluxAl meer dan 50 jaar verrast Euro Shoe Group jong en oud en klein en groot met budgetvriendelijke modeOnze winkels staan garant voor onvervalste winkelfun voor de hele familie mt een knipoog je wandelt gegarandeerd naar buiten met een big smile n een zak vol betaalbare schoenen, toffe kleding, knappe lederwaren en leuke accessoires Als het op klantvriendelijke service aankomt, houden we ons muiltje niet Je bent een klantgerichte, enthousiaste collega met gevoel voor commercie en vooral passie voor de detailhandel Je zoekt een leuke parttime baan voor minimaal 12 en maximaal 32 uur per week De klant staat centraal en als geen ander weet jij het ultieme Customer Delight gevoel perfect te realiseren Als parttime verkoopmedewerker heb je geen bezwaar tegen het werken op koopavonden, zaterdagen enof zondagen Je bent resultaatgericht en weet van aanpakkenBristol is een platte organisatie met een nononsense cultuur en een uniek marketingconcept Een innovatief familiebedrijf welke zich kenmerkt door haar klantgericht handelen, veranderbereidheid, open communicatie n een sterke teamgeest Kortom een perfecte werksfeerWij zien jouw schriftelijke sollicitatie, voorzien van curriculum vitae, met belangstelling tegemoet Je kan solliciteren via onderstaand formulierEen integriteitscontrole via het waarschuwingsregister van de stichting Fraude Aanpak Detailhandel is onderdeel van de Nederlandse sollicitatieprocedure",Part-time,https://www.linkedin.com/jobs/view/externalApply/2274939990?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fparttime-verkoper-winkel-in-den-helder%2F251313%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D41508&urlHash=9mS-&refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/parttime-verkoper-winkel-at-nederland-vacature-groep-2274939990?refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,21/10/2020,24/11/2020
8,wholesale,LinkedIn,2269354404,Rituals Fietskoerier - Naaldwijk,DK9nWkDVT1mLNQVQB6kBdw==,Rituals,"Naaldwijk, South Holland, Netherlands","['Internet', 'Retail', 'Financial Services']","DOEL VAN DE FUNCTIEJij maakt mensen blij En zorgt ervoor dat de klant een rode loper ervaring krijgt en ons merk ten volle ervaart Deze unieke service creer jij door online bestellingen, vaak al binnen een dag, bij de klant thuis te bezorgenVoor jou als Rituals Koerier voor onze shop in Naaldwijk is er een belangrijke  unieke rol weggelegd Een functie waar jij ervoor zorgt dat Rituals experience mindblowing wordt Jij zorgt voor een same day delivery Deze aflevering doe jij met aandacht en een glimlach Je vindt het heerlijk om te fietsen en deinst niet terug voor het Nederlandse weer Ook als het regent, sneeuwt of waait fietsen wij gewoon door Soms staat de klant al te wachten maar over het algemeen is de klant blij verrast dat jij met zijnhaar bestelling voor de deur staatOok ben jij degene die ervoor zorgt dat de orders, die binnenkomen via ons systeem, netjes verpakt worden in de shop en klaarstaan voor bezorging Door onze navigatie tool is het duidelijk wat de beste route is die jij moet fietsen om de pakketten van die dag te bezorgenEerlijkheid tegenover jezelf en anderen Dat betekent ook dat je de integriteitscontrole doorstaat via het waarschuwingsregister van de stichting Fraude Aanpak Detailhandel Dit is onderdeel van de procedureRituals biedt jou een sportieve  flexibele bijbaan met veel vrijheid en klantcontact Het salaris is marktconform en voor de bezorging bieden wij jou een ebike elektrische bakfiets en regenjas aan Onze organisatie heeft veel groeipotentie en biedt een ambitieuze en prettige werksfeerWere not here to sell you beauty we are here to make you feel good Raymond Cloosterman, CEO RitualsWij zijn een sinds het jaar 2000, opgericht in Amsterdam Het is onze ambitie om op duurzame wijze door te groeien tot de nummer n wereldwijd in luxe cosmetica en deze positie te behouden Vandaag de dag zijn er meer dan 730 winkels gevestigd in 29 landen in Europa, Azi, het MiddenOosten en Noord en ZuidAmerika Ons doel is om 1000 winkels te hebben in 2020Door onderdeel te worden van Rituals, zal je een sterke bedrijfscultuur en een ondernemersgeest gaan ervaren, wat jou in staat stelt om een waardevolle carrire op te bouwen Wij geven net zoveel om het welzijn van onze werknemers als die van onze aarde Door hier gepassioneerd naar om te kijken geloven wij oprecht dat we kunnen bijdragen aan een duurzame wereld en zetten wij stappen om onze footprint te beperken Het is onze missie om mensen zich goed te laten voelen en een unieke ervaring te geven Ongeacht welke rol je bij Rituals vervult, lever je een positieve bijdrage aan onze dagelijkse bedrijfsvoeringAls jij degene bent die wij zoeken, twijfel dan niet en verstuur jouw sollicitatie Wij zullen spoedig contact met je opnemen",Part-time,https://www.linkedin.com/jobs/view/externalApply/2269354404?url=https%3A%2F%2Fcareers%2Erituals%2Ecom%2Fen-nl%2Fjobs%2Frituals-fietskoerier-naaldwijk%2F&urlHash=bShf&refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/rituals-fietskoerier-naaldwijk-at-rituals-2269354404?refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,21/10/2020,24/11/2020
9,wholesale,LinkedIn,2273910589,Parttime Verkoper (m/v) - Den Helder,lElkxmFSRG2j5/jm2WoGNw==,Bristol,"Den Helder, North Holland, Netherlands",None,"Euro Shoe Group, een klinkende naam in de dynamische wereld van fashion Met onze bekende keten Bristol zijn we een belangrijke speler op de retailmarkt in de Benelux Al meer dan 50 jaar verrast Euro Shoe Group jong en oud en klein en groot met budgetvriendelijke mode Onze winkels staan garant voor onvervalste winkelfun voor de hele familie mt een knipoog je wandelt gegarandeerd naar buiten met een big smile n een zak vol betaalbare schoenen, toffe kleding, knappe lederwaren en leuke accessoires Als het op klantvriendelijke service aankomt, houden we ons muiltje niet Heb je hem Lees maar verder Wat wij van jou verwachten Je bent een klantgerichte, enthousiaste collega met gevoel voor commercie en vooral passie voor de detailhandel Je zoekt een leuke parttime baan voor minimaal 12 en maximaal 32 uur per week De klant staat centraal en als geen ander weet jij het ultieme Customer Delight gevoel perfect te realiseren Als parttime verkoopmedewerker heb je geen bezwaar tegen het werken op koopavonden, zaterdagen enof zondagen Je bent resultaatgericht en weet van aanpakken Wat heb jij ons te bieden",Part-time,https://www.linkedin.com/jobs/view/externalApply/2273910589?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fparttime-verkoper-m-v-den-helder%3A44098237%2F&urlHash=L8NI&refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/parttime-verkoper-m-v-den-helder-at-bristol-2273910589?refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,21/10/2020,24/11/2020
10,wholesale,LinkedIn,2313840039,Parttime Verkoper Winkel | 12 tot 32 uur,Hl/humX0RLi2Ehho9qjc0g==,Nederland Vacature Groep,"Harlingen, Friesland, Netherlands",['Human Resources'],"Euro Shoe Group, een klinkende naam in de dynamische wereld van fashion Met onze bekende keten Bristol zijn we een belangrijke speler op de retailmarkt in de BeneluxAl meer dan 50 jaar verrast Euro Shoe Group jong en oud en klein en groot met budgetvriendelijke modeOnze winkels staan garant voor onvervalste winkelfun voor de hele familie mt een knipoog je wandelt gegarandeerd naar buiten met een big smile n een zak vol betaalbare schoenen, toffe kleding, knappe lederwaren en leuke accessoires Als het op klantvriendelijke service aankomt, houden we ons muiltje niet Je bent een klantgerichte, enthousiaste collega met gevoel voor commercie en vooral passie voor de detailhandel Je zoekt een leuke parttime baan voor minimaal 12 en maximaal 32 uur per week De klant staat centraal en als geen ander weet jij het ultieme Customer Delight gevoel perfect te realiseren Als parttime verkoopmedewerker heb je geen bezwaar tegen het werken op koopavonden, zaterdagen enof zondagen Je bent resultaatgericht en weet van aanpakkenBristol is een platte organisatie met een nononsense cultuur en een uniek marketingconcept Een innovatief familiebedrijf welke zich kenmerkt door haar klantgericht handelen, veranderbereidheid, open communicatie n een sterke teamgeest Kortom een perfecte werksfeerWij zien jouw schriftelijke sollicitatie, voorzien van curriculum vitae, met belangstelling tegemoet Je kan solliciteren via onderstaand formulierEen integriteitscontrole via het waarschuwingsregister van de stichting Fraude Aanpak Detailhandel is onderdeel van de Nederlandse sollicitatieprocedure",Part-time,https://www.linkedin.com/jobs/view/externalApply/2313840039?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fparttime-verkoper-winkel-12-tot-32-uur-in-harlingen%2F252815%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D41508&urlHash=YQfx&refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/parttime-verkoper-winkel-12-tot-32-uur-at-nederland-vacature-groep-2313840039?refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,21/10/2020,24/11/2020
11,wholesale,LinkedIn,2269357162,Rituals Fietskoerier - Bergen op Zoom,rG/rosQDSZ69DKU944PdAw==,Rituals,"Bergen op Zoom, North Brabant, Netherlands","['Internet', 'Retail', 'Financial Services']","DOEL VAN DE FUNCTIEJij maakt mensen blij En zorgt ervoor dat de klant een rode loper ervaring krijgt en ons merk ten volle ervaart Deze unieke service creer jij door online bestellingen, vaak al binnen een dag, bij de klant thuis te bezorgenVoor jou als Rituals Koerier voor onze Shop in Bergen op Zoom is er een belangrijke  unieke rol weggelegd Een functie waar jij ervoor zorgt dat Rituals experience mindblowing wordt Jij zorgt voor een same day delivery Deze aflevering doe jij met aandacht en een glimlach Je vindt het heerlijk om te fietsen en deinst niet terug voor het Nederlandse weer Ook als het regent, sneeuwt of waait fietsen wij gewoon door Soms staat de klant al te wachten maar over het algemeen is de klant blij verrast dat jij met zijnhaar bestelling voor de deur staatOok ben jij degene die ervoor zorgt dat de orders, die binnenkomen via ons systeem, netjes verpakt worden in de shop en klaarstaan voor bezorging Door onze navigatie tool is het duidelijk wat de beste route is die jij moet fietsen om de pakketten van die dag te bezorgenEerlijkheid tegenover jezelf en anderen Dat betekent ook dat je de integriteitscontrole doorstaat via het waarschuwingsregister van de stichting Fraude Aanpak Detailhandel Dit is onderdeel van de procedureRituals biedt jou een sportieve  flexibele bijbaan met veel vrijheid en klantcontact Het salaris is marktconform en voor de bezorging bieden wij jou een regenjas aan Onze organisatie heeft veel groeipotentie en biedt een ambitieuze en prettige werksfeerWere not here to sell you beauty we are here to make you feel good Raymond Cloosterman, CEO RitualsWij zijn een sinds het jaar 2000, opgericht in Amsterdam Het is onze ambitie om op duurzame wijze door te groeien tot de nummer n wereldwijd in luxe cosmetica en deze positie te behouden Vandaag de dag zijn er meer dan 730 winkels gevestigd in 29 landen in Europa, Azi, het MiddenOosten en Noord en ZuidAmerika Ons doel is om 1000 winkels te hebben in 2020Door onderdeel te worden van Rituals, zal je een sterke bedrijfscultuur en een ondernemersgeest gaan ervaren, wat jou in staat stelt om een waardevolle carrire op te bouwen Wij geven net zoveel om het welzijn van onze werknemers als die van onze aarde Door hier gepassioneerd naar om te kijken geloven wij oprecht dat we kunnen bijdragen aan een duurzame wereld en zetten wij stappen om onze footprint te beperken Het is onze missie om mensen zich goed te laten voelen en een unieke ervaring te geven Ongeacht welke rol je bij Rituals vervult, lever je een positieve bijdrage aan onze dagelijkse bedrijfsvoeringAls jij degene bent die wij zoeken, twijfel dan niet en verstuur jouw sollicitatie Wij zullen spoedig contact met je opnemen",Part-time,https://www.linkedin.com/jobs/view/externalApply/2269357162?url=https%3A%2F%2Fcareers%2Erituals%2Ecom%2Fen-nl%2Fjobs%2Frituals-fietskoerier-bergen-op-zoom-op%2F&urlHash=p0Br&refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/rituals-fietskoerier-bergen-op-zoom-at-rituals-2269357162?refId=96e94ecc-bae5-41b3-b0f9-89efebf8ec14&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 month ago,1 month ago,21/10/2020,24/11/2020
