Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,sport,LinkedIn,2312752332,Copywriter,Dmixv4pJSme45zssFoFNjg==,Perry Sport,"Aalsmeer, North Holland, Netherlands",['Retail'],"Wij zoeken een Jr Online Copywriter, Als online copywriter ben je dagelijks bezig met het schrijven, redigeren en uptodate houden van onze digitale content voor onze websites wwwperrysportnl en wwwaktiesportnl De productcontent is zowel online als in al onze stores zichtbaar Jouw focus ligt op zoekmachine optimalisatie en tegelijkertijd op het op de juiste manier informeren van onze consumenten Daarnaast zal je ook je creativiteit kwijt kunnen in het schrijven van blogs en andere relevante artikelen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312752332?url=https%3A%2F%2Fwww%2Ewerkenbijperrysport%2Enl%2Fvacatures%2Fvacature-jr-online-copywriter-perry-aktiesport-557001-12%2Ehtml&urlHash=WoEm&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/copywriter-at-perry-sport-2312752332?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
2,sport,LinkedIn,2234211688,Research Analyst Sports,fuaUXaV+R7OW4InIaJxpxg==,Nielsen,"Diemen, North Holland, Netherlands",['Market Research'],"ABOUT THIS JOB ,  In this role, youll be responsible for market research projects in Belgium and the Netherlands from start to finish Youll work on writing research proposals, create questionnaires, conduct quantitative research studies, translate data into valuable insights, and present the results and recommendations to our clients in the sports industry ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2234211688?url=https%3A%2F%2Fjobs%2Enielsen%2Ecom%2Fjob%2FDiemen-Research-Consultant-Sports%2F688567600%2F%3Flocale%3Den_US&urlHash=z-wo&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/research-analyst-sports-at-nielsen-2234211688?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
3,sport,LinkedIn,2243555051,Market Research consultant - Sport,lTRAwmEARvyx5iTT2ESIlA==,Nielsen,"Diemen, North Holland, Netherlands",['Market Research'],"ABOUT THIS JOB ,  In this role, youll be responsible for market research projects in Belgium and the Netherlands from start to finish Youll work on writing research proposals, create questionnaires, conduct quantitative research studies, translate data into valuable insights, and present the results and recommendations to our clients in the sports industry ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2243555051?url=https%3A%2F%2Fjobs%2Enielsen%2Ecom%2Fjob%2FDiemen-Research-Consultant-Sports%2F688567600%2F%3Flocale%3Den_US&urlHash=z-wo&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/market-research-consultant-sport-at-nielsen-2243555051?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
4,sport,LinkedIn,2234244999,Market Research consultant - Sport,jM5waAADQqugvJOIN6RCeA==,Nielsen,"Diemen, North Holland, Netherlands","['Market Research', 'Management Consulting']","Market Research consultant  Sport  74328, , About This Job, , In this role, youll be responsible for market research projects in Belgium and the Netherlands from start to finish Youll work on writing research proposals, create questionnaires, conduct quantitative research studies, translate data into valuable insights, and present the results and recommendations to our clients in the sports industry, , Nielsen Media Sports is the premier data provider for brands, teams, federations, events, and agencies in sportsNielsen allows businesses around the world to better understand and connect with their audiences and customers through media, sponsorship, communication, and experiential platforms We can do that because weve been watching and listening to fans and their behavior for more than 30 years, , , , , , , , , , As the arbiter of truth, Nielsen Global Media fuels the media industry with unbiased, reliable data about what people watch and listen to To discover whats true, we measure across all channels and platformsu2060from podcasts to streaming TV to social media And when companies and advertisers are armed with the truth, they have a deeper understanding of their audiences and can accelerate growth, , Do you want to move the industry forward with Nielsen Our people are the driving force Your thoughts, ideas, and expertise can propel us forward Whether you have fresh thinking around maximizing a new technology or you see a gap in the market, we are here to listen and take action Our team is made strong by a diversity of thoughts, experiences, skills, and backgrounds Youll enjoy working with smart, fun, curious colleagues, who are passionate about their work Come be part of a team that motivates you to do your best work, , Regular, , Diemen , North Holland",Full-time,https://www.linkedin.com/jobs/view/externalApply/2234244999?url=https%3A%2F%2Fjobs%2Enielsen%2Ecom%2Fjob%2FDiemen-Research-Consultant-Sports%2F688567600%2F%3Fsrc%3DJB-10001&urlHash=rhKp&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/market-research-consultant-sport-at-nielsen-2234244999?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
5,sport,LinkedIn,2327216358,Business Analyst Ziggo Sport,Qg1ejgzYRCylLP/hLY7fwQ==,VodafoneZiggo,"Hilversum, North Holland, Netherlands",['Telecommunications'],"Onze sportprogrammas beginnen bij jouw verificatie ten opzichte van het budget, , Enjoy the challenge, , , Internationaal voetbal, autosport, golf, tennis en nog veel meer Genoeg liveprogrammas waaraan onze sportliefhebbers hun hart kunnen ophalen bij Ziggo Sport Deze programmas hebben ook een financile kant Dat is precies waar jij als Business Analyst een belangrijke rol vervult Jouw financile verificaties, vooruitziende blik en daadkrachtige houding spelen een belangrijke rol binnen het team van Ziggo Sport, , Jij verzorgt de administratie, vraagt Purchase Orders ATBs aan, hebt contact met de financile administratie in Utrecht en externe leveranciers, werkt de budgetten bij onder begeleiding van het productie team en 2 senior controllers Onze budgetten en rapportages liggen in jouw handen Van de grootste bedragen tot de kleinste details in de offertes Dat vraagt om initiatief en eigenaarschap voor de financile administratie, , , , , Jouw toekomstige team van Ziggo Sport bestaat uit ongeveer 25 collegas op het kantoor dat gevestigd is op het Media Park te Hilversum Zij staan bekend om hun drive altijd het beste resultaat te willen leveren en hun betrokkenheid Ze zijn niet bang om te sparren, net als jij In zon gedreven team is het tonen van initiatief d belangrijkste factor In het kantoor vind je, naast de werkplekken, ook de faciliteiten en een vernieuwde grote studio waar de uitzendingen worden gemaakt Jouw toekomstige leidinggevende is Head of Production  Facilities John van der Putten En jouw speelveld Dat bevindt zich met name op de afdeling Productie waarin men altijd nastreeft de budgetten zowel operationeel als inhoudelijk zo efficint mogelijk in te zetten Ook daar kan jij je helemaal in vinden, , VodafoneZiggo faciliteert connectiviteit tussen miljoenen mensen en organisaties Zo maken we de wereld steeds sneller en voegen we waarde toe Voor individuen En voor de maatschappij Met 8000 collegas willen we stimuleren Van monteurs, tot klantadviseurs, tot alle teams op onze kantoren We delen daarom drie waarden Open Up, Team Up en Step Up Deze staan voor ja denken, luisteren naar en leren van elkaar, samenwerken, omdenken en omdoen Dat vraagt om mensen die uit hun comfort zone durven te stappen Die elke uitdaging met plezier aangaan Spreekt dat je aan Dan willen we je graag ontmoeten, , , En maak plezier De weg ligt voor je open als bij Ziggo Sport Je hebt een scherp analytisch inzicht en het lef om continu zelf het initiatief en eigenaarschap te nemen Onze budgetten en dus de financile administratie van onze programmas zijn bij jou in goede handen Je durft vooruit te kijken Daarnaast weet je precies wat de programmas van Ziggo Sport nodig hebben en welke budgetten daarbij komen kijken Jij kijkt vooruit naar de te verwachte programmakosten en assisteert bij de voorbereidingen van de maandafsluiting en de forecasting Is een factuur verkeerd Jij lost het op want jij hebt ervaring in het uitvoeren van administratieve werkzaamheden, , Got what it takes Namelijk, , Check jij bovenstaande boxes en vraagt jouw situatie om extra flexibele werktijden of heb je een aangepaste werkplek nodig Die mogelijkheid is er, , , , Op basis van een 40urige werkweek kun je bij ons rekenen op, , , Solliciteer op de vacature van Ziggo Sport Vragen Bel of app Recruiter Lotte Bijleveld op 0621360339 of mail naar lottebijleveldvodafoneziggocom Dan heb je alle antwoorden zo te pakken Reageren kan tot en met 15112020",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327216358?url=https%3A%2F%2Fcareers%2Evodafoneziggo%2Ecom%2Fvacatures%2Fbusiness-analyst-ziggo-sport-e1130105&urlHash=wcUV&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/business-analyst-ziggo-sport-at-vodafoneziggo-2327216358?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
6,sport,LinkedIn,2325401281,Sport Facility Manager - Amsterdam Metropolitan Area,eI8qHnPfSMagxO0AzZ7oUQ==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","Job Context  Duties, , Recruit employees, , Implement operational business plans, , Promote equality in sport activities, , Handle customer complaints, , Coordinate events, , , , Experience of having worked in a similar role, , Good communication, cooperation and team working skills, , Openness and interest in learning and developing, , Excellent time management and organisational skills, , Strong motivation and open and positive attitude",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325401281?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D153dc91fcbd3%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddfcddb8dddfadc9addadd7addfgadaaaddfade3aeccdcdfec3ddcg3e&urlHash=_Lo3&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sport-facility-manager-amsterdam-metropolitan-area-at-talent-2325401281?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
7,sport,LinkedIn,2327031136,Supply Chain Coordinator,Wzp5VFxxSUqGeAzMkFbIHQ==,REVIT Sport International,"Oss, North Brabant, Netherlands","['Apparel & Fashion', 'Sporting Goods']","WHAT CAN YOU EXPECT FROM US, , REVIT is a global player, literally and figuratively We dont just sell our products in over 70 countries, but we also work together with suppliers and manufacturers from all over the world That means that were faced with some complex logistical processes",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327031136?url=https%3A%2F%2Fwww%2Erevitsport%2Ecom%2Fgb_en%2Fabout-revit%2Fworking-at-revit%2Fsupply-chain-coordinator-en%2F&urlHash=bBko&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/supply-chain-coordinator-at-rev-it%21-sport-international-2327031136?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
8,sport,LinkedIn,2277162127,Sport & Event Marketing Stage,uexJQNT6QdeGiZxLVQFphg==,Red Bull,"Amsterdam, North Holland, Netherlands",['Food & Beverages'],"Ben jij sport minded en heb je affiniteit met sportmarketing en zijn events je passie Dan ben je bij deze stage aan het juiste adres Wil je leren hoe je de vetste sport, dans en gaming evenementen organiseert en hoe Red Bull vleugels geeft aan mensen en ideen Krijg jij vleugels van het idee dat je bijdraagt aan toffe en impactvolle events zoals Red Bull Megaloop, Red Bull BC One, Red Bull Solo Q of een van onze andere events Als Sport  Event Marketing stagiaire ben je verantwoordelijk voor het cordineren van de uitvoering van Red Bull events en Red Bull activiteiten en af en toe ga je op pad met een vette DJ wagen Eventcar Willem Dit alles zorgt voor d ideale leerschool in de praktijk, dus we vragen een om een echte aanpakker Ook ben je tijdens events het aanspreekpunt voor leveranciers en de organisatie Je zorgt ervoor dat Red Bull er meer dan representatief bij staat",Full-time,https://www.linkedin.com/jobs/view/externalApply/2277162127?url=https%3A%2F%2Fjobs%2Eredbull%2Ecom%2Fnl-nl%2Famsterdam-sport-event-marketing-stagiaire-130580-049334&urlHash=91uZ&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sport-event-marketing-stage-at-red-bull-2277162127?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
9,sport,LinkedIn,2326075783,Influencer Executive,78lgZPWKSR2S8ZHZLKsaww==,Jd Sport,"Aalsmeer, North Holland, Netherlands",['Telecommunications'],"The purpose of this role is to increase brand awareness and growthengagement of social media channels using influencer marketing strategies This will involve coordinating the successful implementation of the JD France social media influencer program Day to day tasks will involve managing influencer relationships, seeding of contentproduct, organisingattending of influencer events and collaberation on campaigns Agreed weekly KPIs will be reported on to monitor the success of ongoing influencer activity Feedback on campaigns should be given and suggestions drawn on experience be provided Help formulate a strategic social media influencer strategy to increase brand awareness, social engagement, follower growth and website traffic Identify, locate and engage with key social media influencers Maintain database of influencers Updating of gifting log and accurate record keeping of daily items sent Running of competitions in collaboration with influencers Seeding out of JD France created content appropriately across the influencer network Managing the gifting delivery process to ensure accurate, timely and efficient arrival of products Accompanying influencers to events and ensuring JD France message is pushed Working closely with the wider Global Influencer department to ensure alignment across activations Establish and track KPIs and best practices for performance evaluationWere looking for a French Influencer Executive  JD SportsFor our MultiChannel team we are looking for an French Influencer Executive t Are you interested in this great opportunity Apply via the button below  Expert knowledge about all aspects of influencer marketing Ability to help plan and run regular influencer events Experience working with a buying department on seeding product to key social influencers Development of networks that appeal to multiple consumer targets around key interests and shopping behaviours Involvement handling influencer contracts and relationships Working with third party brands on key influencer campaigns Fluent French and English",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326075783?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fedb76d7c-e7dc-49a4-9fe6-52ac8258dc8a%3Fjid%3Ddd86e3005a114d173da9e4c26efcebd54d09d280a11d278247182f8e2a3e1f39%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=2HMd&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/influencer-executive-at-jd-sport-2326075783?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
10,sport,LinkedIn,2321549824,Sport Facility Manager,AQffTKQySza3h8Aip1FoMA==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']","Job Context  Duties, , Recruit employees, Implement operational business plans, , Promote equality in sport activities, , Coordinate events, , , , Experience of having worked in a similar role, , , Openness and interest in learning and developing, , Excellent time management and organisational skills, , Strong motivation and open and positive attitude",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321549824?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F883e3cf4-94c4-4d09-9429-2a5e3945a801%3Fjid%3D43adabc80b28e8a9f69c9595f9d271fb075642bda058d61dc410cc7d37d3c7ec%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=pnAD&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/sport-facility-manager-at-talent-2321549824?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
11,sport,LinkedIn,2312749551,Financieel-administratief assistent,16IlZxAfQAeczYPiw7/VOQ==,Perry Sport,"Aalsmeer, North Holland, Netherlands",['Retail'],"Wij zoeken een Senior Financieel Administratief Medewerker, Ter aanvulling van het Finance team zijn wij op zoek naar een Sr Financieel Administratief Medewerker Heb jij ervaring in administratief werk en wil jij werken in de dynamische wereld van de Retail Dan zijn wij op zoek naar jou",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312749551?url=https%3A%2F%2Fwww%2Ewerkenbijperrysport%2Enl%2Fvacatures%2Fvacature-senior-financieel-administratief-medewerker-perry-aktiesport-556981-12%2Ehtml&urlHash=QKGb&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/financieel-administratief-assistent-at-perry-sport-2312749551?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
12,sport,LinkedIn,2312385621,Junior camera talent,GpHxHha2Sc6tlaiuH6fZ8g==,OKwork,"Hilversum, North Holland, Netherlands",['Sports'],"Voor het grootste facilitair televisie bedrijf in Nederland zijn wij op zoek naar Camera talent, , Zijn jij en je camera onafscheidelijk Heb je onlangs je studie afgerond waarin je al een beetje van het cameravak hebt mogen proeven en kun je niet wachten om de stap te nemen om van je passie je werk te maken Wil jij jezelf verder ontwikkelen binnen een superleuk team met vakspecialisten Wij zijn op zoek naar nieuwe talenten voor zowel onze remote camera als meercamera producties Deze kans kun je serieus niet laten schieten, , De uitdaging, , Onze opdrachtgever groeit hard, heel hard en daarom zijn ze misschien nog wel harder op zoek naar nieuw camera talent Ze hebben dan ook geen plek voor 1, maar voor meerdere nieuwe collegas Als junior binnen de meercamera vakgroep start je samen met een aantal mede camera newbies aan een supertof traineetraject Samen delen jullie een grote passie voor het cameravak en de gezonde ambitie om het te gaan maken in televisieland Je gaat weer even back to school en start met een korte opleiding waarin theorie en praktijk met elkaar gecombineerd worden Voor je het veld in gaat, heb je dus een hele mooie basis die niemand je meer afpakt, , Na de cursus zal je je breed gaan orinteren Dit betekend dat je zal worden ingezet op een breed scala aan klussen voor zowel Meercamera als Remote Camera producties Met jouw gevoel voor beeldcompositie kun je een stempel op de stijl van het programma drukken, zowel artistiek als inhoudelijk Je werkt op basis van de aanwijzingen van de regisseur of eerste cameraman, maar je krijgt zeker de kans jezelf creatief te ontplooien Je moet dus goed kunnen luisteren naar anderen maar zeker niet bang zijn je eigen visie in te brengen Jij en je camera zijn een belangrijke schakel in het meercamera team tijdens een opnames van GTST, Veronica Inside, Op1 en Eredivisie Voetbal Maar ook grote spektakels als The Voice, The Passion en Lowlands kunnen op je planning komen te staan Jouw werk is straks zichtbaar in iedere huiskamer Hoe cool is dat, , Ben jij, , niet normaalongelooflijkontzettend gepassioneerd over het cameravak en weet jij zeker dat je de komende jaren als cameraman of vrouw door het leven wilt een multitasker die in staat is te kijken, luisteren en snel te handelen tegelijkertijd zonder daarbij in de vlekken te schieten je er van bewust dat je op onregelmatige tijden gaat werken en heb je daar geen problemen mee, , Daarnaast, , , , En",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312385621?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F20d17700-049f-4b76-b552-d2fa3c8397da%3Fjid%3D811e31f63fee2a49033f68807deb87555c7a7f12fe033c6fb3275de7efc9fcf6%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=OYbH&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-camera-talent-at-okwork-2312385621?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
13,sport,LinkedIn,2312687616,Trainer,Oo/oMxU2REiet59X3/HG0w==,Holland  Barrett Benelux,"Amsterdam, North Holland, Netherlands","['Retail', 'Health, Wellness and Fitness', 'Professional Training & Coaching']","Trainer Landelijk, Landelijk  40 uur, , Onze medewerkers beschikken over een schat aan kennis op het gebied van gezondheid, verzorging en natuurlijke producten Deze kennis delen zij graag met onze klanten De medewerkers kennen de producten en het verhaal hierachter en blijven door training op de hoogte van de nieuwste ontwikkelingen en trends",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312687616?url=https%3A%2F%2Fwerkenbij%2Ehollandandbarrett%2Enl%2Fvacaturebeschrijving%2Ftrainer-landelijk&urlHash=bbtf&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/trainer-at-holland-barrett-benelux-2312687616?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
14,sport,LinkedIn,2313245818,Publisher,GQ+d05QQRuqJjMgiOGIzoA==,Elsevier,"Amsterdam, North Holland, Netherlands","['Publishing', 'Research', 'Information Technology and Services']","Publisher, Geochemistry and Planetary Science Journals, , For the Global STM Journals department, Elsevier is looking for a Publisher to manage our Geochemistry and Planetary Science Journals portfolios, based in Amsterdam, London or Oxford",Full-time,https://www.linkedin.com/jobs/view/externalApply/2313245818?url=https%3A%2F%2Frelx%2Ewd3%2Emyworkdayjobs%2Ecom%2FElsevierJobs%2Fjob%2FAmsterdam%2FPublisher--Geochemistry-and-Planetary-Science-Journals_R11833%3Fsource%3DLinkedin&urlHash=0IXR&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/publisher-at-elsevier-2313245818?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
15,sport,LinkedIn,2321110612,Gastvrouw / Gastheer Bijbaan,tE/XYPDNS++rw40KUF2daw==,BasicFit,"Almere, Flevoland, Netherlands","['Information Technology and Services', 'Internet', 'Financial Services']","Zo ziet jouw opdracht eruit, , Als Gastvrouw  Gastheer ben jij het eerste aanspreekpunt van de club Aan de receptie help je de leden met oa inschrijvingen, vind je het leuk om op enthousiaste wijze onze producten en diensten over te brengen op onze leden en houd je de club strak en schoon Dit doe je allemaal met een positieve instelling en vraagt ook om een groot verantwoordelijkheidsgevoel aangezien je vaak zelfstandig werkt Iedereen met veel plezier naar de club laten terugkomen, daar doe je het voor Kijk ook eens naar onze videos Daar zijn onze medewerkers aan het woord, , , , Een spontane, sportieve en gastvriendelijke instelling, met maar n doel, tevreden leden, , , , , , BasicFit is een jonge, dynamische en sterk groeiende organisatie met een duidelijke missie inmiddels zijn wij de grootste fitnessketen in Nederland Buiten Nederland hebben we clubs in Belgi, Luxemburg, Frankrijk en Spanje Wij vinden dat sporten betaalbaar en laagdrempelig moet zijn zodat iedereen die fit wil worden, fit kn worden Ons doel is om de komende jaren verder te professionaliseren en door te groeien Hiervoor hebben we enthousiaste medewerkers nodig, wij nodigen dan ook iedereen uit om te solliciteren, , , , Met deze bijbaan functie ga jij als Gastvrouw  Gastheer net zoveel plezier hebben als de leden die naar de club komen Go For It, , , , Wil jij komen werken bij d grootste fitnessketen van Nederland Solliciteer dan nu en wellicht maak jij binnenkort deel uit van de Orange Family van BasicFit, , , bij veel interesse wordt de vacature eerder offline gehaald, , , , , , Naam afzender, , Email afzender, , Email ontvanger, , Bericht, Hi naam, Wil jij werken bij BasicFit, de grootste fitnessketen van Nederland Ik zag dat ze een vacature open hebben staan voor Gastvrouw  Gastheer Bijbaan Volgens mij is dit cht iets voor jou Ben je nieuwsgierig Bekijk de vacature httpsjobsbasicfitcomnlnlvacaturesclubvacaturesdetailsgastvrouwgastheerbijbaan38902, , Anti spam, , , , , , , , SubscribeBasic Fit JoyAnneIf playback doesnt begin shortly, try restarting your device, , , , Your browser does not currently recognize any of the video formats available, Click here to visit our frequently asked questions about HTML5 video, , , , Switch cameraShareInclude playlistAn error occurred while retrieving sharing information Please try again later000000000  044",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321110612?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D54122a7015c8%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddbcddceddf8ddebdde9adfadd9gddgaddffddb3aedcdc8fec3ddcg3e&urlHash=kf4B&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/gastvrouw-gastheer-bijbaan-at-basic-fit-2321110612?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
16,sport,LinkedIn,2326385475,Recreation Policy Officer,p0Yt2daCQrydVPoi0hDr+Q==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Telecommunications'],"Job Context  Duties, , Advise on legislative acts, Promote sport activities in public health, , Manage government policy implementation, , Maintain relationships with government agencies, , , , , Good interpersonal and communication skills, with customer service orientation, , , Ability to work autonomously, , Experience of having worked in a similar role, , Experience of working effectively in an international or multicultural environment",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326385475?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F420c9fc7-e113-4774-90ed-e5689f6f5fd1%3Fjid%3D44747ce9da0e0776927604e2e498a5894a272f4e355b1ef7cc688f6d0bf7e6f1%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=tzgX&refId=3670f0e3-2049-44f7-be14-ceea42f6e805&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/recreation-policy-officer-at-talent-2326385475?refId=3670f0e3-2049-44f7-be14-ceea42f6e805&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-17,2020-11-30
