Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,author,LinkedIn,2255962424,Vacature Auteur Edelsmid/goudsmid,FfFjWGAcSIejpWe/vkET1Q==,NHA,"Panningen, Limburg, Netherlands",['Information Technology and Services'],"Details van de functie, , Auteur EdelsmidgoudsmidNHA is op zoek naar een enthousiaste auteur voor de cursus Edelsmidgoudsmid Taken NHA wil graag een cursus ontwikkelen over het vak edel en goudsmid Profiel U heeft  ruime ervaring als smidjuwelier  bij voorkeur affiniteit met afstandsonderwijs en het ontwikkelen van lesmateriaal  een goed inlevingsvermogen  uitstekende communicatieve en schriftelijke vaardigheden  het vermogen om flexibel en accuraat te werken Geboden  Een passende vergoeding en een blijvende bijverdienste indien u ook huiswerkdocent wil worden  Een flexibele freelance functie die prima te combineren is met een andere baan Herkent u zich in dit profiel en spreekt de taakomschrijving u aan of wilt u meer informatie Stuur dan uw motivatiebrief met cv naar stuur een email Acquisitie naar aanleiding van deze advertentie wordt niet op prijs gesteld, , , , Gerelateerde opleidingencursussen aan de sectoren van deze vacature",Full-time,https://www.linkedin.com/jobs/view/externalApply/2255962424?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-4408789659971052934%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=n6RV&refId=abae29aa-2ab2-4114-b148-8d37f1828885&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vacature-auteur-edelsmid-goudsmid-at-nha-2255962424?refId=abae29aa-2ab2-4114-b148-8d37f1828885&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-05,2020-11-28
2,author,LinkedIn,2267494190,Voor auteur cursus Opruimcoach / Professional Organizer,bnBEOw76QRO2/jyxYlSWzQ==,NHA,"Panningen, Limburg, Netherlands",None,"NHA is op zoek naar een enthousiaste auteur voor de cursus Opruimcoach  Personal Organizer Taken Het schrijven van nieuw studiemateriaal Het nadien reviseren van gedateerd studiemateriaal en het corrigeren van huiswerk is wenselijk, maar geen verplichting Profiel, U heeft ruime ervaring als professional organizer",Full-time,https://www.linkedin.com/jobs/view/externalApply/2267494190?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fvoor-auteur-cursus-opruimcoach-professional-organizer%3A43338568%2F&urlHash=9s1-&refId=abae29aa-2ab2-4114-b148-8d37f1828885&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/voor-auteur-cursus-opruimcoach-professional-organizer-at-nha-2267494190?refId=abae29aa-2ab2-4114-b148-8d37f1828885&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-05,2020-11-28
32,author,LinkedIn,2284881898,2 Universitair Docenten Ondernemingsrecht en Insolventierecht,Viy1ZhdhwzL55DKoXgDqPg==,University of Amsterdam,"Amsterdam, North Holland, Netherlands","['Higher Education', 'Nonprofit Organization Management', 'Research']","De afdeling Privaatrecht is op zoek naar twee Universitaire Docenten voor het onderwijs op het gebied van het Ondernemingsrecht en het Insolventierecht in de Bachelor rechtsgeleerdheid en de masteropleiding Privaatrecht, , Het onderzoek van de leerstoelgroep is ondergebracht in the Amsterdam Center for Transformative Law ACT, , Wat ga je doen, , Je, , , Wat vragen wij van jou, , De kandidaat die wij zoeken, , , Inlichtingen, , Voor meer informatie kun je contact opnemen met, , , , Voor meer informatie over werken bij de Universiteit van Amsterdam verwijzen wij naar de website, , Ons aanbod, , We bieden een afwisselende en uitdagende baan in een ambitieuze organisatie Het gaat in eerste instantie om een tijdelijk dienstverband voor de duur van een jaar met uitzicht op een vast dienstverband Op deze functie is het UFOprofiel van Universitair Docent 2 van toepassing Het salaris bedraagt minimaal 3746 en maximaal 5127 schaal 11 bruto per maand op basis van volledige werktijd 38 uur, , Een tenure track naar Universitair Hoofddocent 2 volgens het zogeheten up or out principe behoort ook tot de mogelijkheden In dat geval betreft dit een tijdelijk dienstverband voor 6 jaar in de functie van Universitair Docent 2 met uitzicht op een vast contract als Universitair Hoofddocent 2 indien aan de gestelde voorwaarden is voldaan, , De UvA biedt verder een uitgebreid pakket secundaire arbeidsvoorwaarden, waaronder 8 vakantiegeld en 83 eindejaarsuitkering De cao Nederlandse Universiteiten is van toepassing, , Over de faculteit, , Met ruim 5000 studenten en 500 medewerkers is de Faculteit der Rechtsgeleerdheid van de Universiteit van Amsterdam een van de grotere juridische faculteiten van Nederland De Faculteit verzorgt de bacheloropleidingen Rechtsgeleerdheid, Fiscaal recht en  samen met twee andere faculteiten  de opleiding PPLE Daarnaast biedt zij 19 masteropleidingen met verschillende varianten aan Het onderzoek van de faculteit vindt plaats in een verscheidenheid aan onderzoeksgroepen, programmas en centra De faculteit heeft een internationaal profiel en kiest voor een maatschappelijke benadering van het recht, , Het onderwijs en het onderzoek worden verzorgd door de zes afdelingen van de Faculteit Algemene Rechtsleer, Arbeids en Informatierecht, Internationaal en Europees Publiekrecht, PPLE, Privaatrecht en Publiekrecht, , , , , , Kandidaten wordt gevraagd, , , Je kunt je sollicitatie opsturen via onderstaande link, , De vacature sluit op 31 januari 2021",Full-time,https://www.linkedin.com/jobs/view/externalApply/2284881898?url=https%3A%2F%2Fwww%2Euva%2Enl%2Fcontent%2Fvacatures%2F2020%2F11%2F20-708-2-universitair-docenten-ondernemingsrecht-en-insolventierecht%2Ehtml%3Forigin%3DRrhWo%252FMXSgW7Uzvhwnl%252B%252Fg%26%253Futm_source%3Dlinkedin%26utm_medium%3Djobslot%26utm_campaign%3DLinkedin2015&urlHash=LClT&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/2-universitair-docenten-ondernemingsrecht-en-insolventierecht-at-universiteit-van-amsterdam-2284881898?refId=ec1ffead-33a1-4f5e-9905-c58ad50555ac&trackingId=Viy1ZhdhwzL55DKoXgDqPg%3D%3D&position=7&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
4,author,LinkedIn,2255963420,Vacature Auteur/docent cursus broodbakker,pq0nGTwASdOwp6Y2fkyqNw==,NHA,"Panningen, Limburg, Netherlands",['Information Technology and Services'],"Details van de functie, , Vacature Auteurdocent cursus broodbakkerNHA is op zoek naar een enthousiaste auteur voor het ontwikkelen van lesmateriaal voor de cursus Broodbakker Taken Het ontwikkelen van een cursus Broodbakker Het nadien corrigeren van huiswerk is wenselijk maar geen verplichting Profiel U heeft ruime ervaring als Broodbakker ruime ervaring als docent in het vakgebied ervaring met het vormgeven en schrijven van lesmateriaal bij voorkeur affiniteit met afstandsonderwijs een goed inlevingsvermogen uitstekende communicatieve en schriftelijke vaardigheden het vermogen om flexibel en accuraat te werken Geboden Een passende vergoeding voor het ontwikkelen van de cursus en een blijvende bijverdienste als u ook kiest om nadien het huiswerk na te kijken Een flexibele freelance functie die prima te combineren is met een andere baan Herkent u zich in dit profiel en spreekt de taakomschrijving u aan Stuur dan uw motivatiebrief met cv naar stuur een email  Acquisitie naar aanleiding van deze advertentie wordt niet op prijs gesteld, , , , Gerelateerde opleidingencursussen aan de sectoren van deze vacature",Full-time,https://www.linkedin.com/jobs/view/externalApply/2255963420?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-976233614143044790%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=8Dxw&refId=abae29aa-2ab2-4114-b148-8d37f1828885&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/vacature-auteur-docent-cursus-broodbakker-at-nha-2255963420?refId=abae29aa-2ab2-4114-b148-8d37f1828885&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-05,2020-11-28
5,author,LinkedIn,2315225651,Document controleur/auteur en Hydra Coach | Drachten | Randstad,fn1priVaSF6iulCyYA9xEg==,Werkzoekennl,"Drachten, Friesland, Netherlands","['Construction', 'Mechanical or Industrial Engineering', 'Civil Engineering']","Vacature van Randstad, locatie Drachten, , Voor Philips in Drachten zoeken we een nieuwe collega voor een combinatiefunctie van Document controleurauteur en Hydra coach In deze functie maak je onderdeel uit van het Competence Center Het Competence Center is onder andere verantwoordelijk voor de bewaking van de voortgang en de kwaliteit van competentie ontwikkelingen We bieden een detacheringsovereenkomst van 6 maanden, , , , , Voor deze uitdagende en brede functie zoeken we een sociale, communicatief vaardige collega die de rol van coach op zich kan nemen en die energie krijgt van het begeleiden van collegas Daarnaast ben je in staat is om heldere en begrijpelijke technische instructies en opleidingsdocumenten te schrijven, voor doelgroepen, varirend van MBO1 tot en met MBO4 niveau Het is daarbij belangrijk dat je goed kunt communiceren en kunt schakelen van operator tot aan managementniveau, , , , Binnen Philips Drachten worden documenten geschreven oa Instructies en kennisdocumenten die gebruikt worden om operators op te leiden en te begeleiden in het oplossen van storingen Deze documenten moeten voldoen aan het format dat hiervoor is opgesteld, aansluiten bij het WEBniveau waarvoor de instructie is bedoeld en gearchiveerd worden In de rol van document controleur en auteur vervul je deze rol voor alle nieuwe en wijzigingen in bestaande productiedocumenten voor de gehele fabriek in Drachten Daarnaast word je ingezet als Hydra coach Binnen Philips Drachten wordt een Manufacturing Execution System gentroduceerd genaamd Hydra In je rol als coach, leid je mensen op aan de productielijn aan de hand van instructies in het gebruik van Hydra Daarnaast ondersteun je in het schrijven of herschrijven van instructies voor het gebruik van Hydra, , , Philips is een ambitieus bedrijf dat zich focust op het verbeteren van de gezondheid van mensen Het is een modern bedrijf dat gebruik maakt van geavanceerde technologien en klinische toepassingen Ze houden rekening met de behoeften van consumenten om gentegreerde oplossingen te ontwikkelen Werken bij Philips, houdt in werken in een innovatieve en dynamische omgeving met veel mogelijkheden, , Ben je genteresseerd in deze allround functie, solliciteer dan direct, Uiteraard staat deze vacature open voor iedereen die zich hierin herkent, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315225651?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F1238_randstad%2Fvacatures%2F4963950_document-controleur-auteur-en-hydra-coach%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dtechnical%2Bdrachten&urlHash=ubp1&refId=abae29aa-2ab2-4114-b148-8d37f1828885&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/document-controleur-auteur-en-hydra-coach-drachten-randstad-at-werkzoeken-nl-2315225651?refId=abae29aa-2ab2-4114-b148-8d37f1828885&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-05,2020-11-28
6,author,LinkedIn,2314423917,Document controleur/auteur en Hydra Coach,G5TfdbaISJWfK7Q0fg9g8A==,Uitzendbureaunl,"Drachten, Friesland, Netherlands","['Internet', 'Machinery', 'Staffing and Recruiting']","Voor Philips in Drachten zoeken we een nieuwe collega voor een combinatiefunctie van Document controleurauteur en Hydra coach In deze functie maak je onderdeel uit van het Competence Center Het Competence Center is onder andere verantwoordelijk voor de bewaking van de voortgang en de kwaliteit van competentie ontwikkelingen We bieden een detacheringsovereenkomst van 6 maanden, , , , , Voor deze uitdagende en brede functie zoeken we een sociale, communicatief vaardige collega die de rol van coach op zich kan nemen en die energie krijgt van het begeleiden van collegas Daarnaast ben je in staat is om heldere en begrijpelijke technische instructies en opleidingsdocumenten te schrijven, voor doelgroepen, varirend van MBO1 tot en met MBO4 niveau Het is daarbij belangrijk dat je goed kunt communiceren en kunt schakelen van operator tot aan managementniveau, , , , Binnen Philips Drachten worden documenten geschreven oa Instructies en kennisdocumenten die gebruikt worden om operators op te leiden en te begeleiden in het oplossen van storingen Deze documenten moeten voldoen aan het format dat hiervoor is opgesteld, aansluiten bij het WEBniveau waarvoor de instructie is bedoeld en gearchiveerd worden In de rol van document controleur en auteur vervul je deze rol voor alle nieuwe en wijzigingen in bestaande productiedocumenten voor de gehele fabriek in Drachten Daarnaast word je ingezet als Hydra coach Binnen Philips Drachten wordt een Manufacturing Execution System gentroduceerd genaamd Hydra In je rol als coach, leid je mensen op aan de productielijn aan de hand van instructies in het gebruik van Hydra Daarnaast ondersteun je in het schrijven of herschrijven van instructies voor het gebruik van Hydra, , , Philips is een ambitieus bedrijf dat zich focust op het verbeteren van de gezondheid van mensen Het is een modern bedrijf dat gebruik maakt van geavanceerde technologien en klinische toepassingen Ze houden rekening met de behoeften van consumenten om gentegreerde oplossingen te ontwikkelen Werken bij Philips, houdt in werken in een innovatieve en dynamische omgeving met veel mogelijkheden, , Ben je genteresseerd in deze allround functie, solliciteer dan direct, Uiteraard staat deze vacature open voor iedereen die zich hierin herkent, , Opleiding, , MBO",Full-time,https://www.linkedin.com/jobs/view/externalApply/2314423917?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-5386933427361457290%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=1MXj&refId=abae29aa-2ab2-4114-b148-8d37f1828885&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/document-controleur-auteur-en-hydra-coach-at-uitzendbureau-nl-2314423917?refId=abae29aa-2ab2-4114-b148-8d37f1828885&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-05,2020-11-28
7,author,LinkedIn,2293333410,Stafadviseur,IC3GkwdFSs228RGGcdcwFQ==,AcademicTransfer,"Utrecht, Utrecht, Netherlands","['Information Technology and Services', 'Research', 'Hospital & Health Care']","Als stafadviseur ben je verantwoordelijk voor tactisch en strategisch advies aan directie en management team van Amsterdam Neuroscience op het gebied van het wetenschapsmanagement en het operationele beleid van het onderzoekerzoeksinstituut Je adviseert en ondersteunt de directie en hebt een belangrijke verbindende functie met onze senior en junior onderzoekers, met name de meer dan 150 Principal Investigators en stafmedewerkers van Amsterdam UMC, VU en UvA, maar meer dan 500 AIOs en fellows die bij Amsterdam Neuroscience promoveren enof in opleiding zijn, , Daarnaast vervul je de rol van senior projectmedewerker, waarbij je een heel scala aan complexe operationele beleidstaken zelfstandig ontwerpt en daar  in samenwerking met collegas  uitvoering aan geeft Je zet een beleids plan op en voert de daarin opgenomen activiteiten deels ook uit Steeds zorg je hierin voor een goede afstemming met alle betrokken partijen Je maakt deel uit van het ondersteunende team van de directie van Amsterdam Neuroscience, maar hebt een zelfstandig opererende vooruitgeschoven taak, , Als stafadviseursenior projectmedewerker zijn je voornaamste taken",Full-time,https://www.linkedin.com/jobs/view/externalApply/2293333410?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fb1ba7793-92de-4b49-aa4c-f9e72efde544%3Fjid%3Dd99824590fe62ff3e5451c68225fb39707a7d4a37b341a863fe00300093361cd%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=7KkV&refId=abae29aa-2ab2-4114-b148-8d37f1828885&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/stafadviseur-at-academictransfer-2293333410?refId=abae29aa-2ab2-4114-b148-8d37f1828885&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-05,2020-11-28
13,author,LinkedIn,2305913570,Auteurs voor Overal Natuurkunde,vmyGQSA66vq/9XsqT/bkbw==,Noordhoff,"Groningen, Groningen, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Auteurs gezocht, , Vindt u het leuk om actief en op een andere manier met uw vak bezig te zijn Om samen te werken met collegas van andere scholen in het land En om materiaal te ontwikkelen voor heel Nederland Dan is auteurswerk bij Overal Natuurkunde wellicht iets voor u, , Noordhoff Uitgevers zoekt enthousiaste, ervaren en beginnende docenten NaSk en natuurkunde die graag als auteur een bijdrage willen leveren aan goed online lesmateriaal, , , , , , Belangrijke eigenschappen voor potentile auteurs zijn creativiteit en nauwkeurigheid De ontwikkeling van het lesmateriaal vindt in een team plaats",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305913570?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D21c77240876d%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddecddfeadd8dd9bdd99ddeaddcgddgadd8fdd93deacaccfec3ddcg3e&urlHash=xn9A&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/auteurs-voor-overal-natuurkunde-at-noordhoff-2305913570?refId=b9055e77-f90e-4e59-b12d-35818147a732&trackingId=vmyGQSA66vq%2F9XsqT%2Fbkbw%3D%3D&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
9,author,LinkedIn,2248169294,Productie Maintenance Coördinator,9AYvYU1JQCqVSplbnCUY5g==,The Chemours Company,"Dordrecht, South Holland, Netherlands",['Chemicals'],"Productie Maintenance Cordinator, , The Netherlands  Dordrecht, As we create a colorful, capable and cleaner world through chemistry, we invite you to join our team to harness the power of chemistry to shape markets, redefine industries and improve lives for billions of people around the world, , Chemours is op zoek naar een om ons groeiende afdelingsteam te versterken In je functie zal je komen te werken op onze, , , , Als PMC ben je verantwoordelijk voor de algehele cordinatie en het tijdig inplannen en uitvoeren van alle onderhoudstaken Dit vereist afstemming met de planner en communicatie met Ops Ook vraagt dit cordinatie van apparatuurvoorbereiding, waaronder tijdige GVT, decontaminatie, enz samen met de productieorganisatie om arbeidstijd maximaal te benutten en tijd dat appartuur niet kan worden gebruikt te minimaliseren Je verzorgt hierbij ook afstemming met de Maintenance organisatie en je zorgt ervoor dat de installatie volgens plan op het afgestemde juiste moment gereed staat voor uitvoer van het werk en dat dit is opgenomen in de productieplanning van de lijn, , , , Als PMC ben je verantwoordelijk voor de unit integratieleider van het Works Management Processes WMP in de productie, maintenance en capital organisatie Dit gericht op het steeds efficinter plannen van het werk en zo efficinter gebruik van de apparatuur en middelen Je overziet daarbij de wijze waarop de onderhoudsstrategie invloed heeft op de OEE2 en OEE3 en stuurt in keuzes op minimaliseren van verliezen in OEE2 en OEE3 Ook overziet de PMC de invloed van Maintenance op SPDQCM, , De PMC stelt verbetering voor en stimuleert anderen om zo het geplande preventieve werkpakket zo optimaal mogelijk uit te voeren, , , , , , , , , , , We worden gedreven door ons doel om een meer kleurrijke, capabele en schonere wereld te creren door de kracht van de chemie, , Gebaseerd op een 200 jaar oude erfenis en een productportfolio van wereldklasse, brengen we dagelijks gemak in vrijwel alles wat mensen aanraken, van autos, verven en kunststoffen tot elektronica, bouw, energie en telecommunicatie We brengen oplossingen die beter, veiliger, betrouwbaarder en duurzamer zijn, door de kracht van de chemie, , , , Wij zien onze mensen als onze grootste toevoeging In plaats van ons te richten op wat onze medewerkers elke dag doen, kijken we naar hoe ze het doen Door een andere benadering van talentontwikkeling, medewerkersbetrokkenheid en cultuur is het ons doel om medewerkers in staat te stellen het beste uit zichzelf te halen  op Chemours en in het leven, , De onze in Chemours staat voor iedereen die hier werkt We zijn met duizenden mensen sterk en altijd op zoek naar de beste en slimste mensen om ons team te versterken, , , , Vijf fundamenten fundamentele waarden vormen de onderbouw van onze cultuur als multinational, , Bedrijf Het zijn kernovertuigingen die zowel ons gedrag als onze aspiraties sturen en in een kader plaatsen, , Onze waarden zijn deels wat ons onderscheidt van anderen, waardoor we uniek zijn in Chemours, , Ze zijn klantgericht, verfrissende eenvoud, collectief ondernemerschap,, , Veiligheidsobsessie en onwankelbare integriteit Bij Chemours zijn onze waarden waar alles begint, , We zijn vereerd om voor 20192020ons tweede jaar op rij te worden uitgeroepen tot Great Place to WorkCertified Company, , At Chemours, you will find sustainability in our vision, our business and your future If you want to work on the leading edge of your field and have a desire to make a difference, join Chemours and discover what it means when we say We Are Living Chemistry, , Posted 21 Days Ago Full time JR5621, , A new company A new purpose A new commitment to customers and chemistry We are Chemours And even more exciting is how our employees are committed to be catalysts for better The word ours is in our name intentionally It is about our employees, our customers and our world Our values are simple We seek to put our customers first always We encourage creativity and simplicity We give you the ability to operate with the innovation and enthusiasm of an entrepreneur We are obsessed with making our world safe and we do this all with unshakable integrity  doing what is right See chemistry in a different way at Chemours",Full-time,https://www.linkedin.com/jobs/view/externalApply/2248169294?url=https%3A%2F%2Fchemours%2Ewd5%2Emyworkdayjobs%2Ecom%2FChemours%2Fjob%2FThe-Netherlands---Dordrecht%2FProductie-Maintenance-Cordinator_JR5621%3Fsrc%3DJB-10440%26source%3DLinkedin&urlHash=QFBW&refId=abae29aa-2ab2-4114-b148-8d37f1828885&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/productie-maintenance-co%C3%B6rdinator-at-the-chemours-company-2248169294?refId=abae29aa-2ab2-4114-b148-8d37f1828885&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-05,2020-11-28
35,author,LinkedIn,2279948588,"Stage: Manuscriptbeoordeling, (online) communicatie en marketing in Soest",9B7FOgIMNsLgkhb/JfOLRQ==,Uitgeverij Boekscout,"Amersfoort, Utrecht, Netherlands",['Publishing'],"Wat ga je doen, , Als stagiair werk je mee met alle disciplines van de afdelingen manuscriptbeoordeling  marketing Je leert alle ins en outs van het beoordelen van een manuscript Wanneer is een manuscript inhoudelijk sterk genoeg om uit te geven Wat zijn de verkoopkansen van het boek en hoe groot is het netwerk van de auteur Hierover heb je nauw contact met de auteur, , Op de marketingafdeling zorg je ervoor dat boeken met extra potentie ook extra ondersteuning krijgen Je schrijft bijvoorbeeld persberichten, brengt ideen aan voor creatieve PRacties, monitort en documenteert free publicity Maar dat is nog niet alles Je verzamelt ook content, herschrijft en plaatst berichten op onze website, blog en social mediakanalen, , Uiteraard is er tijdens de stageperiode ruimte voor het opzetten en uitvoeren van een eigen project of opdracht, , Wat wij bieden, , , , , , We nodigen je graag uit voor een gesprek bij ons op kantoor en stellen graag iedereen even aan je voor, , Stagevergoeding van  350, per maand fulltime, , Solliciteren, , Ben jij de perfecte kandidaat voor deze vacature en voldoe je aan de eisen Klik dan op de knop Solliciteer direct en we nemen zo snel mogelijk contact met je op",Full-time,https://www.linkedin.com/jobs/view/externalApply/2279948588?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F8902154038008324619%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=yGu1&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/stage-manuscriptbeoordeling-online-communicatie-en-marketing-in-soest-at-uitgeverij-boekscout-2279948588?refId=ec1ffead-33a1-4f5e-9905-c58ad50555ac&trackingId=9B7FOgIMNsLgkhb%2FJfOLRQ%3D%3D&position=10&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
10,author,LinkedIn,2306083567,Auteurs voor Chemie,mJar0KROG7z2NoJ3h+/NfQ==,Noordhoff,"Groningen, Groningen, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Auteurs gezocht, , Vindt u het leuk om actief en op een andere manier met uw vak bezig te zijn Om samen te werken met collegas van andere scholen in het land En om materiaal te ontwikkelen voor heel Nederland Dan is auteurswerk bij een van onze scheikunde methode wellicht iets voor u, , Noordhoff Uitgevers zoekt enthousiaste, ervaren en beginnende docenten scheikunde die graag als auteur een bijdrage willen leveren aan goed online lesmateriaal, , , , , , Belangrijke eigenschappen voor potentile auteurs zijn creativiteit en nauwkeurigheid De ontwikkeling van het lesmateriaal vindt in een team plaats",Full-time,https://www.linkedin.com/jobs/view/externalApply/2306083567?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6deb608cf115%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacadceadb8adebdda9ddgadd8gaddaadafddf3defcdcbfec3ddcg3e&urlHash=NDgH&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/auteurs-voor-chemie-at-noordhoff-2306083567?refId=b9055e77-f90e-4e59-b12d-35818147a732&trackingId=mJar0KROG7z2NoJ3h%2B%2FNfQ%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-19,2020-11-30
12,author,LinkedIn,2315226523,Document controleur/auteur en Hydra Coach | Drachten | Randstad,VH98Nw2YSv62XuA3YfpcVA==,Werkzoekennl,"Drachten, Friesland, Netherlands","['Construction', 'Mechanical or Industrial Engineering', 'Civil Engineering']","Vacature van Randstad, locatie Drachten, , Voor Philips in Drachten zoeken we een nieuwe collega voor een combinatiefunctie van Document controleurauteur en Hydra coach In deze functie maak je onderdeel uit van het Competence Center Het Competence Center is onder andere verantwoordelijk voor de bewaking van de voortgang en de kwaliteit van competentie ontwikkelingen We bieden een detacheringsovereenkomst van 6 maanden, , , , , Voor deze uitdagende en brede functie zoeken we een sociale, communicatief vaardige collega die de rol van coach op zich kan nemen en die energie krijgt van het begeleiden van collegas Daarnaast ben je in staat is om heldere en begrijpelijke technische instructies en opleidingsdocumenten te schrijven, voor doelgroepen, varirend van MBO1 tot en met MBO4 niveau Het is daarbij belangrijk dat je goed kunt communiceren en kunt schakelen van operator tot aan managementniveau, , , , Binnen Philips Drachten worden documenten geschreven oa Instructies en kennisdocumenten die gebruikt worden om operators op te leiden en te begeleiden in het oplossen van storingen Deze documenten moeten voldoen aan het format dat hiervoor is opgesteld, aansluiten bij het WEBniveau waarvoor de instructie is bedoeld en gearchiveerd worden In de rol van document controleur en auteur vervul je deze rol voor alle nieuwe en wijzigingen in bestaande productiedocumenten voor de gehele fabriek in Drachten Daarnaast word je ingezet als Hydra coach Binnen Philips Drachten wordt een Manufacturing Execution System gentroduceerd genaamd Hydra In je rol als coach, leid je mensen op aan de productielijn aan de hand van instructies in het gebruik van Hydra Daarnaast ondersteun je in het schrijven of herschrijven van instructies voor het gebruik van Hydra, , , Philips is een ambitieus bedrijf dat zich focust op het verbeteren van de gezondheid van mensen Het is een modern bedrijf dat gebruik maakt van geavanceerde technologien en klinische toepassingen Ze houden rekening met de behoeften van consumenten om gentegreerde oplossingen te ontwikkelen Werken bij Philips, houdt in werken in een innovatieve en dynamische omgeving met veel mogelijkheden, , Ben je genteresseerd in deze allround functie, solliciteer dan direct, Uiteraard staat deze vacature open voor iedereen die zich hierin herkent, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315226523?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F1238_randstad%2Fvacatures%2F4963947_document-controleur-auteur-en-hydra-coach%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dtechnical%2Bdrachten&urlHash=mcVd&refId=abae29aa-2ab2-4114-b148-8d37f1828885&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/document-controleur-auteur-en-hydra-coach-drachten-randstad-at-werkzoeken-nl-2315226523?refId=abae29aa-2ab2-4114-b148-8d37f1828885&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-05,2020-11-28
