Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,author,LinkedIn,2220935290,Stafadviseur | Neuroscience (36 uur),sAKfo1AvTBORrgWFIzsfKw==,Amsterdam UMC,"AmsterdamZuid, North Holland, Netherlands",['Hospital & Health Care'],"Connecting the people, the science and the brainWat ga je doenAls stafadviseur ben je verantwoordelijk voor tactisch en strategisch advies aan directie en management team van Amsterdam Neuroscience op het gebied van het wetenschapsmanagement en het operationele beleid van het onderzoekerzoeksinstituut Je adviseert en ondersteunt de directie en hebt een belangrijke verbindende functie met onze senior en junior onderzoekers, met name de meer dan 150 Principal Investigators en stafmedewerkers van Amsterdam UMC, VU en UvA, maar meer dan 500 AIOs en fellows die bij Amsterdam Neuroscience promoveren enof in opleiding zijn",Full-time,https://www.linkedin.com/jobs/view/externalApply/2220935290?url=https%3A%2F%2Fwww%2Ewerkenbijvumc%2Enl%2Fvacatures%2Fstafadviseur-neuroscience%2F&urlHash=ejVR&refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/stafadviseur-neuroscience-36-uur-at-amsterdam-umc-2220935290?refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-20,2020-11-18
2,author,LinkedIn,2279511750,Stafadviseur,ZAom/CHuRSeFGSEmVCNJWQ==,ZorgvisieBanen,"Amsterdam, North Holland, Netherlands","['Research', 'Staffing and Recruiting', 'Hospital & Health Care']","Als stafadviseur ben je verantwoordelijk voor tactisch en strategisch advies aan directie en management team van Amsterdam Neuroscience op het gebied van het wetenschapsmanagement en het operationele beleid van het onderzoekerzoeksinstituut Je adviseert en ondersteunt de directie en hebt een belangrijke verbindende functie met onze senior en junior onderzoekers, met name de meer dan 150 Principal Investigators en stafmedewerkers van Amsterdam UMC, VU en UvA, maar meer dan 500 AIOs en fellows die bij Amsterdam Neuroscience promoveren enof in opleiding zijnDaarnaast vervul je de rol van senior projectmedewerker, waarbij je een heel scala aan complexe operationele beleidstaken zelfstandig ontwerpt en daar  in samenwerking met collegas  uitvoering aan geeft Je zet een beleids plan op en voert de daarin opgenomen activiteiten deels ook uit Steeds zorg je hierin voor een goede afstemming met alle betrokken partijen Je maakt deel uit van het ondersteunende team van de directie van Amsterdam Neuroscience, maar hebt een zelfstandig opererende vooruitgeschoven taakAls stafadviseursenior projectmedewerker zijn je voornaamste takenVoor meer inspiratie kijk Salarisschaal 10  2911 tot  4615 bruto bij een fulltime dienstverband afhankelijk van opleiding en ervaringEen referentiecheck kan onderdeel zijn van de selectieprocedure Daarnaast is het aanvragen van een VOG Verklaring Omtrent Gedrag voor iedere nieuwe medewerker verplicht De aanvraag voor een VOG wordt opgestart vanuit VUmc zodra de nieuwe medewerker is aangesteldVoor medewerkers die in de directe patintzorg gaan werken, kan een uitgebreide screening onderdeel zijn van de procedure Klik voor meer informatie en of deze op jou van toepassing isBen je werkzaam in een zorggerelateerde functie, dan is een aanstellingskeuring ook onderdeel van jouw selectieprocedureDe eerste selectiegesprekken vinden online plaats via Teams op 26 novemberBel ons gerustVoor inhoudelijke informatie kun je contact opnemen met Prof Dr AB Brussaard , via Voor meer informatie over de sollicitatieprocedure kun je contact opnemen met Nathalie Haans, corporate recruiter , via Je kunt uiterlijk tot en met 22 november 2020 solliciteren via de buttonAcquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2279511750?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F2bfc84cd-26d8-4a3c-963e-ee638899be38%3Fjid%3D7f52aed8ef1f836b93788509e80624f55d939fe4ffec1be948d57aa6f9a037ef%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=GbJ6&refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/stafadviseur-at-zorgvisiebanen-2279511750?refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-20,2020-11-18
3,author,LinkedIn,2284881898,2 Universitair Docenten Ondernemingsrecht en Insolventierecht,kFVzAflOSoey6FIrAEVNUQ==,University of Amsterdam,"Amsterdam, North Holland, Netherlands","['Higher Education', 'Nonprofit Organization Management', 'Research']","De afdeling Privaatrecht is op zoek naar twee Universitaire Docenten voor het onderwijs op het gebied van het Ondernemingsrecht en het Insolventierecht in de Bachelor rechtsgeleerdheid en de masteropleiding PrivaatrechtHet onderzoek van de leerstoelgroep is ondergebracht in the Amsterdam Center for Transformative Law ACTWat ga je doenJeWat vragen wij van jouDe kandidaat die wij zoekenInlichtingenVoor meer informatie kun je contact opnemen metVoor meer informatie over werken bij de Universiteit van Amsterdam verwijzen wij naar de websiteOns aanbodWe bieden een afwisselende en uitdagende baan in een ambitieuze organisatie Het gaat in eerste instantie om een tijdelijk dienstverband voor de duur van een jaar met uitzicht op een vast dienstverband Op deze functie is het UFOprofiel van Universitair Docent 2 van toepassing Het salaris bedraagt minimaal 3746 en maximaal 5127 schaal 11 bruto per maand op basis van volledige werktijd 38 uurEen tenure track naar Universitair Hoofddocent 2 volgens het zogeheten up or out principe behoort ook tot de mogelijkheden In dat geval betreft dit een tijdelijk dienstverband voor 6 jaar in de functie van Universitair Docent 2 met uitzicht op een vast contract als Universitair Hoofddocent 2 indien aan de gestelde voorwaarden is voldaanDe UvA biedt verder een uitgebreid pakket secundaire arbeidsvoorwaarden, waaronder 8 vakantiegeld en 83 eindejaarsuitkering De cao Nederlandse Universiteiten is van toepassingOver de faculteitMet ruim 5000 studenten en 500 medewerkers is de Faculteit der Rechtsgeleerdheid van de Universiteit van Amsterdam een van de grotere juridische faculteiten van Nederland De Faculteit verzorgt de bacheloropleidingen Rechtsgeleerdheid, Fiscaal recht en  samen met twee andere faculteiten  de opleiding PPLE Daarnaast biedt zij 19 masteropleidingen met verschillende varianten aan Het onderzoek van de faculteit vindt plaats in een verscheidenheid aan onderzoeksgroepen, programmas en centra De faculteit heeft een internationaal profiel en kiest voor een maatschappelijke benadering van het rechtHet onderwijs en het onderzoek worden verzorgd door de zes afdelingen van de Faculteit Algemene Rechtsleer, Arbeids en Informatierecht, Internationaal en Europees Publiekrecht, PPLE, Privaatrecht en PubliekrechtKandidaten wordt gevraagdJe kunt je sollicitatie opsturen via onderstaande linkDe vacature sluit op 31 januari 2021",Full-time,https://www.linkedin.com/jobs/view/externalApply/2284881898?url=https%3A%2F%2Fwww%2Euva%2Enl%2Fcontent%2Fvacatures%2F2020%2F11%2F20-708-2-universitair-docenten-ondernemingsrecht-en-insolventierecht%2Ehtml%3Forigin%3DRrhWo%252FMXSgW7Uzvhwnl%252B%252Fg%26%253Futm_source%3Dlinkedin%26utm_medium%3Djobslot%26utm_campaign%3DLinkedin2015&urlHash=LClT&refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/2-universitair-docenten-ondernemingsrecht-en-insolventierecht-at-universiteit-van-amsterdam-2284881898?refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-20,2020-11-18
4,author,LinkedIn,2306083567,Auteurs voor Chemie,O3xYhnLUTKO5XETOaHxUyQ==,Noordhoff,"Groningen, Groningen, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Auteurs gezochtVindt u het leuk om actief en op een andere manier met uw vak bezig te zijn Om samen te werken met collegas van andere scholen in het land En om materiaal te ontwikkelen voor heel Nederland Dan is auteurswerk bij een van onze scheikunde methode wellicht iets voor uNoordhoff Uitgevers zoekt enthousiaste, ervaren en beginnende docenten scheikunde die graag als auteur een bijdrage willen leveren aan goed online lesmateriaalBelangrijke eigenschappen voor potentile auteurs zijn creativiteit en nauwkeurigheid De ontwikkeling van het lesmateriaal vindt in een team plaats",Full-time,https://www.linkedin.com/jobs/view/externalApply/2306083567?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6deb608cf115%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacadceadbcadeeddaaddgbdd8gaddaadafddf3defcdcbfec3ddcg3e&urlHash=W8DJ&refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/auteurs-voor-chemie-at-noordhoff-2306083567?refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-20,2020-11-18
5,author,LinkedIn,2306467410,Stafadviseur | Neuroscience,fqyFYy6+SsqxXMJs9zxZYg==,AcademicTransfer,"Utrecht, Utrecht, Netherlands","['Information Technology and Services', 'Research', 'Hospital & Health Care']","Als stafadviseur ben je verantwoordelijk voor tactisch en strategisch advies aan directie en management team van Amsterdam Neuroscience op het gebied van het wetenschapsmanagement en het operationele beleid van het onderzoekerzoeksinstituut Je adviseert en ondersteunt de directie en hebt een belangrijke verbindende functie met onze senior en junior onderzoekers, met name de meer dan 150 Principal Investigators en stafmedewerkers van Amsterdam UMC, VU en UvA, maar meer dan 500 AIOs en fellows die bij Amsterdam Neuroscience promoveren enof in opleiding zijnDaarnaast vervul je de rol van senior projectmedewerker, waarbij je een heel scala aan complexe operationele beleidstaken zelfstandig ontwerpt en daar  in samenwerking met collegas  uitvoering aan geeft Je zet een beleids plan op en voert de daarin opgenomen activiteiten deels ook uit Steeds zorg je hierin voor een goede afstemming met alle betrokken partijen Je maakt deel uit van het ondersteunende team van de directie van Amsterdam Neuroscience, maar hebt een zelfstandig opererende vooruitgeschoven taak",Full-time,https://www.linkedin.com/jobs/view/externalApply/2306467410?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Deb4e406c4850%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadbcadeeddccadbeddcaddgbddagaddaddcfdd83debcdcgfec3ddcg3e&urlHash=m7Kg&refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/stafadviseur-neuroscience-at-academictransfer-2306467410?refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-20,2020-11-18
6,author,LinkedIn,2306552397,Marketing Intern,4uNlvDQ4QFaV++imh8m/9w==,Stageplazanl,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Information Technology and Services', 'Internet']","TaakomschrijvingWil jij tijdens je studie werkervaring opdoen in een van de snelst groeiende bedrijven van Europa Dan is dit jouw kans De Marketing  Sales afdeling is op zoek naar een stagiaire vanaf augustusbegin september 2019 startdatum in overlegMaak deel uit van een van de meest dynamische, snelgroeiende bedrijven in Europa en wordt coauteur van ons verhaal dit bedrijf is een van de grootste fotoproductspecialisten in Europa, maar dat is voor ons niet voldoende Wij hebben de visie en ambitie om het onze klanten gemakkelijk te maken hun mooiste fotomomenten te delen en hun herinneringen te herbeleven Ons hoofdkantoor is gevestigd in Amsterdam Wij zijn actief in 7 landen Nederland, Belgi, GrootBrittanni, Frankrijk, Duitsland, Zweden en NoorwegenTeamHet dit bedrijf marketingteam bestaat uit 6 medewerkers en is verantwoordelijk voor alle marketing en sales activiteiten in Nederland, Belgie, Frankrijk, Duitsland en GrootBritannie Als onderdeel van het landenteam werk je samen met specialistische teams op het gebied van online marketing, CRM, content marketing en productmarketing Hierdoor is de functie zeer diversHet betreft een meewerkstage, op het gebied van communicatie, partnerships, marketing en salespromotion richting de Nederlandse en Belgische consumentenmarkt Je ondersteunt hierbij verschillende marketingcampagnes voor Nederland en Belgi en je mag hier ook analyses voor uitvoeren Voor deze werkzaamheden heb je regelmatig contact met diverse partijen en fungeer je als spin in het web Doordat er maar liefst 31 verschillende nationaliteiten werken bij dit bedrijf is het een energieke werkomgeving Door de vele verschillende nationaliteiten is Engels de voertaal Je kunt hier dus gemakkelijk jouw Engelse skills verder ontwikkelen De stage biedt ruimte voor een onderzoekGenteresseerdhttpsalbellicareerscomvacanciesmarketinginterndutchspeakingamsterdamWil je graag meer zien Log in of schrijf je inNu solliciteren",Internship,https://www.linkedin.com/jobs/view/externalApply/2306552397?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Df89b24972739%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadacdd8edd7cadeeddeaddcbdd7gdd9addefdd93dedcdc7fec3ddcg3e&urlHash=ew1R&refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/marketing-intern-at-stageplaza-nl-2306552397?refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-20,2020-11-18
7,author,LinkedIn,2267494190,Voor auteur cursus Opruimcoach / Professional Organizer,Gip3aX9cRYiPLK5cH2QCjQ==,NHA,"Panningen, Limburg, Netherlands",None,"NHA is op zoek naar een enthousiaste auteur voor de cursus Opruimcoach  Personal Organizer Taken Het schrijven van nieuw studiemateriaal Het nadien reviseren van gedateerd studiemateriaal en het corrigeren van huiswerk is wenselijk, maar geen verplichting ProfielU heeft ruime ervaring als professional organizer",Full-time,https://www.linkedin.com/jobs/view/externalApply/2267494190?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fvoor-auteur-cursus-opruimcoach-professional-organizer%3A43338568%2F&urlHash=9s1-&refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/voor-auteur-cursus-opruimcoach-professional-organizer-at-nha-2267494190?refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-20,2020-11-18
8,author,LinkedIn,2277776748,"Stage: Manuscriptbeoordeling, (online) communicatie en marketing in Soest",axw6W+1nT0S3XI4YfolM6w==,Uitgeverij Boekscout,"Soest, Utrecht, Netherlands",['Publishing'],"Wat ga je doenAls stagiair werk je mee met alle disciplines van de afdelingen manuscriptbeoordeling  marketing Je leert alle ins en outs van het beoordelen van een manuscript Wanneer is een manuscript inhoudelijk sterk genoeg om uit te geven Wat zijn de verkoopkansen van het boek en hoe groot is het netwerk van de auteur Hierover heb je nauw contact met de auteurOp de marketingafdeling zorg je ervoor dat boeken met extra potentie ook extra ondersteuning krijgen Je schrijft bijvoorbeeld persberichten, brengt ideen aan voor creatieve PRacties, monitort en documenteert free publicity Maar dat is nog niet alles Je verzamelt ook content, herschrijft en plaatst berichten op onze website, blog en social mediakanalenUiteraard is er tijdens de stageperiode ruimte voor het opzetten en uitvoeren van een eigen project of opdrachtWat wij biedenWat wij vragenWe nodigen je graag uit voor een gesprek bij ons op kantoor en stellen graag iedereen even aan je voorSolliciterenBen jij de perfecte kandidaat voor deze vacature en voldoe je aan de eisen Klik dan op de knop Solliciteer direct en we nemen zo snel mogelijk contact met je op",Full-time,https://www.linkedin.com/jobs/view/externalApply/2277776748?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F51a9ba92-6456-4c52-b6db-24d11e1bd6a8%3Fjid%3D619643618e5893d34cfe62f926ff30c565f5cf81e7a3071468d363d2d7ee4bb0%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D101&urlHash=Ci-n&refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/stage-manuscriptbeoordeling-online-communicatie-en-marketing-in-soest-at-uitgeverij-boekscout-2277776748?refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-20,2020-11-18
9,author,LinkedIn,2305857590,Auteurs voor Nectar,JEyHK3TmRRqUs7Ckdbho3g==,Noordhoff,"Groningen, Groningen, Netherlands","['Information Technology and Services', 'Computer Software', 'Internet']","Auteurs gezochtVindt u het leuk om actief en op een andere manier met uw vak bezig te zijn Om samen te werken met collegas van andere scholen in het land En om materiaal te ontwikkelen voor heel Nederland Dan is auteurswerk bij Nectar wellicht iets voor uNoordhoff Uitgevers zoekt enthousiaste, ervaren en beginnende docenten biologie die graag als auteur een bijdrage willen leveren aan goed online lesmateriaalBelangrijke eigenschappen voor potentile auteurs zijn creativiteit en nauwkeurigheid De ontwikkeling van het lesmateriaal vindt in een team plaats",Full-time,https://www.linkedin.com/jobs/view/externalApply/2305857590?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D08d13de83abe%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcdd8eadccddfedddaadcbadbgdd8adddfadf3aeecacbfec3ddcg3e&urlHash=8yFO&refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/auteurs-voor-nectar-at-noordhoff-2305857590?refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-20,2020-11-18
10,author,LinkedIn,2257698698,JavaScript developer E-Learning software technische branche | Den Bosch | Frontend Professionals,fMxlQINjQZ+YLxloJFcMyg==,ICTerGezochtnl,"sHertogenbosch, North Brabant, Netherlands","['Information Technology and Services', 'Computer Software', 'Computer & Network Security']","Vacature van Frontend Professionals, locatie Den BoschBen jij een JavaScript developer en op zoek naar een nieuwe uitdaging Heb jij affiniteit met techniek en educatie en ben je woonachtig in regio Eindhoven Dan zijn wij op zoek naar jouAls JavaScript developer kom je terecht in een multidisciplinaire omgeving Je werkt in een team dat altijd bestaat uit een 3D designer, een auteur en JavaScripter Binnen de afdeling development zijn er diverse teams actief en werk tegelijk je aan verschillende modules Je hebt collegas met wie je jouw specifieke expertise kunt uitwisselen en van wie je kunt leren Ze vinden diversiteit tussen de teams heel belangrijk De gemiddelde leeftijd bedraagt rond de 35 jaarDe technische stack bestaat uit heel veel JavaScript Binnen JavaScript maken ze gebruik van een eigen framework dat erg lijkt op de moderne frameworks qua codestructuur Verder wordt er veel gebruik gemaakt van Canvas en in mindere mate van SVG Affiniteit met techniek en onderwijs is belangrijk Mocht je daarnaast kennis hebben van Photoshop en WebGL is dat een leuke toevoegingVerder is het belangrijk dat je communicatief vaardig bent Je zult namelijk met diverse disciplines samenwerken die niet altijd over evenveel technische kennis beschikken Ook zul je zo nu en dan met klanten in contact komen De voertaal op de werkvloer is Nederlands, maar omdat er veel buitenlandse collegas werkzaam zijn wordt er ook in het Engels gecommuniceerd Een goede beheersing van de Engelse taal is daarom een must Daarnaast worden eigen ideen over zowel techniek als inhoudelijke zaken ontzettend gewaardeerd Ze vinden het juist belangrijk dat collegas met andere expertises van elkaar kunnen lerenBen jij daarom op zoek naar een nieuwe uitdaging en ben jij een techneut in hart en nieren Heb jij affiniteit met techniek en educatie Ben jij daarnaast woonachtig in regio Eindhoven Dan komen wij graag met jou in contact5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2257698698?url=https%3A%2F%2Fwww%2Eictergezocht%2Enl%2F7622_frontend-professionals%2Fict-vacatures%2F60230_javascript-developer-e-learning-software-technische-branche%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Ddeveloper%2Bden%2Bbosch&urlHash=a1JI&refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/javascript-developer-e-learning-software-technische-branche-den-bosch-frontend-professionals-at-ictergezocht-nl-2257698698?refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-20,2020-11-18
11,author,LinkedIn,2257750196,JavaScript developer E-Learning software technische branche | Den Bosch | Frontend Professionals,NS0v4NoAQKySsD/LDVBnPQ==,Technicusnl,"sHertogenbosch, North Brabant, Netherlands","['Information Technology and Services', 'Computer Software', 'Computer & Network Security']","Vacature van Frontend Professionals, locatie Den BoschBen jij een JavaScript developer en op zoek naar een nieuwe uitdaging Heb jij affiniteit met techniek en educatie en ben je woonachtig in regio Eindhoven Dan zijn wij op zoek naar jouAls JavaScript developer kom je terecht in een multidisciplinaire omgeving Je werkt in een team dat altijd bestaat uit een 3D designer, een auteur en JavaScripter Binnen de afdeling development zijn er diverse teams actief en werk tegelijk je aan verschillende modules Je hebt collegas met wie je jouw specifieke expertise kunt uitwisselen en van wie je kunt leren Ze vinden diversiteit tussen de teams heel belangrijk De gemiddelde leeftijd bedraagt rond de 35 jaarDe technische stack bestaat uit heel veel JavaScript Binnen JavaScript maken ze gebruik van een eigen framework dat erg lijkt op de moderne frameworks qua codestructuur Verder wordt er veel gebruik gemaakt van Canvas en in mindere mate van SVG Affiniteit met techniek en onderwijs is belangrijk Mocht je daarnaast kennis hebben van Photoshop en WebGL is dat een leuke toevoegingVerder is het belangrijk dat je communicatief vaardig bent Je zult namelijk met diverse disciplines samenwerken die niet altijd over evenveel technische kennis beschikken Ook zul je zo nu en dan met klanten in contact komen De voertaal op de werkvloer is Nederlands, maar omdat er veel buitenlandse collegas werkzaam zijn wordt er ook in het Engels gecommuniceerd Een goede beheersing van de Engelse taal is daarom een must Daarnaast worden eigen ideen over zowel techniek als inhoudelijke zaken ontzettend gewaardeerd Ze vinden het juist belangrijk dat collegas met andere expertises van elkaar kunnen lerenBen jij daarom op zoek naar een nieuwe uitdaging en ben jij een techneut in hart en nieren Heb jij affiniteit met techniek en educatie Ben jij daarnaast woonachtig in regio Eindhoven Dan komen wij graag met jou in contact5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2257750196?url=https%3A%2F%2Fwww%2Etechnicus%2Enl%2Ftechnische-baan%2F90_268433_javascript-developer-e-learning-software-technische-branche-den-bosch%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dict%2Bden%2Bbosch&urlHash=mnkr&refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/javascript-developer-e-learning-software-technische-branche-den-bosch-frontend-professionals-at-technicus-nl-2257750196?refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-20,2020-11-18
12,author,LinkedIn,2248169294,Productie Maintenance Coördinator,pca0TA5ATNqWc19ncv9beg==,The Chemours Company,"Dordrecht, South Holland, Netherlands",['Chemicals'],"Productie Maintenance CordinatorThe Netherlands  DordrechtAs we create a colorful, capable and cleaner world through chemistry, we invite you to join our team to harness the power of chemistry to shape markets, redefine industries and improve lives for billions of people around the worldChemours is op zoek naar een om ons groeiende afdelingsteam te versterken In je functie zal je komen te werken op onzeAls PMC ben je verantwoordelijk voor de algehele cordinatie en het tijdig inplannen en uitvoeren van alle onderhoudstaken Dit vereist afstemming met de planner en communicatie met Ops Ook vraagt dit cordinatie van apparatuurvoorbereiding, waaronder tijdige GVT, decontaminatie, enz samen met de productieorganisatie om arbeidstijd maximaal te benutten en tijd dat appartuur niet kan worden gebruikt te minimaliseren Je verzorgt hierbij ook afstemming met de Maintenance organisatie en je zorgt ervoor dat de installatie volgens plan op het afgestemde juiste moment gereed staat voor uitvoer van het werk en dat dit is opgenomen in de productieplanning van de lijnAls PMC ben je verantwoordelijk voor de unit integratieleider van het Works Management Processes WMP in de productie, maintenance en capital organisatie Dit gericht op het steeds efficinter plannen van het werk en zo efficinter gebruik van de apparatuur en middelen Je overziet daarbij de wijze waarop de onderhoudsstrategie invloed heeft op de OEE2 en OEE3 en stuurt in keuzes op minimaliseren van verliezen in OEE2 en OEE3 Ook overziet de PMC de invloed van Maintenance op SPDQCMDe PMC stelt verbetering voor en stimuleert anderen om zo het geplande preventieve werkpakket zo optimaal mogelijk uit te voerenWe worden gedreven door ons doel om een meer kleurrijke, capabele en schonere wereld te creren door de kracht van de chemieGebaseerd op een 200 jaar oude erfenis en een productportfolio van wereldklasse, brengen we dagelijks gemak in vrijwel alles wat mensen aanraken, van autos, verven en kunststoffen tot elektronica, bouw, energie en telecommunicatie We brengen oplossingen die beter, veiliger, betrouwbaarder en duurzamer zijn, door de kracht van de chemieWij zien onze mensen als onze grootste toevoeging In plaats van ons te richten op wat onze medewerkers elke dag doen, kijken we naar hoe ze het doen Door een andere benadering van talentontwikkeling, medewerkersbetrokkenheid en cultuur is het ons doel om medewerkers in staat te stellen het beste uit zichzelf te halen  op Chemours en in het levenDe onze in Chemours staat voor iedereen die hier werkt We zijn met duizenden mensen sterk en altijd op zoek naar de beste en slimste mensen om ons team te versterkenVijf fundamenten fundamentele waarden vormen de onderbouw van onze cultuur als multinationalBedrijf Het zijn kernovertuigingen die zowel ons gedrag als onze aspiraties sturen en in een kader plaatsenOnze waarden zijn deels wat ons onderscheidt van anderen, waardoor we uniek zijn in ChemoursZe zijn klantgericht, verfrissende eenvoud, collectief ondernemerschap,Veiligheidsobsessie en onwankelbare integriteit Bij Chemours zijn onze waarden waar alles begintWe zijn vereerd om voor 20192020ons tweede jaar op rij te worden uitgeroepen tot Great Place to WorkCertified CompanyAt Chemours, you will find sustainability in our vision, our business and your future If you want to work on the leading edge of your field and have a desire to make a difference, join Chemours and discover what it means when we say We Are Living ChemistryPosted 12 Days Ago Full time JR5621A new company A new purpose A new commitment to customers and chemistry We are Chemours And even more exciting is how our employees are committed to be catalysts for better The word ours is in our name intentionally It is about our employees, our customers and our world Our values are simple We seek to put our customers first always We encourage creativity and simplicity We give you the ability to operate with the innovation and enthusiasm of an entrepreneur We are obsessed with making our world safe and we do this all with unshakable integrity  doing what is right See chemistry in a different way at Chemours",Full-time,https://www.linkedin.com/jobs/view/externalApply/2248169294?url=https%3A%2F%2Fchemours%2Ewd5%2Emyworkdayjobs%2Ecom%2FChemours%2Fjob%2FThe-Netherlands---Dordrecht%2FProductie-Maintenance-Cordinator_JR5621%3Fsrc%3DJB-10440%26source%3DLinkedin&urlHash=QFBW&refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/productie-maintenance-co%C3%B6rdinator-at-the-chemours-company-2248169294?refId=f180c066-42ab-4fb7-bb7f-15ea4346d680&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 weeks ago,4 weeks ago,2020-10-20,2020-11-18
