Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,engineer,LinkedIn,2327321620,Junior Engineer in Rotterdam,qjfevQ7Gtp+BV73dpePoXQ==,Talent Sponsored,"Rotterdam, South Holland, Netherlands","['Staffing and Recruiting', 'Financial Services', 'Hospitality']","Wat ga je doenAls Junior Engineer ben je een belangrijke schakel en onderdeel van het team Dit betekent dat er een samenspel is van ontwerpen en reproduceerbaar maken, van tekening tot serieproductie waarbij voor het ene product kostprijs de uitdaging is en bij de andere juist de technische specificatie Je zult als Junior Engineer Werktuigbouwkunde je gaan ontwikkelen in de volgende werkzaamhedenHet ondersteunen van het projectteam bij het ontwerpen van tooling, processen en producten en het uittekenen van de wijzigingen en  of nieuwe ontwerpen mbv het CAD Programma Solid EdgeIn samenwerking met het Projectteam ontwikkelen en implementeren van tooling, meetprogrammas, process controles en het schri, Wat ga je doen, , Wat wij bieden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327321620?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D51c6896bb967%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddbcddfeadd8ddabdd89dd7addagadeaadefdd73deacdc9fec3ddcg3e&urlHash=Brvq&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-engineer-in-rotterdam-at-talent-sponsored-2327321620?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=qjfevQ7Gtp%2BBV73dpePoXQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
2,engineer,LinkedIn,2327343719,Junior Mechanical Engineer,ZJ4lVfBukbXgYksQhXVNJg==,Vooq,"Sassenheim, South Holland, Netherlands",['Staffing and Recruiting'],"Werkzaamheden, , Als Junior Mechanical Engineer houd jij je bezig met het geven van technische ondersteuning en het uitwerken van technische vraagstukken Je bent de technisch inhoudelijke vraagbaak van de afdeling en verantwoordelijk voor de administratie om de projecten heen, gebruikmakend van het ERP en tekenpakket Bij nieuwe projecten ben je betrokken in het offerte traject voor een concrete technische afbakening In deze functie werk je samen met teams van andere afdelingen en medewerkers van het bedrijfsbureau Je doet voorstellen ter verbetering en begeleidt de andere engineer en tekenaars op de afdeling Jij anticipeert tijdig op ontwikkelingen binnen de markt en tezamen met je collegas houd je oog voor opkomende technologien, , , , Deze internationale opdrachtgever kijkt anders naar hun klanten en de aandrijvingen die zij gebruiken Overal is een andere oplossing voor nodig, een machinebouwer heeft andere behoeftes dan een bedrijf in de land en tuinbouw Door middel van langdurige relaties wordt er samen met de klant gekeken op wat voor manier de aandrijfsystemen optimaal kunnen bijdragen aan de specifieke behoeftes, , , , , , , , Er wordt een uitdagende positie aangeboden binnen een groeiend internationaal bedrijf met uitstekende arbeidsvoorwaarden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327343719?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Dc33a64d5be12%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfaddcdddeddd8adfbdda9ddcaadcgddbaadefadb3defcdcefec3ddcg3e&urlHash=oDzs&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-mechanical-engineer-at-vooq-2327343719?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=ZJ4lVfBukbXgYksQhXVNJg%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
3,engineer,LinkedIn,2323295049,Junior Engineer,u8QV6gMo7Y3ibYMjRGO8UQ==,Trento Engineering,"Utrecht, Netherlands",['Mechanical or Industrial Engineering'],"Junior Engineer voor ons kantoor in Heerlen, Ben jij fit voor de toekomst Als Trento Engineering geven wij je de ruimte om jouw talenten verder te ontwikkelen Wij hechten veel waarde aan jouw behoeften als mens en aan je ontwikkeling en plezier in jouw werkgebied Als Junior Engineer houd jij je bezig met het draaiende houden van productieprocess Jij bent tevens bezig deze processen te structureren en te verbeteren om output doelstellingen te behalen",Full-time,,https://nl.linkedin.com/jobs/view/junior-engineer-at-trento-engineering-2323295049?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=u8QV6gMo7Y3ibYMjRGO8UQ%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
4,engineer,LinkedIn,2323772253,Junior mechanical engineer,NiQ7WUV/6jYLDStC4AMkCg==,Beyond Search ,"Rotterdam, South Holland, Netherlands",['Staffing and Recruiting'],"Functieomschrijving, , Als engineer werk je in teamverband samen op de afdeling engineering Binnen deze afdeling zullen de werkzaamheden variren tussen het uitwerken van klant specifieke machines en het ontwikkelen van nieuwe machines, accessoires of optimalisatie van het huidige productportfolio Bij het uitwerken van de klant specifieke machines behoren ook alle benodigde documentatie die noodzakelijk zijn voor productie Bij het ontwikkelen van nieuwe machines komt het ook voor dat er contact is met klanten om een duidelijk beeld te krijgen van de behoefde van de klant en de situatie waarin de machine moet opereren, , Arbeidsvoorwaarden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323772253?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F-2082599356939164126%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=RD1I&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-mechanical-engineer-at-beyond-search-%C2%AE-2323772253?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=NiQ7WUV%2F6jYLDStC4AMkCg%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
5,engineer,LinkedIn,2327306470,Junior Engineer Energietechniek,nWQsv0WlDOpOf5w9EPUgaw==,Dosign,"Utrecht, Utrecht, Netherlands",['Renewables & Environment'],"Over de vacature, Als Junior Engineer Energietechniek kom je te werken in een team van ervaren professionals en ga je aan de slag met projecten op het gebied van onderstations In het begin ga je van start onder begeleiding van een ervaren collega en zullen we je uitdagen om snel zelfstandig te worden, , Je wordt verantwoordelijk voor de levering van alle producten die in de desbetreffende projectfase gevraagd worden De werkzaamheden bestaan oa uit het tekenen, ontwerpen en berekenen van constructies en het bepalen van uitvoeringsmethoden, waarbij je op zoek gaat naar innovatieve en praktische oplossingen Daarnaast stel je contractdocumenten, ramingen en begrotingen op voor rail infrastructuur Je verifieert jouw uitwerkingen en stemt deze zo nodig af met andere disciplines Als Ontwerper lever je vanuit jouw vakdiscipline een bijdrage aan het totaalontwerp en houd je daarbij de integraliteit in het oog",Full-time,,https://nl.linkedin.com/jobs/view/junior-engineer-energietechniek-at-dosign-2327306470?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=nWQsv0WlDOpOf5w9EPUgaw%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
6,engineer,LinkedIn,2327346959,Engineer,Y0bsqPFKY40oqYwK1OVE4w==,koen,"Utrecht, Utrecht, Netherlands",['Staffing and Recruiting'],"Installaties zijn gedoemd te mislukken zonder goede Engineer Gelukkig ben jij die Engineer, Stel je eens voor dat je vast in dienst bent en aan afwisselende opdrachten werkt Opdrachten waar jij echt je tanden in kunt zetten Die jouw groei versnellen En stel je eens voor dat je wordt opgeleid en begeleid om jouw ambities waar te maken Klinkt dat gaaf Ja toch Dan hoor jij thuis bij koen en is deze Engineer vacature jou op het lijf geschreven, , Als slimmerik bij koen krijg je de ideale combinatie van zekerheid en variatie Natuurlijk zorgen we dat de opdrachten passen bij jouw wensen Jij als specialist deelt jouw kennis met opdrachtgevers en helpt ze verder Zo gaan we samen voorop Ook kun je altijd sparren met je consultant en collegaspecialisten, want er is veel persoonlijk contact Verveling is gewoon geen optie En stilstaan al helemaal niet, , Dit houdt de vacature Engineer in, Als Engineer zijn technische utilitaire installaties jouw tweede thuis Je adviseert, ontwerpt, ontwikkelt en monitort deze installaties En daar stopt het niet Je bent ook verantwoordelijk voor specificaties, werkomschrijvingen, bestekken en begrotingen Een veelzijdige baan dus, , Natuurlijk houd je jouw kennis niet voor jezelf Je draagt je plannen over aan de projectleider en de rest van het team Ook werk je mee aan de aanbestedingsstukken en zorg je dat de wensen van de klant op de juiste manier worden vertaald naar een installatie Wijzigingen in het ontwerp beoordeel jij eerst Elke opdracht is weer anders, dus alle aspecten van jouw specialisme komen van pas, , , Voor deze vacature Engineer zoeken wij slimmeriken met kennis, kunde en karakter, , , , Leren, ontwikkelen en verbeteren Als Engineer wil jij vooruit Bij koen begrijpen wij dat Daarom investeren wij in jouw loopbaanontwikkeling Dit doen we door intensieve begeleiding en op maat gemaakte opleidingen Bij koen ben je in vaste dienst en werk je aan diverse toffe opdrachten Jij bent de specialist binnen koen en helpt onze klanten verder bij technische vraagstukken Op onze beurt brengen wij jou verder in jouw carrire Samen kijken we vooruit en lopen we voorop Je hebt dan ook veel contact met je collegas bij koen Niet alleen om kennis en ervaringen uit te wisselen, maar ook om geregeld iets leuks met elkaar te ondernemen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327346959?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Ddeb5d2ba331f%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadccadbeade8ddbbadc9ddeaadegadfadddfddd3defcacafec3ddcg3e&urlHash=kig1&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-at-koen-2327346959?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=Y0bsqPFKY40oqYwK1OVE4w%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
7,engineer,LinkedIn,2326396375,Junior Engineer,pExkGV6uNInOHK8OeGgnZQ==,TechMatch BV,"sGravendeel, South Holland, Netherlands",['Mechanical or Industrial Engineering'],"De organisatie produceert originele en innovatieve technologische oplossingen voor het kweken van planten Ze gebruiken de nieuwste technologien op het gebied van telen, oogsten en verpakken De systemen behalen een maximale opbrengst met minimale input van natuurlijke hulpbronnen en arbeidFunctiebeschrijvingBinnen deze rol als Junior Engineer zijn de volgende aspecten van belang Je gaat je op de afdeling bezighouden met het 3D tekenen van nieuwe machinesJe ondersteunt onze RD afdeling door hun concepten verder uit te werken in gedetailleerde CAD modellenJe bent dus de spil tussen RD en de werkplaats, daar waar uiteindelijk ieder concept gebouwd moet kunnen wordenJe bent constant bezig met maken van producten op maat, alles is klantspecifiekJe vertaalt conceptontwerpen naar gedetailleerde CADmodellen en 2D wandtekeningen FunctieeisenBij deze rol als Junior Enigneer wordt het volgende van je gevraagd Je bent een gemotiveerde en leergierige schoolverlater, MBOHBO niveau richting werktuigbouw, industrieel ontwerp of aanverwantJe kunt goed overweg met CADtekenpakketten, ervaring met Solidworks is een prJe hebt goede kennis van materialen, technologien en productieprocessen relevant voor de machinebouwBeheersing van de Engelse taal is een prAffiniteit met tuinbouw is een pr ArbeidsvoorwaardenVoor de rol van Junior Engineer biedt de organisatie het volgende Een fulltime baan 40 uur pw in een jong en groeiend bedrijfEen werkomgeving waarin innovatie en ontwikkeling centraal staanMarktconform salarisUitstekende secundaire arbeidsvoorwaarden De mogelijk tot het volgen van trainingen en cursussen ten behoeve van je eigen ontwikkeling",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326396375?url=https%3A%2F%2Fjoblift%2Enl%2Fjoblink%3Fto%3DeyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9%2EeyJvZmZlcklkIjoiMDdkZjYwMzgtZjZiYy00ZGQ2LWJjM2QtMmMzM2FlNjllNTBmIn0%2EfvnWxi51NHVTnUJWLmanFXHPHmnkHSh97mRz7xzewO4%26jid%3D399255a7c76b57c20f064962369703b08fc755030ebdf6330837c69f1bc06e90%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D621&urlHash=WNJr&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-engineer-at-techmatch-b-v-2326396375?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=pExkGV6uNInOHK8OeGgnZQ%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
8,engineer,LinkedIn,2326382040,Junior Mechanical Engineer,zmQfCgV6LqRv3ydZWJut/g==,Synsel Techniek,"Noordwijkerhout, South Holland, Netherlands",['Machinery'],"BedrijfsomschrijvingLocatie regio NoordwijkerhoutDit Nederlandse bedrijf is gespecialiseerd in sorteer en verpakkingsmachines voor oa de food en nonfoodindustrie zoals de farmacie en de chemie Ze maken naast speciaalmachines ook standaardmachines waarmee ze de klant naadloos bedienen Naast verpakkingen zijn ze actief in pick and place, doseer en weegsystemen die door engineer in eigen huis volledig zelfstandig ontwikkeld worden De cultuur bij dit bedrijf is vooruitstrevend, nononsense, klantgericht en internationaal georinteerdAls je bij dit bedrijf gaat werken weet je zeker dat je te maken krijgt met de nieuwste technologien en dat je mogelijkheden krijgt om jezelf te ontwikkelen Vanwege het toenemend aantal projecten in dit bedrijf zijn ze op zoek naar een Junior Mechanical Engineer die het team kan versterken Ben je op zoek naar een uitdagende stap in je carrire als Mechanical Engineer Lees dan snel verderFunctieinhoudAls Mechanical Engineer houd je jezelf bezig met zelfstandig ontwerpen, tekenen en bouwen van sorteer en verpakkingsmachinesHet schrijven van handleidingen en het uitvoeren van risicoanalysesHet begeleiden tijdens de productie en inbedrijfstelling van de machines in de werkplaatsJe zorgt voor een technisch constructiedossier en de montage en bedieningsinstructiesHet zorgen voor een goede projectbewakingHet onderhouden van bestaande tekeningenpakkettenFunctieeisenEen afgeronde HBO opleiding Werktuigbouwkunde of aanverwantJe hebt stage ervaring als Mechanical Engineer of soortgelijke functieJe hebt bij voorkeur ervaring in de machinebouwindustrie als Mechanical EngineerJe hebt kennis van hydrauliek en pneumatiek, aandrijvingen en besturingstechniekJe kan engineeren met Inventor of SolidworksJe bent creatief in het oplossen van problemen met een sterk gevoel voor veiligheid en kwaliteitWij biedenEen basissalaris tussen de 2400 en 3000 bruto per maandEen veelzijdige, afwisselende en uitdagende baan in een sterk groeiend bedrijfEen uitstekende salariring en overige arbeidsvoorwaardenVeel verantwoordelijkheid en zelfstandigheid binnen een collegiaal teamEen prima werksfeer en uitstekende arbeidsvoorwaardenMogelijkheden tot persoonlijke ontwikkeling als Mechanical EngineerAls Mechanical Engineer ben je werkzaam in een enthousiast team met afwisselende projecten en technische diepgang Ben jij na het lezen van deze vacature enthousiast geworden over de functie Junior Mechanical Engineer Beschik jij over het gevraagde profiel Solliciteer dan direct VaardighedenErvaringJunior",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326382040?url=https%3A%2F%2Fjoblift%2Enl%2Fjoblink%3Fto%3DeyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9%2EeyJvZmZlcklkIjoiMTU3Njg2ZTItNDcxNS00YzZhLWFmNGUtNjc1NjFmMzNmN2I2In0%2EdxqZZ-4j9KKAHfBCjArN5YimoupH-_FOHsswbqICEnM%26jid%3D968be7c930b673521a0f9abe98852aae1bb58d253aeb89cd52cccc630e16baa6%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D621&urlHash=RUMl&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-mechanical-engineer-at-synsel-techniek-your-tech-dream-our-job-2326382040?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=zmQfCgV6LqRv3ydZWJut%2Fg%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
9,engineer,LinkedIn,2311710214,Engineer,aNIf5KaAS/T6267Gj2OslA==,VolkerWessels Telecom,"Nieuwegein, Utrecht, Netherlands",['Telecommunications'],"Biedt de wereld van glasvezelontwerpen jou geen geheimen meer Is het voor jou elke keer weer een sport het trac zo slim mogelijk en kosten efficint te engineeren Hou je van direct klantcontact en wil jij graag je steentje bijdragen aan het nationaal belang Dan kom ik graag met je in contact, Junior Engineer, afdeling Infratechniek  KCCO, standplaats Nieuwegein, Waarmee jij ons verder brengt, Binnen ons bedrijfsonderdeel Infratechniek, bestaat de afdeling KCCO Deze afdeling ontwerpt telecomnetwerken voor nationaal belang en opereert vanwege zijn specifieke karakter dan ook strikt gescheiden van onze overige afdelingen Samen met je collegas ben je verantwoordelijk voor de vertaling van de klantvraag naar een technische uitvoerbare engineering of vernieuwing van glasvezelnetwerken n de economische haalbaarheid van het trac, Zo ontwerp je in AutoCad en voeg je de benodigde KLICK gegevens toe aan je tekeningen Tijdens je ontwerp hou je te allen tijde rekening met wat je nog meer kunt vinden in de grond, zoals de positie van bestaande leidingen en diens effect op jouw te volgen trac Ook zet je onderzoek uit naar vervuilde of vergeten bommen in de grond en onderneem je hierop de juiste actie Daarnaast zorg je dat de juiste vergunningen worden uitgezet om jouw ontworpen trac te kunnen uitvoeren Als Junior Engineer binnen KCCO vindt je het ook een uitdaging om een begroting van benodigde materialen voor jouw trac te kunnen opstellen samen met een ervaren collega engineer Zo realiseer je werkmappen met tekeningen en werkinstructies voor de uitvoering, Zie jij de connectie met VWT, , Onze Junior Engineer stelt kwaliteit te allen tijde voorop en begrijpt het concept afspraak is afspraak Je bent onderzoekend van karakter en durft vragen te stellen Je werkt graag in een hecht team met een groot samenwerkend vermogen waar humor hoog in het vaandel staat Daarbij beschik je over MBO werk en denkniveau en heb je minimaal 02 jaar ervaring in een soortgelijke rol, Kennis en ervaring met autoCAD is een pre bereid om een cursus te volgen, We zijn op zoek naar een proactief en samenwerkend type die creatief oplossingen weet te bedenken Iemand die eigen initiatief toont en wil innoveren waar dat kan, Voor de invulling van deze functie word je gescreend volgens het screeningsbeleid van VWT, Welkom bij VWT, Bij ons krijg je de mogelijkheid te groeien, zowel persoonlijk als inhoudelijk Lijnen zijn kort, drempels zijn laag Ben je ondernemend en kom je het beste tot je recht als je ruimte krijgt Dan zit je bij ons op je plek We belonen je met onze solide arbeidsvoorwaarden zoals, , , Maak samen met ons de toekomst mogelijk, Wil jij een vak leren Dan ben je bij ons aan het juiste adres Solliciteer daarom direct Heb je eerst nog vragen Neem contact op met onze Recruiter, Harold Post, via 31 06 12 19 30 29",Full-time,https://www.linkedin.com/jobs/view/externalApply/2311710214?url=https%3A%2F%2Fwww%2Evolkerwessels%2Ecom%2Fnl%2Fwerken-bij%2Fvacatures%2Fengineer1&urlHash=8VFw&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-at-volkerwessels-telecom-2311710214?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=aNIf5KaAS%2FT6267Gj2OslA%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
10,engineer,LinkedIn,2327322135,(Junior) Support Engineer,dlPWlRJeUyuWHHvXZSHbAA==,HetUitzendbureaunl,"Amsterdam, North Holland, Netherlands","['Restaurants', 'Food & Beverages', 'Hospitality']","Dienstverband, , Fulltime, , Provincie, , Noord Holland, , Vakgebied, , HR, , Voor onze klant in SchipholRijk zijn we op zoek naar een Junior Support Engineer Je wordt onderdeel van een technisch support team die verantwoordelijk is voor de eerstelijns ondersteuning van eindgebruikers Tevens ben je verantwoordelijk voor monitoring en beheerwerkzaamheden Je communiceert primair in het Nederlands of in het Engels met de eindgebruiker via telefoon, chat of email Beide talen zul je dus machtig moeten zijn, zowel mondeling als schriftelijk Inzet 40 uur en inzetbaar in ploegendiensten 24x7x52",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327322135?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D4f6c255bd7ab%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddccadaedda8addbdde9ddbaddbgadeaadcfdd93aefcacefec3ddcg3e&urlHash=lTMk&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/junior-support-engineer-at-hetuitzendbureau-nl-2327322135?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=dlPWlRJeUyuWHHvXZSHbAA%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
11,engineer,LinkedIn,2326962484,Project Engineer,J8KPlm+2HddNZL8rnu6jug==,Eminent Groep,"Tilburg, North Brabant, Netherlands","['Civil Engineering', 'Construction', 'Mechanical or Industrial Engineering']","Werktuigbouwkunde, , VACATURE DETAILS, , Locatie Tilburg, , Type 3240 uur, , Opleidingsniveau HBO, , Salaris 2500  3500 euro, , Nummer 1527398, , , , BEDRIJFSPROFIEL, , , , Het betreft een middelgrote organisatie op het gebied van matrijsbouw en engineering van spuitgietmatrijzen en hulpmiddelen voor het vervaardigen van kunststof producten denk hierbij onder andere aan hightech producten voor OEMers in de medische wereld en de vliegtuiginterieurbranche, , De organisatie heeft een eigen engineeringsafdeling, spuitgieterij en assemblage afdeling Er werken ruim 40 collegas en de sfeer is informeel Als Project Engineer kom je in een team met 3 andere collegas te werken op de afdeling engineering, , FUNCTIEOMSCHRIJVING, , , , FUNCTIEEISEN, , , , AANBOD, , , , Salarisschaal Project Engineer, , Maximaal, , Gemiddeld, , 3500, , 3000, , 2500, , 0  4750, , Wat is het salaris van een PROJECT ENGINEER, , Het salaris van een project engineer ligt tussen de 2500  3500 euro per maand Hoe meer men als project engineer aan een opdracht werkt, des te meer verantwoordelijkheden en hogere inkomsten men kan verwachten Als men in vast dienstverband werkt zijn de secundaire arbeidsvoorwaarden over het algemeen goed geregeld en kan men op zaken zoals vakantiegeld en een pensioenregeling rekenen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326962484?url=https%3A%2F%2Feminentgroep%2Enl%2Fvacatures%2Fwerktuigbouwkunde%2Fproject-engineer-tilburg%2F1527398&urlHash=KaLB&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/project-engineer-at-eminent-groep-2326962484?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=J8KPlm%2B2HddNZL8rnu6jug%3D%3D&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
12,engineer,LinkedIn,2327116386,Test Engineer (Consultant),i6hiREMsadeB8/qUL+A+ow==,Huawei Technologies Research and Development Belgium NV,"AmsterdamZuidoost, North Holland, Netherlands","['Information Technology and Services', 'Semiconductors', 'Wireless']","Test Engineer, , We are looking for a Test Engineer to join our Map team in Amsterdam, , The Map Team in Huaweis Amsterdam RD Center is building an industryleading Huawei Map product that powers the map experience on Huawei mobile phones Huawei Maps Petal Maps is a map application created by Huawei which supports 140 countries and provides a wealth of functions There are functions such as POI search, driving navigation, walking navigation, cycling navigation, realtime traffic information, etc",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327116386?url=https%3A%2F%2Fcandidate%2Ecvwarehouse%2Ecom%2FApplicationForm%2Easpx%3Fjobid%3D196385%26company%3Donlinesubscription2016%26channel%3Dfeed%2ELinkedIn%2Ecom%26lang%3Den-US&urlHash=d9-X&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/test-engineer-consultant-at-huawei-technologies-research-and-development-belgium-nv-2327116386?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=i6hiREMsadeB8%2FqUL%2BA%2Bow%3D%3D&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
13,engineer,LinkedIn,2326022690,Engineer,GGLlpCq7DNqGYYqzYesBvA==,Beyond Search,"Breda, North Brabant, Netherlands",['Mechanical or Industrial Engineering'],"Als Tekenaarproductontwerper zal jij in eerste bezig zijn met het technisch tekenen van verschillende producten Zo heb jij wel technische kennis van materialen contactmateriaal, verdeelkasten, kabelproducten Je werkt zelfstandig als in teamverband en krijgt de mogelijkheid om vanuit jouw positie mee te groeien met het bedrijf, , Functieeisen, , , , Bedrijfsomschrijving, , Internationaal bedrijf met vestigingen in China Veel opdrachten en volop groeimogelijkheden Klein bedrijf met 60 man aan personeel die met plezier naar hun werk toe gaan Leuke teamuitjes en een organisatie die veel waarde hecht aan hun personeel, , Arbeidsvoorwaarden, , Passend salaris tussen de 2000 en 3000 euro, Uitstekende secundaire arbeidsvoorwaarden, Prettige werkplaats en leuke collegas, Werken bij een Internationale organisatie, Uitdagende projecten en volop kansen op persoonlijke als vakinhoudelijke ontwikkeling",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326022690?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fc695d851-0a0c-4fa6-98d1-ae2d51cf2b2f%3Fjid%3D708c3579462a0e20046c94fae364bc17eeae850d04c599e24d43f267c28b3085%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D385&urlHash=KEwj&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/engineer-at-beyond-search-2326022690?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=GGLlpCq7DNqGYYqzYesBvA%3D%3D&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
14,engineer,LinkedIn,2232890090,Engineer,FEtUNWP7F/xP7KWagbpH9g==,Just engineer Netherlands,"Haarlem, North Holland, Netherlands",['Staffing and Recruiting'],"Wat wordt jou geboden als Engineer, Een brutosalaris tussen 32000  40000 afhankelijk van het ervaring, Goede secundaire arbeidsvoorwaarden, Opleidingsmogelijkheden, Doorgroeimogelijkheden",Full-time,,https://nl.linkedin.com/jobs/view/engineer-at-just-engineer-netherlands-2232890090?refId=d69c3342-4af6-4cfd-84af-e91adcab28e5&trackingId=FEtUNWP7F%2FxP7KWagbpH9g%3D%3D&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,4 days ago,4 days ago,26/11/2020,30/11/2020
