Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,primary school teacher,LinkedIn,2279380147,After School Teacher,4n8fpF2QS72AcoGAAA7UXg==,Villa Bloom,"The Hague, South Holland, Netherlands","['Primary/', 'Secondary Education']","Your profile, , As we are an international childcare centre, fluent verbal and written English is essential Candidates will have the following experience, skills and attributes, , , , What we offer",Full-time,https://www.linkedin.com/jobs/view/externalApply/2279380147?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fc270ebd3-e5b8-4d82-960b-cd612a1dd3f9%3Fjid%3D0c656b42800f6396994567cb64911d094b6dddbb6d74ee7ddad36a7b7e4379fa%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=vUme&refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/after-school-teacher-at-villa-bloom-2279380147?refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-28
2,primary school teacher,LinkedIn,2325181821,Secondary School Dutch Teacher - AICS VO,8rsS1APIRsOX5m7ocNqSwQ==,Nederland Vacature Groep,"Amsterdam, North Holland, Netherlands","['Nonprofit Organization Management', 'Higher Education', 'Education Management']","Bedrijfsprofiel, , About The AICS, , The AICS is the first Dutch International Primary and Secondary School in Amsterdam Together with a number of other schools we form the Esprit Scholen The AICS is subsidised by the Dutch government, which enables us to deliver high quality education at competitive fees The AICS is a school for international education that is accredited by the Council of International Schools and focuses on children from international backgrounds Currently the school offers primary education to students aged 4  10 and secondary education to students aged 11  19 The main language of instruction for classes is English After several moves since the start of the school in 2003, the AICS is now located in three buildings Main primary and secondary, around 1100 students, Satellite primary only, around 200 students and South East primary and secondary, around 300 students, , , To be a community where learning is at the heart of everything we do, , , The AICS facilitates high quality, accessible, communitybased international learning for students of all nationalities living in The Netherlands, , , , , , , , , , , Voor meer informatie bekijk onze bedrijfspagina klik op ons logo bovenaan de vacature, , , Solliciteer direct, , ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325181821?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fsecondary-school-dutch-teacher-aics-vo-in-amsterdam%2F252366%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D33903&urlHash=Ei01&refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/secondary-school-dutch-teacher-aics-vo-at-nederland-vacature-groep-2325181821?refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-28
3,primary school teacher,LinkedIn,2306776202,Docent Engels,XgrYDxmDSTauMrfVSVdJ8w==,Joke,"Amsterdam, North Holland, Netherlands",['Apparel & Fashion'],"Het Joke Smit College is met ingang van 18 januari 2021 op zoek naar een eerstegraads docent Engels of een, docentinopleiding in de afrondende fase van zijnhaar studie, , Wat ga je doen, Je geeft dit schooljaar les aan voorexamen en examenklassen mavohavovwo Engels, , , Een veelzijdige baan in een uitdagende en informele werkomgeving waar we aandacht besteden aan onze, medewerkers We bieden een salaris dat past bij de functie schaal LCLD en goede arbeidsvoorwaarden volgens de cao MBO Omvang rond de 06 fte in overleg vast te stellen Het gaat om voorexamen en examenklassen, Het schooljaar 20202021 staat in het teken van gedeeltelijk digitaal lesgeven Wij werken met Microsoft, Teams Ervaring met dit programma enof digitaal lesgeven is een pr Communicatie binnen de school vergaderingen, emails,, coaching etc is in het Nederlands Het is daarom van belang dat het niveau minimaal B2 volgens ERK is, Tijdens de lessen wordt er vooral Engels gesproken",Full-time,https://www.linkedin.com/jobs/view/externalApply/2306776202?url=https%3A%2F%2Fwww%2Eadzuna%2Enl%2Fland%2Fad%2F1816541108%3Fv%3DA428FFC64581C22E95B331BC4B0F705BF78CA895%26ccd%3Da9303baad790a164b84a9d49a49bb1e2%26frd%3D6f9f684f6f49474424452785ffdf4a6d%26r%3D5966702%26utm_source%3Dlinkedinnl%26utm_medium%3Dorganic%26chnlid%3D175%26partnerb%3D1&urlHash=a7iY&refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/docent-engels-at-joke-2306776202?refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-28
4,primary school teacher,LinkedIn,2313785660,"Docent Engels (0,2 - 1,0 FTE) | Amsterdam | Metafoor Onderwijs",qpVeHUIcTEWT0D36XIbj6Q==,Werkzoekennl,"Amsterdam, North Holland, Netherlands","['Primary/', 'Secondary Education', 'Higher Education', 'Education Management']","Vacature van Metafoor Onderwijs, locatie Amsterdam, , Waar ga je werken, Je komt te werken op n van de goed georganiseerde scholen met een duidelijke structuur in de regio Amsterdam, , , , Metafoor Onderwijs is gespecialiseerd in het werven en selecteren, uitzenden en detacheren van ervaren en gekwalificeerde docenten, , Metafoor Onderwijs werkt landelijk voor docenten en scholen Wij bemiddelen docenten en overig onderwijskundig personeel voor het speciaal onderwijs, voortgezet onderwijs, beroepsonderwijs, inburgeringsonderwijs en volwassenonderwijs, , Wij onderscheiden ons door kwaliteit, aandacht, doorzettingsvermogen en openheid Dit betekent voor docent en school dat wij snel de juiste match maken, , , , Ondanks de maatregelen mbt het coronavirus, kun je solliciteren op deze vacature De sollicitatiegesprekken worden vooralsnog op afstand via telefoon of videoverbinding ingepland, , Ben jij een docent Engels in de omgeving Amsterdam met een gaatje vrij in jouw rooster Reageer dan nu op deze vacature, , Als docent geef je Engelse lessen aan vo leerlingen Daarnaast motiveer je en stimuleer je hen om het beste uit zichzelf te halen Het gaat in eerste instantie om een tijdelijke functie met ingang van het nieuwe schooljaar, , Je gaat lesgeven op een van de goed georganiseerde scholen met een duidelijke structuur Deze school onderscheid zich door hun missie Respectvol, kansrijk en uitdagend onderwijs zijn uitgangspunten die centraal staan, , Wil jij Engelse les geven op een school met een duidelijke missie en voldoe jij aan de eisen Ben je daarnaast goed in staat om afstandsonderwijs te geven Reageer nu met jouw cv en motivatie, , , , , Ben jij een docent Engels in de omgeving Amsterdam met een gaatje vrij in jouw rooster en vanaf het nieuwe schooljaar beschikbaar Reageer dan nu op deze vacature, , , Voor vragen over deze vacature kun je terecht bij Nicolette Lindhout Solliciteren kan alleen via de onderstaande sollicitatiebutton, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2313785660?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F8293_metafoor-onderwijs%2Fvacatures%2F4960882_docent-engels-02-10-fte%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Deducation%2Bamsterdam&urlHash=uWE0&refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/docent-engels-0-2-1-0-fte-amsterdam-metafoor-onderwijs-at-werkzoeken-nl-2313785660?refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-28
5,primary school teacher,LinkedIn,2324610573,"Docent Engels 2e graads 0,8 fte",auHdpIXyR6iwj7ei6YbmBg==,SiccaDaniaVTK,"Heemskerk, North Holland, Netherlands",['Machinery'],"Wij zijn de school waar je wilt zijn, , Voor na de kerstvakantie zijn we op zoek naar een enthousiaste docent Engels 2e graads voor 0,8 fte verdeeld over vier dagen Je bent inzetbaar in de onder en bovenbouw en maakt deel uit van een vaksectie en een afdelingsteam Afhankelijk van je ervaring kan je worden gevraagd voor een mentoraat van een klas",Full-time,https://www.linkedin.com/jobs/view/externalApply/2324610573?url=https%3A%2F%2Fwww%2Eadzuna%2Enl%2Fland%2Fad%2F1846482097%3Fv%3DCA0A375229739C320CF9F6E1A633D7260C9417C9%26frd%3D4edc5b89b90a63955705fe1d8677987c%26r%3D5966702%26ccd%3Db0acbca4236f7f949d7a386814efccdc%26utm_source%3Dlinkedinnl%26utm_medium%3Dorganic%26chnlid%3D175%26partnerb%3D1&urlHash=5hGW&refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/docent-engels-2e-graads-0-8-fte-at-siccadania-vtk-2324610573?refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-28
6,primary school teacher,LinkedIn,2309918756,Docent Engels,35jClDKCQrmdm5caxpGP4Q==,Zuiderzee College1,"Zaanstad, North Holland, Netherlands",['Education Management'],"We zijn op zoek naar een enthousiaste, professionele collega die gevarieerde lessen Engels geeft die aansluiten bij de diverse doelgroepen op het Zuiderzee College Een collega die goed in staat is om contact te maken met leerlingen en ouders van verschillende culturele en sociale achtergronden Iemand die graag wil samen werken en wil leren van elkaar en met elkaar Een docent die talentontwikkeling hoog in het vaandel heeft en die breed inzetbaar wil zijn voor de school, , Buitengewoon goed onderwijs voor iedereen Daar staan wij voor bij het Zuiderzee College Als docent Engels lever jij daaraan een bijdrage met heldere, actieve en inspirerende lessen voor de onderbouw van de basis en kaderberoepsgerichte leerweg en mavo Je hebt daarbij altijd oog voor het kind achter de leerling en weet iedereen in de klas aan te spreken op zijn of haar talent, , Jij weet het onderwijsproces zo te begeleiden dat leerlingen gestimuleerd worden om zelf actief mee te doen Niet alleen n de les, maar ook daarbuiten, bijvoorbeeld bij schoolactiviteiten, In goed Nederlands jij slaagt erin om leerlingen zowel binnen als buiten het lokaal in beweging te krijgen, , De vernieuwing van het onderwijs heeft je aandacht en daar wil je graag actief aan meewerken Zo denk je binnen de sectie mee over de ontwikkeling van leermiddelen, lesmateriaal en toetsen, alsmede het bevorderen van een herkenbaar pedagogisch klimaat heeft je aandacht en daar wil je graag actief aan meewerken",Full-time,https://www.linkedin.com/jobs/view/externalApply/2309918756?url=https%3A%2F%2Fwww%2Eadzuna%2Enl%2Fland%2Fad%2F1821108775%3Fv%3D34E4D379E68B33DBDC8BA1344BCE1009B8A79123%26ccd%3Df48f84aac542875b3186c5e385bb72b1%26r%3D5966702%26frd%3De080698c2dad94aafc86a66ca6bc0419%26utm_source%3Dlinkedinnl%26utm_medium%3Dorganic%26chnlid%3D175%26partnerb%3D1&urlHash=zvCA&refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/docent-engels-at-zuiderzee-college1-2309918756?refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-28
7,primary school teacher,LinkedIn,2315366829,English Teacher - Amsterdam,tLjGnjZ3SxyOm+jORTaK8w==,Wolfert Tweetalig,"Amsterdam, North Holland, Netherlands","['Primary/', 'Secondary Education', 'Higher Education', 'Education Management']","Full time position  Part time can be discussed, , As of January 1, 2021 we are looking for an enthusiastic English teacher with a teaching qualification for a full time position Are you available Then please continue to read, , , , Wolfert Tweetalig tweetalig means bilingual in Dutch is ranked as an Excellent School by the Dutch ministry of education This ranking is attributed to schools with high standards of education as well as a specific and unique profile of excellence, , With more than 1200 students from Rotterdam and the surrounding area, Wolfert Tweetalig is one of the bestknown schools in the Netherlands that offer bilingual education for both VWO preuniversity education and HAVO higher general secondary education students, , Students of Wolfert Bilingual know what it means to be a world citizen by means of our curriculum but also through collaboration with students abroad, exchanges, excursions and international internships They also learn to use the English language at a nearnative level, , In our school building, Wolfert Colleges nonbilingual VWO and HAVO students also follow their training The school therefore houses about 1400 students in total, , Wolfert Bilinguals leadership team consists of a head of school and four team leaders The schools teaching staff consists of 110 people, twenty of whom are native English speakers The educational support staff includes seventeen people Because Wolfert Bilingual is an Academic Training School, the school offers an internship to twenty or more first degree trainees every year, , Wolfert Bilingual is part of the Wolfert van Borselen school group This school group consists of six schools, each with its own educational profile, that offer public secondary education in Rotterdam and the surrounding area The school group is part of the Public Education Board of Rotterdam BOOR, , , , Due to maternity leave of one of our colleagues and the upcoming retirement of another colleague we are looking for an English teacher who will teach both our HAVO and VWO students in the lower years age group 1215 years old as well as our upper year students age 1619 as of 1 January 2021, , As an English teacher you enjoy developing activities for students within an international context You are didactically talented, a teamplayer and are open to innovative ideas and developments You know how to guide and coach your students in achieving their learning objectives Because all our students work with a MacBook, your digital skills are excellent You have a degree in teaching the English language and you are familiar with bilingual education and various international exam programmes like IB and Cambridge Can you ensure a safe learning environment and are you able to get the most out of a student Do you have excellent communication skills in order to communicate well with both students and their parents Then please apply to this vacancy and get in touch with us, , , , , , Online interviews are scheduled for Friday, December 11",Internship,https://www.linkedin.com/jobs/view/externalApply/2315366829?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D4e3888d1d0c7%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddccadbcdddbdd88dd8bdd8aadcgddfaadcfddg3aedcdc9fec3ddcg3e&urlHash=SENh&refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/english-teacher-amsterdam-at-wolfert-tweetalig-2315366829?refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-28
8,primary school teacher,LinkedIn,2323451418,"Docent Engels 2e graads 0,8 fte in Heemskerk",n7SVu4vXQN+kTcvXiuCnYg==,Kennemer College,"Heemskerk, North Holland, Netherlands",['Education Management'],"Wij zijn de school waar je wilt zijn, , Voor na de kerstvakantie zijn we op zoek naar een enthousiaste docent Engels 2e graads voor 0,8 fte verdeeld over vier dagen Je bent inzetbaar in de onder en bovenbouw en maakt deel uit van een vaksectie en een afdelingsteam Afhankelijk van je ervaring kan je worden gevraagd voor een mentoraat van een klas",Full-time,https://www.linkedin.com/jobs/view/externalApply/2323451418?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D92f9f2a9c079%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd7cddegada7dd77adacddeaadfgdd7aaddfddg3de9cdc7fec3ddcg3e&urlHash=PtdF&refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/docent-engels-2e-graads-0-8-fte-in-heemskerk-at-kennemer-college-2323451418?refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-28
9,primary school teacher,LinkedIn,2321570892,"docent Engels, eerste graad, 0,7 Fte, per direct, tot aan de zomervakantie",X1lFsqPsQcujf7xij9zeKw==,Upwijs Recruitment,"Purmerend, North Holland, Netherlands","['Primary/', 'Secondary Education']","Docent Engels, eerste graad, 0,7 Fte, regio Purmerend, per zsm tot aan het eind van het schooljaar, , Op een prachtig college in de omgeving van Purmerend is per direct een vacature ontstaan voor een docent Engels, eerste graad Je geeft les aan de midden en bovenbouw van de HAVO en VWO De lessen worden onder meer gegeven aan de afdeling van het tweetalig onderwijs De school heeft een onderscheidend vermogen in de regio Er wordt veel aandacht besteed aan creativiteit, sport, theater en muziek, , De lessen worden verzorgd in combinatie met digitaal en traditioneel onderwijs, , Mocht je in je laatste fase zitten van je opleiding, dan word je ook van harte uitgenodigd om te solliciteren, , Naar wie is de school op zoek, , , , Wat hebben wij en de school je te bieden, , , , Upwijs Recruitment staat voor haar kandidaten, , , , Wij ontvangen graag je cv Heb je vragen Neem gerust telefonisch contact op met Lisette Veldhuijzen op 06 of De Mettes op 06 , , Upwijs Recruitment is gevestigd op drie locaties",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321570892?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F16989582-067c-4560-bd53-81051f9ca316%3Fjid%3D062703bfd50924d14e53b4c077012b4c0c6be703e51d91f4d1ce7d9918c54428%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=dn7o&refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/docent-engels-eerste-graad-0-7-fte-per-direct-tot-aan-de-zomervakantie-at-upwijs-recruitment-2321570892?refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-28
10,primary school teacher,LinkedIn,2322263523,Docent Engels 1e/2e graad in Maarssen,5k6J2vhOTXiTGz0y3IUCFQ==,Niftarlake College,"Utrecht, Utrecht, Netherlands","['Primary/', 'Secondary Education']","De sectie Engels bestaat uit 11 personen, , Wegens ziektevervanging van een docent Engels zijn we op zoek naar een docent voor19 lesuren per week Het gaat om twee mavohavo brugklassen, n havoatheneum brugklas, twee mavo 4 klassen en 2 atheneum klassen, Het gaat om een tijdelijke aanstelling die tot ongeveer eind januari zal duren, afhankelijk van het herstel van onze collega, , We zijn op zoek naar een docent Engels die stevig in zijnhaar schoenen staat, breed inzetbaar en flexibel is, , Voor het algemene profiel van onze medewerkers en de doelen en visie van de school verwijzen wij naar de algemene inleiding op deze site over werken bij het Niftarlake College, , Afhankelijk van de bevoegdheid, ervaring en competenties is waardering van deze functie in schaal LB of LC mogelijk, , Op dit moment worden de lessen vanwege Covid19 deels op school gegeven, en deels via Microsoft Teams online Computervaardigheden en ervaring met het werken met Teams zijn daarom een vereiste, , We vragen je zo snel mogelijk, doch uiterlijk vr 30 november as te reageren Gesprekken zullen naar alle waarschijnlijkheid gevoerd worden via Teams",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322263523?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Dad7c88fa2f62%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadfcadcgdd97add7dd8cdd8aadagadfaddefada3deacdcefec3ddcg3e&urlHash=Mlgs&refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/docent-engels-1e-2e-graad-in-maarssen-at-niftarlake-college-2322263523?refId=5d15fa92-9a4f-4e97-893a-745ad427b3cf&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-28
2,primary school teacher,LinkedIn,2304645775,Docent Engels,QlKPe4v0TPyBboaf5YWQlA==,ROC van Amsterdam,"Amsterdam, North Holland, Netherlands",['Education Management'],"Motivator die de taal van studenten verstaat, , Dit en meer ga je doen, Engels geven is een uitdagend vak Het is een taal van deze tijd Als jij de taal spreekt van je studenten, ga je een mooie tijd tegemoet Je geeft les aan studenten van niveau 2, 3 en 4 Je geeft les, maar helpt ze ook vooruit Je zet Engels beroepsgericht in Je monitort ontwikkeling en stimuleert je studenten als het even minder gaat Haalt iemand mooie cijfers, dan motiveer je juist om het ng beter te doen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2304645775?url=https%3A%2F%2Fwerkenbijrocvaf%2Enl%2Fvacatures%2Fdocent-engels-866637%2F&urlHash=-YeQ&refId=40c88e64-706b-4dca-9589-0da123e7be82&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/docent-engels-at-roc-van-amsterdam-flevoland-2304645775?refId=40c88e64-706b-4dca-9589-0da123e7be82&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
4,primary school teacher,LinkedIn,2311572707,Docent Engels - Zuiderzee College,PtizLIUsTP+CPTA8FILZyg==,Nederland Vacature Groep,"Zaanstad, North Holland, Netherlands","['Nonprofit Organization Management', 'Higher Education', 'Education Management']","Bedrijfsprofiel, Op het Zuiderzee College in Zaandam krijgen 667 leerlingen les in een modern en licht gebouw We ontwikkelen talenten van onze leerlingen n onze medewerkers onze leerlingen, medewerkers en ouders leren samen en we zijn verbonden met onze omgeving Zo halen we het beste uit onszelf en elkaar, , , Leerlingen ontwikkelen zich door denken, voelen n doen Onze leerlingen leren daarom niet alleen n de school, maar ook daarbuiten, met excursies, stages en bedrijfsbezoeken Zo bereiden we onze leerlingen voor op de samenleving van vandaag en morgen, , , We bieden onze leerlingen keuzes langs een duidelijke structuur Daarbij kiezen ze de verbreding, verdieping of herhaling die bij hen past of volgen ze een vak op een hoger niveau We geloven namelijk dat leerlingen gemotiveerd raken als ze zelf kunnen kiezen, , , We bieden onze medewerkers de ruimte om verantwoordelijkheid te nemen voor hun eigen leerproces We delen onze kennis met elkaar en helpen elkaar zo steeds een beetje verder Studenten zien we als volwaardige collegas wij leren van hen en zij leren van ons, , , Doedagen, tekenen als examenvak, gymvoorziening met klimmuur, gezonde schoolkantine, multiculturele leerlingpopulatie, Ben jij begonnen aan de laatste loodjes van je studie en zou je alvast ervaring op willen doen als docent, , We zijn op zoek naar een enthousiaste, professionele collega die gevarieerde lessen Engels geeft die aansluiten bij de diverse doelgroepen op het Zuiderzee College Een collega die goed in staat is om contact te maken met leerlingen en ouders van verschillende culturele en sociale achtergronden Iemand die graag wil samen werken en wil leren van elkaar en met elkaar Een docent die talentontwikkeling hoog in het vaandel heeft en die breed inzetbaar wil zijn voor de school, , Buitengewoon goed onderwijs voor iedereen Daar staan wij voor bij het Zuiderzee College Als docent Engels lever jij daaraan een bijdrage met heldere, actieve en inspirerende lessen voor de onderbouw van de basis en kaderberoepsgerichte leerweg en mavo Je hebt daarbij altijd oog voor het kind achter de leerling en weet iedereen in de klas aan te spreken op zijn of haar talent, , Jij weet het onderwijsproces zo te begeleiden dat leerlingen gestimuleerd worden om zelf actief mee te doen Niet alleen n de les, maar ook daarbuiten, bijvoorbeeld bij schoolactiviteiten, In goed Nederlands jij slaagt erin om leerlingen zowel binnen als buiten het lokaal in beweging te krijgen, , De vernieuwing van het onderwijs heeft je aandacht en daar wil je graag actief aan meewerken Zo denk je binnen de sectie mee over de ontwikkeling van leermiddelen, lesmateriaal en toetsen, alsmede het bevorderen van een herkenbaar pedagogisch klimaat heeft je aandacht en daar wil je graag actief aan meewerken, Je beschikt over goede pedagogische vaardigheden en een tweedegraads bevoegdheid voor het vak Engels, , , , , Voor meer informatie bekijk onze bedrijfspagina klik op ons logo bovenaan de vacature, , , Solliciteer direct, , ",Full-time,https://www.linkedin.com/jobs/view/externalApply/2311572707?url=https%3A%2F%2Fnederlandvacature%2Enl%2Fvacature%2Fdocent-engels-zuiderzee-college-in-zaandam%2F252368%2F%3Futm_source%3Dxmlfeed_linkedin%26utm_medium%3Dwebsite%26utm_campaign%3D33903&urlHash=3_RK&refId=40c88e64-706b-4dca-9589-0da123e7be82&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/docent-engels-zuiderzee-college-at-nederland-vacature-groep-2311572707?refId=40c88e64-706b-4dca-9589-0da123e7be82&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
5,primary school teacher,LinkedIn,2312385750,Solliciteer nu: Docent Engels,VHjR6LavTBOzPDjlkT7fxA==,Onze Leerkracht,"Utrecht, Utrecht, Netherlands","['Primary/', 'Secondary Education']","Solliciteer nu, , Jij gaat aan de slag voor 0,4 FTE 2 dagen als docent Engels, Jij bent niet alleen didactisch maar ook pedagogisch onderlegd, Jij draagt zorg voor een veilige leeromgeving, , , Functieeisen, , , , Bedrijfsomschrijving, , Sta jij te springen om les te geven in een van de meest gesproken talen ter wereld Solliciteer dan hier als Docent Engels, , Als onderwijsassistent ga je aan de slag op een school in Utrecht, waar de leerlingen centraal staan, Het gaat om een speciale school De leerlingen van deze school dreigen de aansluiting met het VO of MBO te verliezen In sommige gevallen zijn ze de aansluiting al verloren Op deze school werken docenten en deskundige begeleiders samen om de schoolcarrire van de leerlingen weer op de rit te krijgen Elke leerling krijgt een persoonlijk, didactisch programma gericht op zijn of haar talenten, , Arbeidsvoorwaarden, , Onze Leerkracht is ht detacheringsbureau gespecialiseerd in het bemiddelen van professionals in het onderwijs Wij luisteren naar jouw wensen en zetten ons in om voor jou een baan te vinden bij een school die bij jou past, , Wij zijn landelijk actief in de bemiddeling en advisering van zowel ervaren als startende docenten Jij krijgt jouw eigen betrokken adviseur en recruiter aangewezen Iemand die weet jij wie bent, wat je zoekt, je hier bij begeleidt en adviseert naar een toekomstige baan, , Wij bieden jou",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312385750?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fc22b3836-7775-4e5c-9f37-c2eda22fcc82%3Fjid%3Dfff3a3d884bd4c4469e9d231d7ea2b9dd36d68f221fb849400e3aa3b35c3f9c5%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D385&urlHash=HLkR&refId=40c88e64-706b-4dca-9589-0da123e7be82&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/solliciteer-nu-docent-engels-at-onze-leerkracht-2312385750?refId=40c88e64-706b-4dca-9589-0da123e7be82&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,2020-10-11,2020-11-30
