Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,educationalist,LinkedIn,2311613833,Groepsleerkracht leerjaar 3,wjH36Qd0OQz0w2dZYOyPwQ==,de Detacheerders  onderwijszorgkinderopvangIT Support,"Amsterdam, North Holland, Netherlands","['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']","Introduction, , Voor een school voor unitonderwijs in regio Amsterdam ben ik per direct op zoek naar een parttime leerkracht voor leerjaar 3 unit 1 Ben jij 2 dagen beschikbaar tot in ieder geval de kerstvakantie dan horen we graag van jou, , Organization, , Op deze basisschool wordt gepersonaliseerd lesgegeven De groepen zijn verdeeld in units De kinderen werken met weektaken en doelenbladen waarop ze aangeven aan welke doelen ze willen werken en waar ze instructie voor nodig hebben De school biedt een uitdagende leeromgeving voor leerlingen en leerkrachten Innovaties en ontwikkelingen zijn hier duidelijk zichtbaar, , Function, , , , , Wij zijn op zoek naar een leerkracht die, , Offer, , De Detacheerders detacheert goed opgeleide talenten binnen een groot aantal vakgebieden Zowel bij de overheid als in het bedrijfsleven en in elke regio Wij zijn een jong en dynamisch bedrijf en bij ons zijn persoonlijke wensen op het gebied van arbeidsvoorwaarden vanzelfsprekend Een periodecontract, een vast dienstverband, een starterstraject of een projectgebonden contract behoren allemaal tot de mogelijkheden, , Information, , Patrick de Keizer 0102886604, , Application, , Ben je genteresseerd en voldoe je aan de door ons gestelde eisen, solliciteer dan direct via onze website en motiveer waarom jij in aanmerking denkt te komen voor deze functie Je kunt ook een sollicitatiebrief met cv sturen naar infodedetacheerdersnl De Detacheerders 0102886604, , Closing date, 31122020",Full-time,https://www.linkedin.com/jobs/view/externalApply/2311613833?url=http%3A%2F%2Fdedetacheerders%2Ecarerix%2Ecom%2Fcxportal%2Fjobdetails%2F2686%2FAmsterdam%2FGroepsleerkracht-leerjaar-3%2Ehtml&urlHash=EsK7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/groepsleerkracht-leerjaar-3-at-de-detacheerders-onderwijs-zorg-kinderopvang-it-support%21-2311613833?refId=80bacfd8-5149-41cd-9727-37491dc95624&trackingId=wjH36Qd0OQz0w2dZYOyPwQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-02
2,educationalist,LinkedIn,2312519182,Groepsleerkracht leerjaar 3,A1SM3q5tLGg2//If3NRE1Q==,de Detacheerders,"Amsterdam, North Holland, Netherlands","['Primary/', 'Secondary Education']","Functie, , Ziektevervanging per direct tot sowieso de kerstvakantie, 2 dagen beschikbaar bij voorkeur donderdag en vrijdag, , Wij zijn op zoek naar een leerkracht die, , , , Aanbod, , De Detacheerders detacheert goed opgeleide talenten binnen een groot aantal vakgebieden Zowel bij de overheid als in het bedrijfsleven en in elke regio Wij zijn een jong en dynamisch bedrijf en bij ons zijn persoonlijke wensen op het gebied van arbeidsvoorwaarden vanzelfsprekend Een periodecontract, een vast dienstverband, een starterstraject of een projectgebonden contract behoren allemaal tot de mogelijkheden",Full-time,https://www.linkedin.com/jobs/view/externalApply/2312519182?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F098237cd-2e87-4bea-b46b-5945e45e4d52%3Fjid%3Da74974e8705d8cd117ce0df262fceabefd1f3031f11a1dc963fcc0321d2aa624%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=UHaY&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/groepsleerkracht-leerjaar-3-at-de-detacheerders-2312519182?refId=80bacfd8-5149-41cd-9727-37491dc95624&trackingId=A1SM3q5tLGg2%2F%2FIf3NRE1Q%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-02
3,educationalist,LinkedIn,2327329721,"Groepsleerkracht groep 3 0,6 fte in Amsterdam",0Bl6gKyXaFxN5GtaszSoXQ==,Barbaraschool,"Amsterdam, North Holland, Netherlands",None,"Wij, basisschool de Barbaraschool, zijn per direct op zoek naar een nieuwe collega Wij zijn op zoek naar een vervanger voor een zieke leerkracht, Leerkracht groep 3 0,6 fte, , Het dienstverband is in de eerste instantie tijdelijk, maar zal bij goed functioneren omgezet worden naar onbepaalde tijd op deze school, of op een andere school van Stichting KBA Nw West De werkdagen zijn in overleg vast te stellen De functie wordt gewaardeerd in salarisschaal L10 conform de cao PO, , , , Dan heb jij je plek gevonden Ook zijinstromers worden uitgenodigd te reageren, , , De Barbaraschool is de buurtschool in de Amsterdamse Oosterparkbuurt Dit kenmerkt zich door de diverse samenstelling van de leerlingen en de prettige en veilige leer en werkomgeving Ouders, kinderen en leerkrachten zijn betrokken bij de school en vormen samen het kloppende hart van de school De Barbaraschool telt momenteel 122 leerlingen, verdeelt over 6 klassen De school werkt bewust met combinatiegroepen Wij willen de komende jaren groeien naar 150180 leerlingen, De Barbaraschool is de samenleving in het klein We werken actief en bewust met het programma Vreedzame School Samen met kinderopvangorganisatie Partou ontwikkelen we een Kindcentrum voor 013 jarigen, Daarnaast is Amsterdam een van de vijf grote steden die in de komende 4 jaren een Grote Stedentoeslag zal ontvangen van het kabinet Voor bevoegde leerkrachten van de Barbaraschool betekent dit dat zij een brutotoeslag op jaarbasis zullen ontvangen, , , Stichting KBA Nw West telt zon 200220 medewerkers In totaal bestaat de stichting uit 1 ondersteunend bestuurskantoor en 7 basisscholen, verspreid over verschillende wijken van Amsterdam, , Vertrouwen, verantwoordelijkheid en betrokkenheid zijn de kernwaarden van de stichting, , De visie van de stichting luidt Wij zijn een Amsterdamse leer en leefgemeenschap waarin de ontwikkeling van onze Amsterdamse kinderen centraal staat Een gemeenschap waarin iedereen zich gehoord en gezien voelt de kinderen, de ouders n de medewerkers Iedere school heeft ruimte om zich vanuit eigenheid, zingeving en creativiteit te verbinden met de buurt en zo invulling te geven aan uitstekend onderwijs, , Klik voor een filmpje van onze stichting, , , Als deze vacature je aanspreekt en je jezelf hierin herkent, horen wij graag van je, Jouw brief en curriculum vitae kun je versturen ter attentie van Els Ramaekers, directeur van de Barbaraschool, naardirectiebarbaraschoolnl Ook voor inhoudelijke informatie kun je contact opnemen met Els Ramaekers",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327329721?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D6df31b385505%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddacadcaadacdddcddf8adeadddgdd8addbfddb3degcdcbfec3ddcg3e&urlHash=bTWB&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/groepsleerkracht-groep-3-0-6-fte-in-amsterdam-at-barbaraschool-2327329721?refId=80bacfd8-5149-41cd-9727-37491dc95624&trackingId=0Bl6gKyXaFxN5GtaszSoXQ%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-02
4,educationalist,LinkedIn,2322266088,Groepsleerkracht in Amsterdam - Laterna Magica,uXuiECNXDkBOoUj8Qmuwxw==,laterna magica,"Amsterdam, North Holland, Netherlands",None,"Wij zoeken voor vervanging van een zwangerschapsverlof een leerkracht voor minimaal 3 dagen met een voorkeur voor 4 of 5 dagen en uitzicht op een vaste baan Op Laterna Magica ben je meer dan een leerkracht, Bij Laterna Magica werk je intensief samen in een klein unitteam van ongeveer 810 collegas In n unit zitten ongeveer 100120 kinderen Een unit functioneert als minischool binnen het totaal en heeft een eigen team Werken bij Laterna Magica betekent werken in een lerende organisatiestructuur Ieder unitteam heeft bijvoorbeeld eigen ambities, verantwoordelijkheden en regelruimte Door de open ruimtes zie je elkaar aan het werk en leer je van elkaar Laterna Magica biedt een krachtige leeromgeving Niet alleen voor kinderen, maar ook voor medewerkers, , Wij bieden, , , Onze ideale kandidaat, , Er is een goede OVverbinding met onder meer Amsterdam Centraal en Utrecht Kom je met de auto Je kunt dichtbij parkeren, , Solliciteer op geheel eigen wijze naar sollicitatieslaternamagicanl",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322266088?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Daa0ea20a10cf%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadfcadfaddgcadbcadf8ddeaddggadfaddffddg3aedcacafec3ddcg3e&urlHash=jq6X&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/groepsleerkracht-in-amsterdam-laterna-magica-at-laterna-magica-2322266088?refId=80bacfd8-5149-41cd-9727-37491dc95624&trackingId=uXuiECNXDkBOoUj8Qmuwxw%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-02
5,educationalist,LinkedIn,2322448675,Groepsleerkracht gr. 1 t/m 8,7GZj0zXtzbf4nEQ7PG4WBg==,Florente Basisscholen,"Diemen, North Holland, Netherlands",['Education Management'],"De belangrijkste factor in het leren van kinderen zijn leerkrachten, In alles wat wij doen als bestuur dient de leerkracht centraal te staan, Zodat leerkrachten blijven leren en het iedere dag weer een stap beter kunnen doen, Met uiteindelijk doel om alle leerlingen nog beter te laten leren, , Florente basisscholen is een innovatieve stichting met openbare, bijzondere en samenwerkingsscholen verspreid over Diemen, Driemond, Duivendrecht, Muiderberg en Weesp Florente basisscholen bieden onderwijs aan vanuit de gezamenlijke missie leren voor het leven Het doel van Florente basisscholen is om toe te werken naar een lerende organisatie met lerende scholen Onze kernwaarden zijn de grondbeginselen van hoe we willen zijn en werken en geven aan wat we belangrijk vinden op onze scholen samen, respect, duurzaamheid, verantwoordelijkheid en veiligheid",Full-time,https://www.linkedin.com/jobs/view/externalApply/2322448675?url=https%3A%2F%2Fwww%2Eadzuna%2Enl%2Fland%2Fad%2F1842638769%3Fv%3DF02E727253848BA7966E966175C764CACB850509%26frd%3D758e2ec2e989b4574f55f209facc0294%26ccd%3D78e3d69a606e208df827aa6cc71291f6%26r%3D5992088%26utm_source%3Dlinkedinnl%26utm_medium%3Dorganic%26chnlid%3D175%26partnerb%3D1&urlHash=0RAq&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/groepsleerkracht-gr-1-t-m-8-at-florente-basisscholen-2322448675?refId=80bacfd8-5149-41cd-9727-37491dc95624&trackingId=7GZj0zXtzbf4nEQ7PG4WBg%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-02
6,educationalist,LinkedIn,2327343967,"Groepsleerkracht groep 5 0,4 fte in Amsterdam",KOW2D3vnwgVhdBwNVfrOcA==,Elout Consulting,"Amsterdam, North Holland, Netherlands",['Information Technology and Services'],"Wij Zijn Op Zoek Naar Een Collega, Die, Op zoek is naar een parttime baan, liefst per direct beschikbaar is, In het bezit is van een pabodiploma, Pedagogisch en didactisch sterk is, , , De Elout is een energieke, gezellige en echte Amsterdamse school in Amsterdam OudZuid, die intensief vormgeeft aan passend onderwijs aan zon 190 leerlingen Je komt te werken op een school waar het kind centraal staat Wij vinden het belangrijk om elkaar goed te kennen en samen te werken met collegas en ouders en leerlingen, De Elout is een school met een gemengde leerling populatie De leerlingen hebben verschillende culturele  en sociale achtergronden Het onderwijs op De Elout wordt gekenmerkt door maatwerk, structuur en individuele aandacht Met onze werkwijze geven wij lle kinderen een goede basis niet alleen voor hun vervolgstudie, maar ook voor hun totale verdere ontwikkeling Wij geloven dat de kinderen op deze manier ook weer een actieve positieve bijdrage aan de samenleving gaan leveren Dit realiseren we in een warm, betrokken en veilig pedagogisch klimaat, Het team van de Elout werkt hard en heeft plezier op het werk We zijn kritisch, maken bewuste keuzes en zetten in op professionalisering Ook maken wij gebruik van elkaars deskundigheid en halen externe kennis binnen om onszelf en ons onderwijs steeds een slag beter te maken Mogelijkheden voor persoonlijke en professionele ontwikkeling zijn dan ook ruim aanwezig, Naast de directeur en de groepsleerkrachten zijn er onderwijsassistenten werkzaam op onze school Voor de optimale zorg en talentontwikkeling van de kinderen hebben wij een intern begeleider en diverse remedial teachers in dienst Er zijn tevens een aantal vakleerkrachten verbonden aan de school voor beeldende vorming, muziek en bewegingsonderwijs Een management ondersteuner en een schoonmaker maken het team compleet, Kijk ook eens op onze website httpwwwbseloutnl of op onze facebook pagina, Daarnaast is Amsterdam een van de vijf grote steden die in de komende 4 jaren een Grote Steden toeslag zal ontvangen van het kabinet Voor bevoegde leerkrachten van de Elout betekent dit dat zij een brutotoeslag op het salaris zullen ontvangen, , Stichting KBA Nw West telt zon 200220 medewerkers In totaal bestaat de stichting uit 1 ondersteunend bestuurskantoor en 7 basisscholen, verspreid over verschillende wijken van Amsterdam, Vertrouwen, verantwoordelijkheid en betrokkenheid zijn de kernwaarden van de stichting, De visie van de stichting luidt Wij zijn een Amsterdamse leer en leefgemeenschap waarin de ontwikkeling van onze Amsterdamse kinderen centraal staat Een gemeenschap waarin iedereen zich gehoord en gezien voelt de kinderen, de ouders n de medewerkers Iedere school heeft ruimte om zich vanuit eigenheid, zingeving en creativiteit te verbinden met de buurt en zo invulling te geven aan uitstekend onderwijs, , Wij bieden een uitdagende functie op een goede school, met een kritisch, hecht en hardwerkend team dat het beste uit de kinderen wil halen, Ben jij genteresseerd in deze functie van ziektevervanging voor groep 5 Je kunt eenvoudig solliciteren door een email te sturen naarhsakbseloutnl of bellen naar 0204702717",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327343967?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Dcdbf59acb8d0%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfaddcadcaadecadacddb8dd7aadfgaddaadefdd83aeccdcgfec3ddcg3e&urlHash=CMON&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/groepsleerkracht-groep-5-0-4-fte-in-amsterdam-at-elout-consulting-2327343967?refId=80bacfd8-5149-41cd-9727-37491dc95624&trackingId=KOW2D3vnwgVhdBwNVfrOcA%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-02
7,educationalist,LinkedIn,2327253209,Docent-Assistent ICT | Amsterdam | StudiJob,ZNVhBijPCQs22eCGvxsILQ==,Werkzoekennl,"Amsterdam, North Holland, Netherlands","['Primary/', 'Secondary Education', 'Higher Education', 'Education Management']","Vacature van StudiJob, locatie Amsterdam, , Ben jij op zoek naar een inhoudelijke bijbaan voor naast je studie of juist op zoek naar een startersfunctie met veel vrijheid Dan is deze flexibele bijbaan iets voor jou Voor een jonge, ambitieuze StartUp in AmsterdamWest is StudiJob op zoek naar een DocentAssistent ICT 1640u per week, , , , Je gaat mensen begeleiden die een 100 remote opleiding doen Dit is een diverse groep mensen die allemaal op hun eigen tempo een opleiding doen De meeste studenten doen op dit moment een opleiding tot Frontend Developer, maar andere studenten zijn Python aan het leren De studenten hebben contact met elkaar via een chatomgeving Slack en dagelijks contact via videobellen Twee keer per dag wordt er een liveles door een docent gegeven, , Als DocentAssistent heb je twee belangrijke taken je helpt en motiveert mensen die vragen hebben of vastzitten Je andere taak is het nakijken van eindopdrachten, dit varieert van simpele sites tot hele projecten met vele honderden regels code, , , , , , Om in aanmerking te komen voor deze functie dien je kennis te hebben van, , Of voor de Backend Opleiding, , , 5cd8a0b9cc68f9ffa4c9253553278a55",Part-time,https://www.linkedin.com/jobs/view/externalApply/2327253209?url=https%3A%2F%2Fwww%2Ewerkzoeken%2Enl%2F9182_studijob%2Fvacatures%2F4597191_docent-assistent-ict%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Deducation%2Bamsterdam&urlHash=Txm0&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/docent-assistent-ict-amsterdam-studijob-at-werkzoeken-nl-2327253209?refId=80bacfd8-5149-41cd-9727-37491dc95624&trackingId=ZNVhBijPCQs22eCGvxsILQ%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-02
8,educationalist,LinkedIn,2288022158,Groepsleerkracht bovenbouw,w63m7hEh62ZGK4Aw33+TXQ==,OnderwijsPost,"Amsterdam, North Holland, Netherlands",['Staffing and Recruiting'],"Over deze vacature, , De bovenbouw pubers in the making, genoeg praatjes, persoonlijke groei en spanning voor het voortgezet onderwijs waar de leerlingen niet langer de oudste zijn Geniet jij ook zo van deze periode Lees dan verder, , Dit jaar ben jij veel bezig met herhaling en de grote voorbereiding op de eindtoets En als die eenmaal geweest is, dan is het een uitdaging de motivatie van begin het jaar terug te vinden De spanning voor het voortgezet onderwijs begint langzaam toe te nemen en er staan natuurlijk een hoop leuke dingen op de planning Wordt het een musical Net als jij zelf misschien ooit hebt meegemaakt Of ga jij een film maken om niet te vergeten Creativiteit komt hoe dan ook goed van pas, , Voor verschillende scholen in Amsterdam en omgeving zoeken wij leerkrachten die een grote voorkeur hebben voor de bovenbouw Leerlingen motiveren is belangrijk, maar ook een stukje consequent handelen met duidelijke regels Jouw leerlingen zijn het oudste van de school en kunnen een duidelijke mening hebben Daar is natuurlijk niets mis mee, mits het de structuur van jouw lessen niet teveel verstoort Het moet immers voor iedereen een leuke en leerzame dag blijven, , Wij willen jou niet zomaar koppelen aan een school, maar kijken verder dan je pabo diploma en cv Jouw wensen staan centraal Wat voor soort cultuur zoek jij Word jij gelukkig van kleine scholen of juist grote scholen waar je veel samen kunt werken met een parallelklas Wij luisteren naar jou en de wensen van de school Op die manier kunnen wij jou in contact brengen met een school waar jij cht met plezier aan het werk kunt, , Ben je nieuwsgierig geworden Solliciteer dan onderaan deze pagina, , Daar tegenover staat, , , , Wie zijn wij, , OnderwijsPost is een arbeidsbemiddelingsbureau gespecialiseerd in het onderwijs Wij brengen al jaren op succesvolle wijze opdrachtgevers en professionals bij elkaar binnen alle lagen van het onderwijs en de kinderopvang Hierbij gaat het om zowel kortdurende vervangingen als vaste dienstverbanden Persoonlijke aandacht is voor ons erg belangrijk om de wensen van onze professionals en opdrachtgevers goed in kaart te brengen Veel van onze recruiters en accountmanagers hebben zelf een achtergrond in het onderwijs en begrijpen hierdoor het werkveld Met onze OnderwijsPost Academy trainingen kunnen professionals zich blijven ontwikkelen en gezellige uitjes zorgen voor een groot onderwijs netwerk, , Functie eisen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2288022158?url=https%3A%2F%2Fonderwijspost%2Enl%2Fvacatures%2Fgroepsleerkracht-bovenbouw&urlHash=x2_E&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/groepsleerkracht-bovenbouw-at-onderwijspost-2288022158?refId=80bacfd8-5149-41cd-9727-37491dc95624&trackingId=w63m7hEh62ZGK4Aw33%2BTXQ%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-02
9,educationalist,LinkedIn,2298666548,Onderwijscoördinator,L9+5tXxl/pvIzSA3xbg9eg==,HU University of Applied Sciences Utrecht Hogeschool Utrecht,"Utrecht, Utrecht, Netherlands","['Marketing and Advertising', 'Higher Education', 'Education Management']","Een Beknopt Overzicht Van De Werkzaamheden, , Voor het instituut Associate degrees IAd van de Hogeschool Utrecht zijn wij op zoek naar een onderwijscordinator Het IAd is flink aan het uitbreiden en er is behoefte aan een verbindende factor tussen de opleidingen en de ondersteunende diensten Je hebt in de rol van onderwijscordinator dan ook veel contact met docenten en de collegas van de ondersteunende diensten, zoals onderwijslogistiek Je brengt uniformiteit in de primaire onderwijsprocessen en houdt deze in de gaten Denk bijvoorbeeld aan onderwijsplanning, beheer van de digitale leeromgevingen en activiteiten die verweven zijn met studievoortgang Je werkt nauw samen met het roosterbureau en je bent betrokken bij het roosterproces en de uitvoering daarvan",Full-time,https://www.linkedin.com/jobs/view/externalApply/2298666548?url=https%3A%2F%2Fhogeschoolutrecht%2Eeasycruit%2Ecom%2Fvacancy%2F2606089%2F173749%3Fiso%3Dnl&urlHash=-G6e&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/onderwijsco%C3%B6rdinator-at-hogeschool-utrecht-2298666548?refId=80bacfd8-5149-41cd-9727-37491dc95624&trackingId=L9%2B5tXxl%2FpvIzSA3xbg9eg%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-02
10,educationalist,LinkedIn,2278284081,"Groepsleerkracht groep 1-2 (0,6 fte)",+9mq9eUaOvSC3BH18H7mPg==,Jozefschool Aalsmeer,"Aalsmeer, North Holland, Netherlands","['Primary/', 'Secondary Education']","Jozefschool zoekt een Groepsleerkracht groep 12 0,6 fte te HBO geplaatst op, , Alberdingk Thijm Scholen Jozefschool is per januari 2021 op zoek naar een, , , , Waar het om gaat op de Jozefschool, , Veel meer geven dan les alleen, Aandacht voor formatief handelen, bewustwording, sociale vaardigheden, IPC, ICT en tweetaligheid, , Eigen en wijs lesgeven, Jij bent de regisseur in de klas Veel ruimte voor creativiteit en eigen inbreng, , Een wereld openen voor elk kind, Elk kind begeleiden in een veilige community Wie je ook bent, wat je ook kan, , Waar het om gaat bij de functie, , Als leerkracht bij de Jozefschool ga je op woensdag, donderdag en vrijdag als extra leerkracht werken in de onderbouw Je hebt affiniteit met de onder en middenbouw Je komt te werken in een enthousiast en betrokken team in een gezellig schoolgebouw aan de Spiegelplas in Nederhorst den Berg Er is een fijne samenwerking met betrokken en enthousiaste ouders, , Talenten en eigenschappen die goed van pas komen zijn, , , , Twijfel je of je hieraan voldoet Solliciteer dan toch We kunnen je in ieder geval verder op weg helpen, , Waar gaat het jou om Vertel het ons, Als onderdeel van je sollicitatie, willen we ook graag weten waar het jou cht om gaat In je vak en in de wereld We vragen je dan ook om dit naast je CV met ons te delen, op jouw eigen wijze We zijn benieuwd Heb je nog vragen over de baan, over de school of over Alberdingk Thijm Scholen Neem dan gerust contact op met Mevrouw J van Thiel Directeur,, , Interesse in de functie van Groepsleerkracht groep 12 0,6 fte bij Jozefschool regio Reageer nu met je CV en motivatie via de solliciteer button, Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld",Full-time,https://www.linkedin.com/jobs/view/externalApply/2278284081?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F28fadff6-cab4-45da-9426-8408d4d251ff%3Fjid%3D3de7e2c88ddee36b7c88df9f2587244e084acfae4e3ed4867820a1cbc7f9e517%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D404&urlHash=7LvB&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/groepsleerkracht-groep-1-2-0-6-fte-at-jozefschool-aalsmeer-2278284081?refId=80bacfd8-5149-41cd-9727-37491dc95624&trackingId=%2B9mq9eUaOvSC3BH18H7mPg%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-02
11,educationalist,LinkedIn,2315996968,Docent front-end designer | Amsterdam | Mediacollege Amsterdam,FTGguWqPyIcdhR1/uLltWg==,ICTerGezochtnl,"Amsterdam, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Computer & Network Security']","Vacature van Mediacollege Amsterdam, locatie Amsterdam, , Docent frontend designer voor het Mediacollege Amsterdam 0,6 fte, Het Mediacollege Amsterdam Ma is met spoed op zoek naar een enthousiaste docent, die aan onze studenten graag lessen geeft op het gebied van het frontend design, , , Als inspirerende docent en begeleider van jonge mensen in de leeftijd van 16 tot 20 jaar werk je samen in een dynamisch mboteam Als docent werk je aan de innovatie van het onderwijs en maak je deel uit van een team van enthousiaste docenten Zij bepalen gezamenlijk het gezicht van de opleiding Mediavormgever, , , , , , Verder beschik je over interpersoonlijke, pedagogische, communicatieve, vakinhoudelijke en organisatorische competenties en kun je zowel zelfstandig als in teamverband werken Ook ben je goed in staat om de lessen ordelijk te laten verlopen Je inspireert de studenten, bent gericht op innovatie, kwaliteit en resultaten Tot slot hecht je belang aan zelfontwikkeling, , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2315996968?url=https%3A%2F%2Fwww%2Eictergezocht%2Enl%2F3632_adver-online-bv%2Fict-vacatures%2F69946_docent-front-end-designer%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dfrontend%2Bamsterdam&urlHash=TG-X&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/docent-front-end-designer-amsterdam-mediacollege-amsterdam-at-ictergezocht-nl-2315996968?refId=80bacfd8-5149-41cd-9727-37491dc95624&trackingId=FTGguWqPyIcdhR1%2FuLltWg%3D%3D&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-02
12,educationalist,LinkedIn,2318045590,Bijbaan: studiebegeleider of bijles docent worden in Amsterdam,+abTk4KRhrvHWL3aMGEUWg==,Superprof,"Amsterdam, North Holland, Netherlands","['Higher Education', 'Education Management', 'Health, Wellness and Fitness']","Bedrijf, , Superprof, ht platform voor bijles en privles in Nederland, is op zoek naar enthousiastelingen in heel Nederland die privles kunnen geven in allerlei onderwerpen schoolvakken, sport, koken, muziek, fotografie, kunst en nog veel meer, , Al meer dan 10 miljoen leraren in 29 landen over de hele wereld vertrouwen op ons voor het vinden van hun leerlingen, , Functie, , Als grootste Europese website voor het in contact brengen van leerlingen met privleraren is Superprof altijd op zoek naar gemotiveerde personen in heel Nederland die hun kennis willen delen in welk onderwerp dan ook met leerlingen op elk niveau en van elke leeftijd, , Of je nou student bent, leraarinopleiding, net afgestudeerd of gewoon graag iets bij wilt verdienen naast je huidige baan, Superprof is er voor iedereen die op zoek is naar een flexibele bijbaan Je hoeft niet langer zelf op zoek naar leerlingen op Superprof komen leerlingen naar jou, , Voordelen",Full-time,https://www.linkedin.com/jobs/view/externalApply/2318045590?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Da0aa3da4c09d%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadfcddgaadfcadfcddd8adcaadfgddcaaddfddg3de7caccfec3ddcg3e&urlHash=7Yxr&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/bijbaan-studiebegeleider-of-bijles-docent-worden-in-amsterdam-at-superprof-2318045590?refId=80bacfd8-5149-41cd-9727-37491dc95624&trackingId=%2BabTk4KRhrvHWL3aMGEUWg%3D%3D&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 weeks ago,2 weeks ago,2020-11-16,2020-12-02
