,Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Sector,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date,Language,Dutch Requirement,English Requirement,Gender_Female,Gender_Mixed,Gender_Male,Age_Older,Age_Mixed,Age_Younger,Gender_Num,Age_Num,Sector Code,% Female,% Male,% Older,% Younger,Gender,Age
0,1,renting,LinkedIn,2325524734,Housing Manager - Amsterdam Metropolitan Area,2XY73H4DY5zRb6v72FUNnw==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands","['Computer Networking', 'Computer & Network Security', 'Telecommunications']",Other,"Job Context  Duties, , Examine the conditions of buildings, , Inform on renting agreements, , Strive for company growth, , Follow company standards, , Provide information on properties, , , , Strong motivation and open and positive attitude, , Experience of having worked in a similar role, , Ability to work effectively in an international or multicultural environment, , An awareness of the need to handle confidential issues sensitively, , Openness and interest in learning and further development",Full-time,https://www.linkedin.com/jobs/view/externalApply/2325524734?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3Db6501ea20de6%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadecdda8ddbfddg9ddfaadbaadfgddeaddgfadc3aebcdcafec3ddcg3e&urlHash=Wmmz&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/housing-manager-amsterdam-metropolitan-area-at-talent-2325524734?refId=58f209cf-0487-479b-8afc-0064c1731832&trackingId=2XY73H4DY5zRb6v72FUNnw%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,2,renting,LinkedIn,2321479711,Internship,eRI7tQsezjprEe9OUzq/yg==,HousingAnywhere,"Rotterdam, South Holland, Netherlands",['Telecommunications'],Education,"Our Mission To help people with housing, anywhere Our Vision  Building a safe, efficient and global rental marketplace for anyone looking for or renting out a place Our Core Values We Care We Perform We Evolve Your responsibilities You will be in charge of identifying potential customers in the target market and completing appropriate research You will be trained to contact new leads executing the cold calling process and also utilizing email campaigns You will be working together with our Account Managers to support you on acquiring customers and onboard them for optimal success of your own portfolio You will also need to schedule and perform meetings with your potential customers landlords to close the deal Most of the activities related to this position will take place over the phone or over videocalls You will also have other supporting tasks such as supporting customers when using our platform, listing creation  optimization of the current inventory, performing translations and other tasks that help improve our awesome startup Your profile You speak English on an aboveaverage level and Italian on a native level You are a Bachelor Master student or recent graduate in the area of Economics, Business Management, Marketing or a related study and have a great interest in Sales You will be responsible for growing the supply side of our platform by generating new leads and contacts with landlords within your assigned regions You have a genuine interest in knowing how the full cycle of a startup product works Whats in it for you Competitive internship salary 2 weeks of training to kickoff the essential skills for the role Get ready to make a real impact and hit the ground running with early responsibilities You have the opportunity to take full ownership of your work and dare to do things differently Here, all ideas matter Work with a crazy unconventional team Think 100 people from 30 different nationalities Its like being on a roundtheworld trip while youre in the office Bubble Football, bowling, wine tasting, Will you be part of the department with the coolest teambuilding activity Work in the heart of Rotterdam in an office with an amazing view If youre looking for a city that is always packed with new things to discover, amazing architecture, a strong international community, this is the perfect place for you We dont care about what you wear Youre welcome to wear a 3piece tuxedo or even sweatpants at the office, we wont judge you Maybe a little Beers  Cheers Get to know your colleagues over drinks while we celebrate our achievements every Friday Practicalities Starting March 2021 Fulltime position 40 hours a week 6 months internship The internship allowance is 550 net per month You will work from our HQ in Rotterdam, the Netherlands currently working remotely due to Covid19 measures More about HousingAnywhere HousingAnywhere is the biggest global booking platform for midterm rental accommodation in the world Being a peertopeer marketplace, we create an experience that serves both sides of the rental accommodation market and creates a direct connection between tenants and landlords HousingAnywhere is active in 50 countries and 400 cities We are partners with 160 universities worldwide and currently target international students and young professionals moving abroad We are expanding to other audiences as well In 2017, we were awarded 4th most innovative company in the Netherlands and the 1st most innovative company in Rotterdam by the Dutch Chamber of Commerce In 2018 and 2019, we have been honored by being the fastest growing propTech company in the Netherlands as part of the Technology Fast 50 ranking of Deloitte Got questions Email Alicia at By applying to work at HousingAnywhere, you agree to our",Internship,https://www.linkedin.com/jobs/view/externalApply/2321479711?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F62ada86c-7a08-4058-be5f-fb3f1760d6f4%3Fjid%3D7d599fe0804e4e5db2092f3b941506e1381618cfc17a08f5ba58523bc11ed2ad%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=Gq6H&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/internship-at-housinganywhere-2321479711?refId=58f209cf-0487-479b-8afc-0064c1731832&trackingId=eRI7tQsezjprEe9OUzq%2Fyg%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,Yes,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
2,4,renting,LinkedIn,2317404805,Internship,VITpZcBPgT/+8xQVYFtYtg==,HousingAnywhere,"Rotterdam, South Holland, Netherlands",['Telecommunications'],Education,"Our Mission To help people with housing, anywhere Our Vision  Building a safe, efficient and global rental marketplace for anyone looking for or renting out a place Our Core Values We Care We Perform We Evolve Your responsibilities You will be in charge of identifying potential customers in the target market and completing appropriate research You will be trained to contact new leads executing the cold calling process and also utilizing email campaigns You will be working together with our Account Managers to support you on acquiring customers and onboard them for optimal success of your own portfolio You will also need to schedule and perform meetings with your potential customers landlords to close the deal Most of the activities related to this position will take place over the phone or over videocalls You will also have other supporting tasks such as supporting customers when using our platform, listing creation  optimization of the current inventory, performing translations and other tasks that help improve our awesome startup Your profile You speak English on an aboveaverage level and Spanish on a native level You are a Bachelor Master student or recent graduate in the area of Economics, Business Management, Marketing or a related study and have a great interest in Sales You will be responsible for growing the supply side of our platform by generating new leads and contacts with landlords within your assigned regions You have a genuine interest in knowing how the full cycle of a startup product works Whats in it for you Competitive internship salary 2 weeks of training to kickoff the essential skills for the role Get ready to make a real impact and hit the ground running with early responsibilities You have the opportunity to take full ownership of your work and dare to do things differently Here, all ideas matter Work with a crazy unconventional team Think 100 people from 30 different nationalities Its like being on a roundtheworld trip while youre in the office Bubble Football, bowling, wine tasting, Will you be part of the department with the coolest teambuilding activity Work in the heart of Rotterdam in an office with an amazing view If youre looking for a city that is always packed with new things to discover, amazing architecture, a strong international community, this is the perfect place for you We dont care about what you wear Youre welcome to wear a 3piece tuxedo or even sweatpants at the office, we wont judge you Maybe a little Beers  Cheers Get to know your colleagues over drinks while we celebrate our achievements every Friday Practicalities Starting March 2021 Fulltime position 40 hours a week 6 months internship The internship allowance is 550 net per month You will work from our HQ in Rotterdam, the Netherlands More about HousingAnywhere HousingAnywhere is the biggest global booking platform for midterm rental accommodation in the world Being a peertopeer marketplace, we create an experience that serves both sides of the rental accommodation market and creates a direct connection between tenants and landlords HousingAnywhere is active in 50 countries and 400 cities We are partners with 160 universities worldwide and currently target international students and young professionals moving abroad We are expanding to other audiences as well In 2017, we were awarded 4th most innovative company in the Netherlands and the 1st most innovative company in Rotterdam by the Dutch Chamber of Commerce In 2018 and 2019, we have been honored by being the fastest growing propTech company in the Netherlands as part of the Technology Fast 50 ranking of Deloitte Got questions Email Alicia at By applying to work at HousingAnywhere, you agree to our",Internship,https://www.linkedin.com/jobs/view/externalApply/2317404805?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fa4aa13ab-d401-4c8b-bb4d-69bfb932910c%3Fjid%3De04cfbd1d23d3820b1fc1c41e14839cec249be42679463be0a5caf92934b88f8%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=NaFv&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/internship-at-housinganywhere-2317404805?refId=58f209cf-0487-479b-8afc-0064c1731832&trackingId=VITpZcBPgT%2F%2B8xQVYFtYtg%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,Yes,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
3,5,renting,LinkedIn,2321556068,Housing Manager,tem09iORzVl0jZIlAft2NQ==,Talent,"RotterdamThe Hague metropolitan area, South Holland, Netherlands",['Financial Services'],Other,"Job Context  Duties, , Examine the conditions of buildings, Inform on renting agreements, , Strive for company growth, , Follow company standards, , , , , Strong motivation and open and positive attitude, , , Ability to work effectively in an international or multicultural environment, , An awareness of the need to handle confidential issues sensitively, , Openness and interest in learning and further development",Full-time,https://www.linkedin.com/jobs/view/externalApply/2321556068?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F8778d455-0f1c-4086-96d6-bbf7828e4e1a%3Fjid%3Df30c7ee046aea5e5d5e29506fb9988e60e2b6057109870ef8856332f3b026b28%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=mbc7&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/housing-manager-at-talent-2321556068?refId=58f209cf-0487-479b-8afc-0064c1731832&trackingId=tem09iORzVl0jZIlAft2NQ%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,6,renting,LinkedIn,2317405436,Internship,FQALjbvmZfTboakcWJcKLQ==,HousingAnywhere,"Rotterdam, South Holland, Netherlands",['Telecommunications'],Education,"Our Mission To help people with housing, anywhere Our Vision  Building a safe, efficient and global rental marketplace for anyone looking for or renting out a place Our Core Values We Care We Perform We Evolve Your responsibilities You will be in charge of identifying potential customers in the target market and completing appropriate research You will be trained to contact new leads executing the cold calling process and also utilizing email campaigns You will be working together with our Account Managers to support you on acquiring customers and onboard them for optimal success of your own portfolio You will also need to schedule and perform meetings with your potential customers landlords to close the deal Most of the activities related to this position will take place over the phone or over videocalls You will also have other supporting tasks such as supporting customers when using our platform, listing creation  optimization of the current inventory, performing translations and other tasks that help improve our awesome startup Your profile You speak English on an aboveaverage level and Portuguese on a native level You are a Bachelor Master student or recent graduate in the area of Economics, Business Management, Marketing or a related study and have a great interest in Sales You will be responsible for growing the supply side of our platform by generating new leads and contacts with landlords within your assigned regions You have a genuine interest in knowing how the full cycle of a startup product works Whats in it for you Competitive internship salary 2 weeks of training to kickoff the essential skills for the role Get ready to make a real impact and hit the ground running with early responsibilities You have the opportunity to take full ownership of your work and dare to do things differently Here, all ideas matter Work with a crazy unconventional team Think 100 people from 30 different nationalities Its like being on a roundtheworld trip while youre in the office Bubble Football, bowling, wine tasting, Will you be part of the department with the coolest teambuilding activity Work in the heart of Rotterdam in an office with an amazing view If youre looking for a city that is always packed with new things to discover, amazing architecture, a strong international community, this is the perfect place for you We dont care about what you wear Youre welcome to wear a 3piece tuxedo or even sweatpants at the office, we wont judge you Maybe a little Beers  Cheers Get to know your colleagues over drinks while we celebrate our achievements every Friday Practicalities Starting March 2021 Fulltime position 40 hours a week 6 months internship The internship allowance is 550 net per month You will work from our HQ in Rotterdam, the Netherlands currently working remotely due to Covid19 measures More about HousingAnywhere HousingAnywhere is the biggest global booking platform for midterm rental accommodation in the world Being a peertopeer marketplace, we create an experience that serves both sides of the rental accommodation market and creates a direct connection between tenants and landlords HousingAnywhere is active in 50 countries and 400 cities We are partners with 160 universities worldwide and currently target international students and young professionals moving abroad We are expanding to other audiences as well In 2017, we were awarded 4th most innovative company in the Netherlands and the 1st most innovative company in Rotterdam by the Dutch Chamber of Commerce In 2018 and 2019, we have been honored by being the fastest growing propTech company in the Netherlands as part of the Technology Fast 50 ranking of Deloitte Got questions Email Alicia at By applying to work at HousingAnywhere, you agree to our",Internship,https://www.linkedin.com/jobs/view/externalApply/2317405436?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F108b7eac-73b1-4d0b-843c-d38443891f6a%3Fjid%3D8b6a417215bd743932a0d7c2009eeb4557f4a95160d6a8f6f4f0bc86343d72cf%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=eVif&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/internship-at-housinganywhere-2317405436?refId=58f209cf-0487-479b-8afc-0064c1731832&trackingId=FQALjbvmZfTboakcWJcKLQ%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,Yes,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
5,7,renting,LinkedIn,2321483172,Internship,0MUiGyzNoDtuaelXSrzHGg==,HousingAnywhere,"Rotterdam, South Holland, Netherlands",['Telecommunications'],Education,"Our Mission, , Our Vision , , Building a safe, efficient and global rental marketplace for anyone looking for or renting out a place, , Our Core Values, , We Care We Perform We Evolve, , Your responsibilities, , , , Your profile, , , , Whats in it for you, , , , Practicalities, , , , HousingAnywhere is the biggest global booking platform for midterm rental accommodation in the world Being a peertopeer marketplace, we create an experience that serves both sides of the rental accommodation market and creates a direct connection between tenants and landlords HousingAnywhere is active in 50 countries and 400 cities We are partners with 160 universities worldwide and currently target international students and young professionals moving abroad We are expanding to other audiences as well, , In 2017, we were awarded 4th most innovative company in the Netherlands and the 1st most innovative company in Rotterdam by the Dutch Chamber of Commerce In 2018 and 2019, we have been honored by being the fastest growing propTech company in the Netherlands as part of the Technology Fast 50 ranking of Deloitte, , Got questions Email Alicia at, , By applying to work at HousingAnywhere, you agree to our",Internship,https://www.linkedin.com/jobs/view/externalApply/2321483172?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fa13d1bf3-363e-4eec-97b7-d1626c6e8812%3Fjid%3Daffb3e129a4610b7b54d301f7d426652b63ecd1d3e0e9d96247ac732d8de3258%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=Fcom&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/internship-at-housinganywhere-2321483172?refId=58f209cf-0487-479b-8afc-0064c1731832&trackingId=0MUiGyzNoDtuaelXSrzHGg%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
6,8,renting,LinkedIn,2321478760,Internship,9TdNDqJpFNfNpKOjpQjBuQ==,HousingAnywhere,"Rotterdam, South Holland, Netherlands",['Telecommunications'],Education,"Our Mission To help people with housing, anywhere Our Vision  Building a safe, efficient and global rental marketplace for anyone looking for or renting out a place Our Core Values We Care We Perform We Evolve Your responsibilities You will be in charge of identifying potential customers in the target market and completing appropriate research You will be trained to contact new leads executing the cold calling process and also utilizing email campaigns You will be working together with our Account Managers to support you on acquiring customers and onboard them for optimal success of your own portfolio You will also need to schedule and perform meetings with your potential customers landlords to close the deal Most of the activities related to this position will take place over the phone or over videocalls You will also have other supporting tasks such as supporting customers when using our platform, listing creation  optimization of the current inventory, performing translations and other tasks that help improve our awesome startup Your profile You speak English on an aboveaverage level and French on a native level You are a Bachelor Master student or recent graduate in the area of Economics, Business Management, Marketing or a related study and have a great interest in Sales You will be responsible for growing the supply side of our platform by generating new leads and contacts with landlords within your assigned regions You have a genuine interest in knowing how the full cycle of a startup product works Whats in it for you Competitive internship salary 2 weeks of training to kickoff the essential skills for the role Get ready to make a real impact and hit the ground running with early responsibilities You have the opportunity to take full ownership of your work and dare to do things differently Here, all ideas matter Work with a crazy unconventional team Think 100 people from 30 different nationalities Its like being on a roundtheworld trip while youre in the office Bubble Football, bowling, wine tasting, Will you be part of the department with the coolest teambuilding activity Work in the heart of Rotterdam in an office with an amazing view If youre looking for a city that is always packed with new things to discover, amazing architecture, a strong international community, this is the perfect place for you We dont care about what you wear Youre welcome to wear a 3piece tuxedo or even sweatpants at the office, we wont judge you Maybe a little Beers  Cheers Get to know your colleagues over drinks while we celebrate our achievements every Friday Practicalities Starting February 2021 Fulltime position 40 hours a week 6 months internship The internship allowance is 550 net per month You will work from our HQ in Rotterdam, the Netherlands More about HousingAnywhere HousingAnywhere is the biggest global booking platform for midterm rental accommodation in the world Being a peertopeer marketplace, we create an experience that serves both sides of the rental accommodation market and creates a direct connection between tenants and landlords HousingAnywhere is active in 50 countries and 400 cities We are partners with 160 universities worldwide and currently target international students and young professionals moving abroad We are expanding to other audiences as well In 2017, we were awarded 4th most innovative company in the Netherlands and the 1st most innovative company in Rotterdam by the Dutch Chamber of Commerce In 2018 and 2019, we have been honored by being the fastest growing propTech company in the Netherlands as part of the Technology Fast 50 ranking of Deloitte Got questions Email Alicia at By applying to work at HousingAnywhere, you agree to our",Internship,https://www.linkedin.com/jobs/view/externalApply/2321478760?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Fb7d058b6-310f-4870-9307-f243f72a3a46%3Fjid%3D7f433fa785bb4299a6b8abdd334f2ca5b14855e4a660a359ff458a693637be22%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=TVGC&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/internship-at-housinganywhere-2321478760?refId=58f209cf-0487-479b-8afc-0064c1731832&trackingId=9TdNDqJpFNfNpKOjpQjBuQ%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,Yes,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
7,9,renting,LinkedIn,2307086641,Internship,zL0/ZR4PTI+G6xUM8PTaNA==,HousingAnywhere,"Rotterdam, South Holland, Netherlands",['Computer Software'],Education,"Our Mission, , Our Vision , , Building a safe, efficient and global rental marketplace for anyone looking for or renting out a place, , Our Core Values, , We Care We Perform We Evolve, , Your responsibilities, , , , Your profile, , , , Whats in it for you, , , , Practicalities, , , , HousingAnywhere is the biggest global booking platform for midterm rental accommodation in the world Being a peertopeer marketplace, we create an experience that serves both sides of the rental accommodation market and creates a direct connection between tenants and landlords HousingAnywhere is active in 50 countries and 400 cities We are partners with 160 universities worldwide and currently target international students and young professionals moving abroad We are expanding to other audiences as well, , In 2017, we were awarded 4th most innovative company in the Netherlands and the 1st most innovative company in Rotterdam by the Dutch Chamber of Commerce In 2018 and 2019, we have been honored by being the fastest growing propTech company in the Netherlands as part of the Technology Fast 50 ranking of Deloitte, , Got questions Email Alicia at, , By applying to work at HousingAnywhere, you agree to our",Internship,https://www.linkedin.com/jobs/view/externalApply/2307086641?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F50c54237-e134-4633-b717-07348e450810%3Fjid%3D02fb0c964f5c8ad8f93f7b12df1eb587b95e4d9d86be6327588a85b184e94776%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=30r6&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/internship-at-housinganywhere-2307086641?refId=58f209cf-0487-479b-8afc-0064c1731832&trackingId=zL0%2FZR4PTI%2BG6xUM8PTaNA%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
8,10,renting,LinkedIn,2278168166,Internship,8amo+wZdNoHv1Bp0nZZinA==,HousingAnywhere,"Rotterdam, South Holland, Netherlands",['Government Relations'],Education,"Our Mission, , Our Vision , , Building a safe, efficient and global rental marketplace for anyone looking for or renting out a place, , Our Core Values, , We Care We Perform We Evolve, , Your responsibilities, , , , Your profile, , , , Whats in it for you, , , , Practicalities, , , , HousingAnywhere is the biggest global booking platform for midterm rental accommodation in the world Being a peertopeer marketplace, we create an experience that serves both sides of the rental accommodation market and creates a direct connection between tenants and landlords HousingAnywhere is active in 50 countries and 400 cities We are partners with 160 universities worldwide and currently target international students and young professionals moving abroad We are expanding to other audiences as well, , In 2017, we were awarded 4th most innovative company in the Netherlands and the 1st most innovative company in Rotterdam by the Dutch Chamber of Commerce In 2018 and 2019, we have been honored by being the fastest growing propTech company in the Netherlands as part of the Technology Fast 50 ranking of Deloitte, , Got questions Email Alicia at, , By applying to work at HousingAnywhere, you agree to our",Internship,https://www.linkedin.com/jobs/view/externalApply/2278168166?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2Feab3d8bb-562b-41f3-b547-0041d62d7501%3Fjid%3Ddf6b3f2544bf86c9c88e8f8ead79be6932adc2be123b60508fae560c8e8cd14d%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=8Wq-&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/internship-at-housinganywhere-2278168166?refId=58f209cf-0487-479b-8afc-0064c1731832&trackingId=8amo%2BwZdNoHv1Bp0nZZinA%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
9,13,renting,LinkedIn,2285967469,Online Sales Internship,GSx9/Ro6X4c6U7E3yZMn3w==,University Housing,"Utrecht, Utrecht, Netherlands","['Marketing and Advertising', 'Staffing and Recruiting', 'Management Consulting']",Marketing,"Do you like a challenge and are you socially oriented Would you like to help people and make them happy all day long Then this is the perfect internship for you, , What are you going to do",Internship,https://www.linkedin.com/jobs/view/externalApply/2285967469?url=https%3A%2F%2Fnl%2Ejooble%2Eorg%2Fexternal%2F594293820537747261%3Futm_campaign%3DNL%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DBoard&urlHash=FtJU&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/online-sales-internship-at-university-housing-2285967469?refId=58f209cf-0487-479b-8afc-0064c1731832&trackingId=GSx9%2FRo6X4c6U7E3yZMn3w%3D%3D&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
10,15,renting,LinkedIn,2321477854,Student Ambassador,OkyzJ4x7Pt7EwxkfqN6f+w==,HousingAnywherecom,"Rotterdam, South Holland, Netherlands",['Government Relations'],Education,"Company Description, , HousingAnywherecom is an online startup that provides a platform that helps students  landlords renting out rooms to and from each other, while they go abroad for an internship or study abroad semester HousingAnywherecom is scaling its business rapidly and its on the way of becoming the biggest platform for accommodation for international students in the world, , The company is at an exciting point in its growth strategy and relies on the imagination and innovation of its employees to develop further into the world, anywhere In total more than 30 people are putting their energy day by day into this venture New initiatives are starting up every day, while working in a lean way and hacking growth, , The company is backed by VC henQ Invest and Industry angels, , We are a vibrant, success driven company that rewards based on achievement, , , , Become responsible for increasing the awareness of HousingAnywhere around your campus andor city by promoting the platform to the outbound exchange  outbound internship students at your university, , What we are looking for, , Fluency in English is mandatory, and knowledge of the local language is a great asset, , , We offer, , , Cool Things, , You will work in an international startup company, which is not only fun, but also good for your CV, You will develop your marketing, promotion, and business communication skills, It is a great job that perfectly supplements your studies as you can work remotely from your campus and around your school schedule, You will have a lot of responsibility and will see direct results if you manage to do a good job, hundreds of students will use the platform every year at your university And you can say I was the one who made this happen, , Payment Ambassador, , , However, we are not looking for a student who is only interested in the job for the money we are looking for a student who wants to improve the housing situation at their university, and will do so enthusiastically If you want to have guaranteed income, HousingAnywhere is not the place to be, Your monthly payment will be in Euros and will automatically be converted by the bank to your local currency",Internship,https://www.linkedin.com/jobs/view/externalApply/2321477854?url=https%3A%2F%2Fjoblift%2Enl%2Fdetails%2F5cd15179-af4d-40d0-8131-57ac1928c020%3Fjid%3Defb8aced903d7e03cb01f6bd6c7c3ceb8e2a129436461fe65d8d9cfe69c17094%26utm_source%3Dlinkedin_nl%26utm_medium%3Dexternal_feed%26utm_campaign%3D126&urlHash=OMXG&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/student-ambassador-at-housinganywhere-com-2321477854?refId=58f209cf-0487-479b-8afc-0064c1731832&trackingId=OkyzJ4x7Pt7EwxkfqN6f%2Bw%3D%3D&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,P,0.6512915129151291,0.34870848708487084,0.466789667896679,0.5313653136531366,Mixed Gender,Mixed Age
11,18,renting,LinkedIn,2327358077,Account Manager (German Speaker) - Rotterdam,lQv5wQGy8U7C08ISHmoh6A==,HousingAnywhere,"Rotterdam, South Holland, Netherlands","['Marketing and Advertising', 'Computer Software', 'Internet']",Sales,"Our Mission, , To help people with housing, anywhere, , Our Vision , , Building a safe, efficient and global rental marketplace for anyone looking for or renting out a place, , , , We Care We Perform We Evolve, , , , As a dynamic and engaging Account Manager, youre ready to shake up the German housing market, , An engaging Account Manager to work for the German Market willing to contribute to our goal and showing how HousingAnywhere is a great product for landlords to advertise their place In this role you will be part of the Sales  Supply team and become responsible for providing the optimal experience for our advertisers, , As part of the Sales  Supply Team, you will be responsible for the supply side of our marketplace Our mission is to ensure that every tenant who is actively looking for accommodation can always find a home through our platform, , , , , , , , , , HousingAnywhere is the biggest global booking platform for midterm rental accommodation in the world Being a peertopeer marketplace, we create an experience that serves both sides of the rental accommodation market and creates a direct connection between tenants and landlords HousingAnywhere is active in 50 countries and 400 cities We are partners with 160 universities worldwide and currently target international students and young professionals moving abroad We are expanding to other audiences as well, , In 2017, we were awarded 4th most innovative company in the Netherlands and the 1st most innovative company in Rotterdam by the Dutch Chamber of Commerce In 2018 and 2019, we have been honored by being the fastest growing propTech company in the Netherlands as part of the Technology Fast 50 ranking of Deloitte, , Email Alicia at aliciahousinganywherecom, , By applying to work at HousingAnywhere, you agree to our",Full-time,https://www.linkedin.com/jobs/view/externalApply/2327358077?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3De7d4cfaacd90%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfadbcdd9eadc8ddcbadd9adaaadfgadfaaddfadc3de7cdcgfec3ddcg3e&urlHash=TsIn&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/account-manager-german-speaker-rotterdam-at-housinganywhere-2327358077?refId=58f209cf-0487-479b-8afc-0064c1731832&trackingId=lQv5wQGy8U7C08ISHmoh6A%3D%3D&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 days ago,2 days ago,2020-11-28,2020-11-30,en,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
